Qty:,Menge:
Special Price:,Sonderpreis:
My Wishlist,Wunschliste
My Wishlist (%d item),Wunschliste (%d)
My Wishlist (%d items),Wunschliste (%d)
My Account,Benutzerkonto
Cart,Warenkorb
View Cart,Warenkorb anzeigen
View all items in your shopping cart,Alle Produkte
View All,Alle
Compare,Vergleichen
Compare Products,Produkte vergleichen
Compare all selected items,Vergleichen alle ausgewählten Elemente
Currency,Währung
Language,Sprache
Sign Up,Registrieren
Enter your e-mail,Geben Sie eine E-Mail-Adresse auf
Click to see more products from %s,Mehr von dieser Marke: %s
Related Products,Verwandt
Zoom,Zoom
image {current} of {total},{current} / {total}
New,Neu
Sale,Sale
Categories,Kategorien
Menu,Menü
Product Description,Beschreibung
Additional Information,Zusatzinformation
Product Tags,Schlagworte
