" The customer does not exist in the system anymore."," Kunden eksisterer ikke længere i systemet."
" [deleted]"," [slettet]"
" and "," og "
" note that the URLs provided below are the correct values for your current website): "," bemærk at URLs nedenfor er de korrekte værdier for dit nuværende website: "
"%s (Default Template from Locale)","%s (standardskabelon fra sprogpakke)"
"%s cache type(s) disabled.","%s cachetyper deaktiveret."
"%s cache type(s) enabled.","%s cachetyper aktiveret."
"%s cache type(s) refreshed.","%s cachetyper opdateret."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolut sti eller relativ sti til Magentos rodfolder, eks. var/export)"
"(For US 2-letter state names)","(USA: navn på stat angives med 2 bogstaver)"
"(If left empty will be auto-generated)","(Hvis feltet ikke udfyldes, vil dets indhold blive auto-genereret)"
"(Leave empty for first spreadsheet)","(Udfyldes ikke for første regneark)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter vil blive tilføjet/opdateret til denne butik hvis butikskolonnen er tom eller mangler i importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"(Starting with)","(Starter med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Hvis 'Nej' vil kun mappede felter blive importeret. Under mapping brug 'kolonne1', 'kolonne2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du skal forøge php memory_limit før denne værdi ændres)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Hvis indeksering er i gang stoppes den, og en ny indekseringsproces starter"
"- Click on any of the time parts to increase it","- Klik på en vilkårlig tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af de ovenstående knapper for at vælge hurtigere."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for at vælge hurtigere."
"-- Not Selected --","-- Ikke valgt --"
"-- Please Select --","-- Vælg venligst --"
"-- Please Select Billing Agreement--","-- Vælg venligst betalingsaftale --"
"-- Please Select a Category --","-- Vælg venligst en kategori --"
"-- Please select --","-- Vælg venligst --"
"--Please Select--","--Vælg venligst--"
"1 Hour","1 time"
"10:40 AM","10:40 AM"
"12 Hours","12 timer"
"12h AM/PM","12h AM/PM"
"2 Hours","2 timer"
"24 Hours","24 timer"
"24h","24h"
"2YTD","2ÅTD"
"6 Hours","6 timer"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
