" and "," og "
" note that the URLs provided below are the correct values for your current website): "," bemærk at de URLs der vises nedenfor er de korrekte værdier for dit nuværende website): "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolut sti eller relativ til Magento's rodmappe var/export)"
"(For US 2-letter state names)","(Til 2-bogstavsnavne på amerikanske stater)"
"(If left empty will be auto-generated)","(Autogenereres hvis udeladt)"
"(Leave empty for first spreadsheet)","(Første ark hvis udeladt)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter tilføjes/opdateres til denne butik hvis butikskolonnen er tom eller udeladt fra importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre"
"(Starting with)","(Stater med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ved nej importeres kun mappede felter. Ved mapping, brug 'kolonne1', 'kolonne2' osv.)"
"(You have to increase php memory_limit before changing this value)","(Du skal forøge php memory_limit før du ændrer denne værdi)"
"(\\t for tab)","(\\t for tab)"
"- Click on any of the time parts to increase it","- Klik på en tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en knap for hurtigere udvælgelse."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for hurtigere udvælgelse."
"-- Please Select Billing Agreement--","-- Vælg betalingsaftale --"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","Om kalenderen"
"Access denied.","Adgang nægtet."
"Account Created in:","Konto oprettet i:"
"Account Created on (%s):","Konto oprettet på (%s):"
"Account Created on:","Konto oprettet:"
"Action","Handling"
"Actions","Handlinger"
"Activate","Aktiver"
"Add Contents Path","Tilføj indholdssti"
"Add Field with URL:","Tilføj felt med URL:"
"Add More Templates","Tilføj flere skabeloner"
"Add New Role","Tilføj ny rolle"
"Add New User","Tilføj ny bruger"
"Add PHP Extension dependency","Tilføj afhængighed af PHP extension"
"Add Package dependency","Tilføj pakkeafhængighed"
"Add to Cart","Læg i kurv"
"Add to Wishlist","Sæt på ønskeseddel"
"Address Type:","Adressetype:"
"AirMail Template Preview","AirMail skabelon-preview"
"All","Alle"
"All Websites","Alle websites"
"All fields","Alle felter"
"Apply Theme","Anvend tema"
"Archive file name:","Arkivfil:"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne skabelon?"
"Are you sure that you want to strip tags?","Er du sikker på at du vil fjerne tags?"
"Are you sure you want to delete this theme? This change will affect all applications.","Er du sikker på at du vil slette dette tema? Ænringen vil påvirke alle applikationer."
"As low as:","Ned til:"
"Attribute Set Name:","Navn på egenskabssæt:"
"Attributes","Egenskaber"
"Authors","Forfattere"
"Available Products","Tilgængelige produkter"
"Back","Tilbage"
"Big Image","Stort billede"
"Billing Address","Faktureringsadresse"
"Billing Agreement","Betalingsaftale"
"Bundle Items","Sammensatte varer"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Sammensat vare med dynamisk prissætning må ikke indeholde tilpassede valgmuligheder. Tilpasningsmulighederne vil ikke blive gemt."
"CSV / Tab separated","CSV/tab-separeret"
"Cancel","Annuller"
"Cancel URL: ","Annuller URL: "
"Card Verification Number","Verifikationskode for kort"
"Carrier","Fragtselskab"
"Catalog","Katalog"
"Chairs","Chairs"
"Change Orientation","Skift orientering"
"Channel","Kanal"
"Child Transactions","Undertranskationer"
"Choose Store View","Vælg forretningsvisning"
"Choose a selection...","Vælg venligst..."
"Clear","Ryd"
"Client Session Timeout (sec.)","Timeout for klientsession (sek.)"
"Close","Luk"
"Confirmed email:","Bekræftet e-mail"
"Connect with the Magento Community","Forbind dig med Magento-fællesskabet"
"Contents","Indhold"
"Continue","Fortsæt"
"Country:","Land:"
"Created At","Oprettet"
"Credit Card %s","Kreditkort %s"
"Credit Card Number","Kortnummer"
"Credit Card Number: xxxx-%s","Kortnummer: xxxx-%s"
"Credit Card Type","Korttype"
"Credit Card Type: %s","Korttype: %s"
"Credit Memo History","Kreditnota-historik"
"Credit Memo Totals","Kreditnota-totaler"
"Current Configuration Scope:","Nuværende anvendelsesområde for konfiguration:"
"Custom","Tilpasset"
"Customer","Kunde"
"Customer Group:","Kundegruppe:"
"Customer Since:","Kunde siden:"
"Customers","Kunder"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Dashboard","Oversigt"
"Data Format","Dataformat"
"Data transfer:","Dataoverførsel:"
"Date selection:","Datovalg:"
"Date selector","Datovælger"
"Decimal separator:","Decimalseparator:"
"Default (Admin) Values","Standard (admin)-værdier"
"Default Billing Address","Standard fakturaadresse"
"Default Response Charset","Standard svar-tegnsæt"
"Default Values","Standardværdier"
"Delete","Slet"
"Delete theme","Slet tema"
"Direction:","Retning:"
"Display %s first","Vis %s først"
"Distributed under GNU LGPL. See %s for details.","Udgivet under GNU LGPL. Se %s for detaljer."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Aktiver ikke AVS eller CSC. De kan ikke bruges sammen med Payflow Link Silent Mode."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Sæt ikke nogen felter i fakturerings- eller leveringsblokken som redigerbare i din Payflow-konto."
"Drag to move","Træk for at flytte"
"Edit Filter","Rediger filter"
"Edit Role","Rediger rolle"
"Edit User '%s'","Rediger bruger '%s'"
"Email","E-mail"
"Email Preview","E-maileksempel"
"Email:","E-mail:"
"Enable Secure Token:","Aktiver sikkerhedsnøgle:"
"Enclose Values In:","Indram værdier i:"
"Entity Attributes","Egenskaber for enhed"
"Entity type:","Enhedstype:"
"Excl. Tax","Ekskl. moms"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Export","Eksporter"
"Export Filters","Eksportfiltre"
"Export to:","Eksporter til:"
"Export:","Eksporter:"
"Extension","Udvidelse"
"Extensions","Udvidelser"
"FILTERS APPLIED","FILTRE ANVENDT"
"FTP Host[:Port]","FTP-vært[:port]"
"Field Mapping","Feltmapping"
"File Information","Filinformation"
"File name:","Filnavn:"
"Files","Filer"
"Finished profile execution.","Profilkørsel færdig."
"First Name:","Fornavn:"
"For latest version visit: %s","For seneste version, se: %s"
"From","Fra"
"General Information","Generel information"
"General Settings","Generelle indstillinger"
"Get help for this page","Hjælp til denne side"
"Global Record Search","Søg i alle registrer"
"Go Today","I dag"
"Go to messages inbox","Gå til indbakke"
"Go to notifications","Gå til notifikationer"
"Google Base Items","Google Base-varer"
"Group:","Gruppe:"
"Help Us Keep Magento Healthy - Report All Bugs","Hjælp os med at holde Magento fejlfri - rapporter alle fejl"
"Home","Hjem"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Hvis din Magentoinstallation kører flere websites skal du konfigurere en separat Payflow Link-konto til hvert website."
"Ignore","Ignorer"
"Images","Billeder"
"Import","Importer"
"Import Service","Importeringsservice"
"Important: ","Vigtigt: "
"In Database:","I database:"
"In File:","I file:"
"In Stock","På lager"
"Inactive Tabs","Inaktive faner"
"Incl. Tax","Inkl. moms"
"Include","Inkluder"
"Interactive","Interaktiv"
"Interface Locale: %s","Interface-sprog: %s"
"Invalid webservice adapter specified.","Ugyldig webservice-adapter angivet"
"Invalid webservice handler specified.","Ugyldig webservice-handler angivet"
"Invoice History","Fakturahistorik"
"Invoice Totals","Fakturatotaler"
"Is Closed","Er lukket"
"Issue Number","Udstedelsesnummer"
"Issuer: %s","Udsteder: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS-cache"
"Last 5 Orders","Sidste 5 ordrer"
"Last 5 Search Terms","Seneste 5 søgninger"
"Last Logged In (%s):","Sidst logget ind (%s):"
"Last Logged In:","Sidst logget ind:"
"Last Name:","Efternavn:"
"Latest Message:","Seneste besked:"
"Leave empty to use tax identifier","Udelad for at bruge moms-id"
"Links with associated products will retain only after saving current product.","Links med tilknyttede produkter bevares først efter det aktuelle produkt er gemt."
"Loading...","Indlæser..."
"Local Server","Lokal server"
"Local/Remote Server","Lokal/fjern server"
"Log In","Log ind"
"Log Out","Log ud"
"Logged in as %s","Logget ind som %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api-sektion"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; er et varemærke ejet af Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Hovedfaner"
"Make Inactive","Deaktiver"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Sørg for at encoding er konsistent og enten UTF-8 eller ANSI."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Sørg for at konfigurer designindstillingerne for Payflow Link-formularen i din Payflow Link-konto."
"Manage Stores","Administrer butikker"
"Max","Max"
"Min","Min"
"More Tabs","Flere faner"
"N/A","N/A"
"Name","Navn"
"Name on Card","Navn på kort"
"Name on the Card: %s","Navn på kortet: %s"
"Name:","Navn:"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next page","Næste side"
"Next year (hold for menu)","Næste år (hold for menu)"
"No","Nej"
"No Data Found","Ingen data fundet"
"No information available.","Ingen information tilgængelig."
"No profile loaded...","Ingen profil indlæst..."
"No search keywords.","Ingen søgeord."
"None","Ingen"
"Note:","Note:"
"Number of records:","Antal poster:"
"Old rate:","Gammel kurs:"
"On my website","På mit website"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Log ind på din Payflow Link-konto, gå til Service Settings - Hosted Checkout Pages - Set Up menu, og sæt indstillingerne beskrevet nedenfor"
"Only custom theme can be deleted","Kun egne temaer kan slettes"
"Only default theme can be reset","Kun standardtemaet kan nulstilles"
"Only mapped fields","Kun mappede felter"
"Options menu items","Options menu items"
"Order ID","Ordrenummer"
"Order cannot be placed.","Ordren kunne ikke oprettes."
"Original Magento attribute names in first row:","Originale Magento egenskabsnavne i første række:"
"Out of stock","Ikke på lager"
"Package","Pakke"
"Packages","Pakker"
"Page","Side"
"Parent Transaction ID","Overtransaktions-ID"
"Passive mode","Passiv-mode"
"Password","Adgangskode"
"Path","Sti"
"Path:","Sti:"
"Personal Information","Personlig information"
"Phone:","Telefon:"
"Please Select","Vælg venligst"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Bekræft skift af website. Alle data der ikke er gemt vil gå tabt."
"Please continue with placing order.","Fortsæt med ordren."
"Please enter 6 or more characters.","Skriv mindst 6 tegn."
"Please enter a number greater than 0 in this field.","Skriv et tal større end 0 i dette felt."
"Please enter a valid $ amount. For example $100.00.","Skriv et gyldigt $-beløb. F.eks. $100.00."
