"Action","Handling"
"An error occurred while writing to the backup file ""%s"".","Fejl ved skrivning af backupfilen ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Backupfilen ""%s"" kan ikke læses eller skrives."
"Backup file ""%s"" does not exist.","Backupfilen ""%s"" eksisterer ikke."
"Backup file does not exist.","Backupfilen eksisterer ikke."
"Backup file handler was unspecified.","Backup file handler er ikke angivet."
"Backup file path was not specified.","Stien til backupfilen er ikke angivet."
"Backups","Sikkerhedskopier"
"Cannot read backup file.","Kunne ikke indlæse sikkerhedskopi"
"Create Backup","Lav sikkerhedskopi"
"DB","Database"
"Database was successfuly backed up.","Database blev sikkerhedskopieret."
"Download","Download"
"Size, Bytes","Størrelse i bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","Filen er komprimeret med Zlib, men dette modul er ikke installeret på serveren."
"Time","Dato og tidspunkt"
"Type","Type"
"Unable to create backup. Please, try again later.","Kan ikke lave backup. Prøv igen senere."
"Wrong order of creation for new backup.","Fejl i ny sikkerhedskopi (forkert rækkefølge)"
