"%s","%s"
"%s already exist.","%s eksisterer allerede"
"%s already exists.","%s eksisterer allerede"
"-- Please Select --","-- Vælg venligst --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Advarsel!</strong> Når du bruger CDN fungerer JavaScript i nogle tilfælde ikke ordentligt, hvis CDN ikke er på dit subdomæne"
"A category object is required for determining the product request path.","Der skal bruges et kategoriobjekt for at beregne produktstien."
"Add Block Names to Hints","Tilføj bloknavne til hints"
"Add Secret Key to URLs","Tilføj nøgle til URLs"
"Add Store Code to Urls","Tilføj forretningskode til URLs"
"Admin","Admin"
"Admin Base URL","Admin rod-URL"
"Admin User Emails","Admin bruger-e-mails"
"Advanced","Avanceret"
"Allow Countries","Tillad lande"
"Allowed IPs (comma separated)","Tilladte IP'er (kommasepareret)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tilladte filtyper: ICO, PNG, GIF, JPEG, APNG, SVG. Ikke alle browsere understøtter alle disse formater!"
"Allows customers to stay logged in when switching between different stores.","Tillad kunder at forblive logget ind når de skifter mellem forretninger."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativ tekst til næste-linket i sideinddelingen. Hvis feltet er tomt benyttes en standardpil."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativ tekst til forrige-linket i sideinddelingen. Hvis feltet er tomt benyttes en standardpil."
"An error occurred while saving. Please review the error log.","Fejl ved lagring. Kontroller loggen og prøv igen."
"Anchor Text for Next","Linktekst for næste"
"Anchor Text for Previous","Linktekst for forrige"
"Anchor symbol (#) is not supported in request path","Firkant (#) er ikke understøttet i forespørgselssti"
"Anchor symbol (#) is not supported in url rewrite suffix","Firkant (#) er ikke understøttet i URL-omskrivnings-suffix"
"Are you sure?","Er du sikker?"
"Auto-redirect to Base URL","Redirect automatisk til rod-URL"
"Back","Tilbage"
"Backup Options","Backupmuligheder"
"Base JavaScript URL","Base JavaScript-URL"
"Base Link URL","Base link-URL"
"Base Media URL","Base medie-URL"
"Base Skin URL","Base skin-URL"
"Base URL","Rod URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Før du ændrer butiksvisningen så vær sikker på at koden ikke bliver brugt i index.php"
"Before modifying the website code please make sure that it is not used in index.php.","Vær sikker på at website-koden ikke er brugt i index.php før du redigerer den"
"Block with name ""%s"" already exists","Blok med navnet ""%s"" eksisterer allerede"
"Browser Capabilities Detection","Detektion af browseregenskaber"
"CSS Settings","CSS-indstillinger"
"Cache Storage Management","Administration af cachelager"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cachelageret kan indeholde anden data. Er du sikker på at du vil tømme det?"
"Can't retrieve request object","Kan ikke hente det efterspurgte objekt"
"Can\'t retrieve entity config: %s","Kan ikke hente enhedskonfiguration: %s"
"Cancel","Annuller"
"Cannot complete this operation from non-admin area.","Kan ikke udføre denne handling fra et ikke-adminområde."
"Card type does not match credit card number.","Korttype stemmer ikke overens med kortnummer."
"Code","Kode"
"Controller file was loaded but class does not exist","Controller-filen blev indlæst, men klassen findes ikke"
"Cookie Domain","Cookie domæne"
"Cookie Lifetime","Cookie levetid"
"Cookie Path","Cookie sti"
"Copyright","Copyright"
"Countries Options","Indstillinger for lande"
"Create Store","Opret forretning"
"Create Store View","Opret visning af forretning"
"Create Website","Opret website"
"Credit card number does not match credit card type.","Kortnummer stemmer ikke overens med korttype."
"Current Package Name","Navn på nuværende pakke"
"Custom Admin Path","Alternativ adminsti"
"Custom Design","Eget design"
"Custom Email 1","Egen e-mail 1"
"Custom Email 2","Egen e-mail 2"
"Custom Variables","Egne variable"
"Customer Support","Kundeservice"
"Dashboard","Oversigt"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Dato/tidsformatet ""%s"" understøttes ikke."
"Debug","Debug"
"Default","Standard"
"Default Country","Standardland"
"Default Description","Standardbeskrivelse"
"Default Keywords","Standardnøgleord"
"Default No-route URL","Standard 404/no-route URL"
"Default Pages","Standardsider"
"Default Robots","Standardrobotter"
"Default Store","Standard-forretning"
"Default Store View","Standardvisning af forretning"
"Default Title","Standardtitel"
"Default Web URL","Standard web-URL"
"Delete","Slet"
"Delete Store","Slet forretning"
"Delete Store View","Slet visning af forretning"
"Delete Website","Slet website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Sletter du en %1$s bliver data forbundet med din %1$s ikke slettet (kategorier, produkter mv.), men det vil ikke være muligt at genskabe din %1$s. Det anbefales at tage backup af databasen før du sletter denne %1$s."
"Design","Design"
"Design Change","Designændring"
"Developer","Udvikler"
"Developer Client Restrictions","Udvikler klient-restriktioner"
"Disable Email Communications","Deaktiver e-mailkommunikationsmuligheder"
"Disable Modules Output","Deaktiver moduloutput"
"Display Demo Store Notice","Vis demoshop-besked"
"Duplicate Of Template Name","Kopi af skabelonnavn"
"Edit Design Change","Rediger designændring"
"Edit Store","Rediger forretning"
"Edit Store View","Rediger visning af forretning"
"Edit Website","Rediger website"
"Empty identifier field name","Tomt feltnavn for identifikator"
"Empty main table name","Fejl: Navn på hovedtabel må ikke være tomt"
"Enable Charts","Aktiver grafer"
"Enabled","Aktiv"
"Enabled for Admin","Aktiv for backend"
"Enabled for Frontend","Aktiv for frontend"
"Error in file: ""%s"" - %s","Fejl i fil: ""%s"" - %s"
"Error: Passwords do not match","Fejl: Passwords stemmer ikke overens"
"Exceptions Log File Name","Filnavn for exceptions log"
"Favicon Icon","Favicon"
"File %s does not exist","Filen %s eksisterer ikke"
"File %s is not readable","File %s er ikke læsbar"
"File system","Filsystem"
"First Day of Week","Første dag i ugen"
"Flush Cache Storage","Tøm cachelager"
"Flush Magento Cache","Tøm Magentocache"
"Footer","Footer"
"Forgot Password Email Sender","Glemt password e-mailafsender"
"Forgot Password Email Template","Glemt password e-mailskabelon"
"General","Generelt"
"General Contact","Generel kontakt"
"General Settings","Generelle indstillinger"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Vært (host)"
"How many links to display at once.","Hvor mange links der skal vises på én gang."
"ID Path for Specified Store","ID-sti for valgt forretning"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
