"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ligner et DNS hostname, men der mangler et TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' ligner et DNS hostname, men TLD genkendes ikke"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' ligner et DNS hostname, men navnestrukturen stemmer ikke med strukturen for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' ligner et DNS hostname, men indeholder en ugyldig bindestreg"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' ligner et DNS hostname, men den angivne punycode notation kan ikke dekodes"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' ligner navnet på et lokalnetværk, hvilket ikke er tilladt"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' ligner en IP-adresse, men IP-adresser kan ikke bruges"
"'%value%' does not appear to be a valid local network name","'%value%' ligner ikke et gyldigt navn på et lokalnetværk"
"* Required Fields","* Skal udfyldes"
"A new password has been sent.","Nyt kodeord blev sendt til kunden."
"ALL GROUPS","ALLE GRUPPER"
"Account Dashboard","Kontooversigt"
"Account Information","Stamdata"
"Address Templates","Addresseskabeloner"
"Account Sharing Options","Indstillinger for kontodeling"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Du skal bekræfte din konto. Find et bekræftelseslink i vores e-mail. Hvis du vil have bekræftelsesmailen udsendt igen, <a href=""%s"">klik her</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Du skal bekræfte din konto. Find et bekræftelseslink i vores e-mail. Hvis du vil have bekræftelsesmailen udsendt igen, <a href=""%s"">klik her</a>."
"Action","Handling"
"Add New Address","Tilføj ny adresse"
"Add New Customer","Tilføj kunde"
"Add New Customer Group","Tilføj ny kundegruppe"
"Added From","Tilføjet fra"
"Additional Address Entries","Yderligere adresser"
"Address","Gade/vej"
"Address Book","Adresser"
"Address Books","Adressebøger"
"Address Information","Adresseinformation"
"Addresses","Adresser"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle forretningsvisninger"
"All countries","Alle lande"
"Always optional.","Altid valgfrit."
"Amount","Beløb"
"An error occurred while deleting the address.","Fejl ved sletning af adressen."
"An error occurred while retrieving the option value: %s.","Fejl ved indlæsning af option-væriden: %s."
"An error occurred while saving the collection, aborting. Error: %s","Fejl ved lagring af kollektionen. Fejl: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Ugyldig option-ID angivet for %s (%s), springer posten over."
"Approved","Godkendt"
"Are you sure that you want to remove this item?","Er du sikker på, at du ønsker at fjerne dette?"
"Are you sure you want to cancel adding of this address?","Er du sikker på, at du vil annullere tilføjelsen af adressen?"
"Are you sure you want to delete this address?","Er du sikker på, at du vil slette denne adresse?"
"Are you sure?","Er du sikker?"
"Array of Entity collections is expected.","Der forventes et array af enhedskollektioner."
"Assign a Customer Group","Tildel kundegruppe"
"Average Sale","Gns. pris for salg"
"Back","Tilbage"
"Back - link to the previously viewed page","Tilbagelink til foregående side"
"Back to Login","Tilbage til log ind"
