"%s %s cycle.","%s %s cyklus."
"--Please Select--","--Vælg venligst--"
"3D Secure Card Validation","3D Secure kortvalidering"
"3D Secure Credit Card Validation","3D Secure kortvalidering"
"<label>Make Check payable to:</label> %s","<label>Udsted checken til:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Der skal bruges en værdi til live mode. Se CardinalCommerce-aftalen."
"Allow Initial Fee Failure","Tillad startgebyrfejl"
"An internal reference ID is required to save the payment profile.","Et internt reference-ID skal bruges for at gemme betalingsprofilen."
"Auto Bill on Next Cycle","Fakturer automatisk i næste cyklus"
"Automatically Invoice All Items","Fakturer automatisk alle varer"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Fakturer automatisk det udestående beløb i den næste betalingscyklus (hvis der er fejlede betalinger)."
"Billing Agreement status is not set.","Status for betalingsaftale er ikke sat."
"Billing Amount","Betalingsbeløb"
"Billing Frequency","Betalingsfrekvens"
"Billing Period","Betalingsperiode"
"Billing Period Unit","Betalingsperiode-enhed"
"Billing period unit is not defined or wrong.","Betalingsperiode-enhed er ikke defineret eller ugyldig."
"Cannot retrieve payment method instance.","Instans af betalingsmetoden kunne ikke indlæses"
"Cannot retrieve the payment info model object.","Kan ikke indlæse betalingsinfo-objektet."
"Cannot retrieve the payment method model object.","Kan ikke indlæse betalingsmetode-objektet."
"Card Verification Number","Kontrolcifre"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Check/kontant-ordre"
"Credit Card Number","Kortnummer"
"Credit Card Number: xxxx-%s","Kreditkortnummer: xxxx-%s"
"Credit Card Type","Korttype"
"Credit Card Type: %s","Kreditkorttype: %s"
"Credit Card Types","Kreditkorttyper"
"Currency","Valuta"
"Currency code is undefined.","Valutakode er ikke defineret."
"Customer ID is not set.","Kunde-ID er ikke sat."
"Day","Dag"
"Debug Mode","Debug Mode"
"Enabled","Aktiv"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Fulde navn på personen der modtager det betalte produkt eller ydelse for abonnementsbetalingen."
"Initial Fee","Startgebyr"
"Initial non-recurring payment amount due immediately upon profile creation.","Éngangsbeløb som startgebyr for oprettelse af abonnementet."
"Internal Reference ID","Internt reference-ID"
"Issue Number","Udstedelsesnummer"
"Make Check Payable to","Udsted checken til"
"Make Check payable to:","Udsted checken til:"
"Make Check payable to: %s","Udsted check til: %s"
"Maximum Billing Cycles","Max betalingsomgange"
"Maximum Order Total","Maximum ordretotal"
"Maximum Payment Failures","Max betalingsfejl"
"Maximum Trial Billing Cycles","Max prøvebetalingsomgange"
"Merchant ID","Merchant ID"
"Minimum Order Total","Minimum ordretotal"
"Month","Måned"
"N/A","N/A"
"Name on Card","Kortholders navn"
"Name on the Card","Kortholders navn"
"Name on the Card: %s","Kortholders navn: %s"
"New Order Status","Ny ordrestatus"
"Number of billing periods that make up one billing cycle.","Antal betalingsperioder i en betalingscyklus."
"Overrides API URL that may be specified by a payment method.","Gælder i stedet for en evt. API URL defineret for betalingsmetoden."
"Password","Kodeord"
"Payment ID: %s","Betalings-ID: %s"
"Payment Method","Betalingsmetode"
"Payment Methods","Betalingsformer"
"Payment Methods Section","Sektion for betalingsmetoder"
"Payment Reference ID","Betalingsreference-ID"
"Payment Services","Betalingstjenester"
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Payment method code is not set.","Betalingsmetodekode er ikke sat."
"Payment method code is undefined.","Betalingsmetodekode er ikke defineret."
"Payment profile is invalid:\n%s","Betalingsprofilen er ugyldig:\n%s"
"Period frequency is wrong.","Periodefrekvens er forkert."
"Processor Id","Processor Id"
"Purchase Order","Købsordre (køb på regning)"
"Purchase Order Number","Købsordrenummer"
"Purchase Order Number:","Købsordrenummer:"
"Purchase Order Number: %s","Købsordrenr.: %s"
"Recurring Profile Start Date","Abonnementsprofil startdato"
"Recurring profile start date has invalid format.","Abonnementsprofilens startdato har et ugyldigt format."
"Reference ID is not set.","Reference-ID er ikke sat."
"Repeats %s time(s).","Gentages %s gange."
"Repeats until suspended or canceled.","Gentages indtil den stoppes eller annulleres."
"Request Card Security Code","Anmod om sikkerhedskode for kort"
"Saved CC","Gemt kreditkort"
"Schedule Description","Planbeskrivelse"
"Schedule description must be not empty.","Planbeskrivelse må ikke være tom."
"Send Check to","Send check til"
"Send Check to:","Send check til:"
"Severe 3D Secure Card Validation","Severe 3D Secure kortvalidering"
"Severe validation removes chargeback liability on merchant.","Ekstra validering fjerner forretningens forpligtelse til chargeback."
"Shipping Amount","Leveringsbeløb"
"Short description of the recurring payment. By default equals to the product name.","Kort beskrivelse af abonnementsbetalingen. Som udgangspunkt identisk med produktnavnet."
"Sort Order","Sorteringsrækkefølge"
"Start Date","Startdato"
"Start date has invalid format.","Startdatoen har et forkert format."
"Start date is undefined.","Startdatoen er ikke defineret."
"Subscriber Name","Abonnentens navn"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro udstedelsesnummer"
"Switch/Solo/Maestro Only","Kun Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro startdato"
"Tax Amount","Momsbeløb"
"Test Mode","Test Mode"
"The date when billing for the profile begins.","Datoen når betalinger for profilen begynder."
"The number of billing cycles for payment period.","Antal betalingscyklusser i betalingsperioden."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Antal planlagt betalinger der må fejle før abonnementet suspenderes."
"The payment review action is unavailable.","Betalingsoversigt er ikke tilgængelig."
"Title","Titel"
"Trial Billing Amount","Forsøgsbeløb"
"Trial Billing Frequency","Forsøgsfrekvens"
"Trial Billing Period Unit","Forsøgsperiodeenhed"
"Trial Period","Forsøgsperiode"
"Trial billing amount is wrong.","Forsøgsbeløb er forkert."
"Trial billing period unit is wrong.","Forsøgsperiodeenhed er forkert."
"Trial period frequency is wrong.","Forsøgsperiodefrekvens er forkert."
"Trial period max cycles is wrong.","Forsøgsperiode max gentagelser er forkert."
"Two Weeks","To uger"
"Unable to save Billing Agreement:","Kan ikke gemme betalingsaftale:"
"Unit for billing during the subscription period.","Enheden for betaling i abonnementsperioden."
"Unsupported currency code: %s.","Ukendt valutakode: %s."
"Week","Uge"
"What is this?","Hvad er det?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Om betalingsprofilen skal suspenderes hvis betaling af startgebyret fejler, eller om beløbet skal overføres til næste betaling."
"Wrong %s specified.","Fokert %s angivet."
"Wrong or empty billing amount specified.","Forkert eller tomt betalingsbeløb angivet."
"Year","År"
"Zero Subtotal Checkout","Bestilling med subtotal nul"
