"""%s"" coupon code is not valid.","""%s"" rabatkoden er ugyldig."
"%s","%s"
"%s / %s rate:","%s / %s forhold:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s ordrer kan ikke annulleres"
"%s order(s) have been canceled.","%s ordrer er annulleret"
"%s order(s) have been put on hold.","%s ordrer sat på pause."
"%s order(s) have been released from holding status.","%s ordrer er ophævet fra pausestatus."
"%s order(s) were not put on hold.","%s ordrer er ikke sat på pause."
"%s order(s) were not released from holding status.","%s ordrer er ikke ophævet fra pausestatus."
"* - Enter custom price excluding tax","* - Indtast tilpasset pris ekskl. moms"
"* - Enter custom price including tax","* - Indtast tilpasset pris inkl. moms"
"-- Please Select --","-- Vælg venligst --"
"-- Please Select Billing Agreement--","-- Vælg betalingsaftale--"
"About This Order:","Om denne ordre:"
"About This Profile:","Om denne profil:"
"About Your Invoice","Om din faktura"
"About Your Order","Vedrørende din ordre"
"About Your Refund","Om din refundering"
"About Your Shipment","Om din levering"
"Accept Payment","Accepter betaling"
"Accept or Deny Payment","Accepter eller afvis betaling"
"Account Information","Konto - detaljer"
"Action","Handling"
"Actions","Handlinger"
"Activate","Aktiver"
"Active","Aktiv"
"Add","Tilføj"
"Add New Address","Tilføj ny adresse"
"Add Order Comments","Tilføj ordrekommentarer"
"Add Package","Tilføj pakke"
"Add Products","Tilføj produkter"
"Add Selected Product(s) to Option","Tilføj valgte produkt(er) til mulighed"
"Add Selected Product(s) to Order","Tilføj valgte varer til ordre"
"Add Selected Product(s) to Package","Tilføj valgte varer til pakke"
"Add To Order","Tilføj til ordre"
"Add Tracking Number","Tilføj trackingnummer"
"Add comment to order","Tilføj kommentar til ordren"
"Add new comment to shipment","Tilføj kommentar til leveringen"
"Add new tracking number","Tilføj nyt trackingnummer"
"Add to Cart","Læg i kurv"
"Additional Product Info","Yderligere produktdata"
"Address","Gade/vej"
"Address model is not defined.","Adressemodel er ikke defineret"
"Adjustment Fee","Korrigeret tillæg"
"Adjustment Refund","Korrigeret refusion"
"Agreement Information","Aftaleinfo"
"Allow Reorder","Tillad genbestilling"
"Amount","Beløb"
"Amount: %s.","Beløb: %s."
"An error occurred while assigning order status. Status has not been assigned.","Der opstod en fejl ved tildeling af ordrestatus."
"An error occurred while creating shipping label.","Der opstod en fejl ved oprettelse af pakkelabel."
"An error occurred while saving order status. The status has not been added.","Der opstod en fejl ved lagring af ordrestatusen. Den er ikke tilføjet."
"An error occurred while unassigning order status.","Der opstod en fejl ved fratagelse af status fra ordren."
"An error occurred while updating the order address. The address has not been changed.","Der opstod en fejl ved opdatering af ordreadressen. Adressen er ikke ændret."
"An item option with code %s already exists.","En item option code %s eksisterer allerede."
"Anchor Custom Title","Egen ankertitel"
"Append Comments","Tilføj kommentarer"
"Apply","Giv"
"Apply Coupon Code","Anvend rabatkode"
"Approved the payment online.","Betaling godkendt online."
"Are you sure you want to accept this payment?","Er du sikker på at du vil acceptere denne betaling?"
"Are you sure you want to cancel this order?","Er du sikker på, at ordren skal annulleres?"
"Are you sure you want to deny this payment?","Er du sikker på at du vil afvise denne betaling?"
"Are you sure you want to do this?","Er du sikker på at du vil gøre dette?"
"Are you sure you want to send Creditmemo email to customer?","Er du sikker på at du vil sende kreditnotaen som e-mail til kunden?"
