"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d prisregler for indkøbskurv baseret på egenskaben ""%s"" er deaktiveret."
"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Apply","Giv"
"Apply To","Anvend på"
"Apply the rule only if the following conditions are met (leave blank for all products)","Anvend kun regel, hvis følgende betingelser er opfyldt (lad stå tom for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Anvend kun reglen på varer i indkøbskurv, som lever op til følgende betingelser (lad stå tom hvis det skal gælde alle varer)"
"Apply the rule to cart items matching the following conditions","Anvend reglen på varer i indkøbskurv, som lever op til følgende betingelser"
"Apply to Shipping Amount","Anvend på leveringsbeløb"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Køb X, få Y gratis (mængde er Y)"
"By Fixed Amount","Rabat som fast beløb"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"By Percentage of the Original Price","Rabat i procent af originalpris"
"Can\'t acquire coupon.","Kan ikke hente kupon."
"Cart Attribute","Egenskaber for kurv"
"Catalog","Katalog"
"Conditions","Betingelser"
"Conditions combination","Betingelseskombination"
"Coupon","Rabatkupon"
"Coupon Code","Rabatkode"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er førstegangskøber: %s"
"Customer registered: %s","Kunden oprettede konto: %s"
"Date Expire","Udløbsdato"
"Date Start","Startdato"
"Default Label","Standardlabel"
"Default Rule Label for All Store Views","Standardlabel for reglen for alle forretningsvisninger"
"Delete Rule","Slet regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Discount Amount","Beløb/procent/mængde"
"Discount Qty Step (Buy X)","Rabat mængdetrin (Køb X)"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"Expire at: %s","Udløber ved: %s"
"Fixed amount discount","Rabat (fast beløb)"
"Fixed amount discount for whole cart","Fast rabatbeløb for hele indkøbskurven"
"For matching items only","Gælder kun matchende varer"
"For shipment with matching items","For hele leveringen, hvis der er matchende varer"
"Free Shipping","Gratis levering"
"From Date","Startdato"
"General Information","Indhold"
"ID","ID"
"Inactive","Inaktiv"
"Item totals are not set for rule.","Reglens totalbeløb er ikke indstillet"
"Labels","Labels"
"Maximum Qty Discount is Applied To","Maks. antal varer som rabatten gives til"
"NOT LOGGED IN","Ikke logget ind"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","Ingen rabatkupon"
"Number of Uses","Antal brug"
"Payment Method","Betalingsform"
"Percent of product price discount","Rabat (procent af pris)"
"Period","Periode"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Kombination af produktegenskaber"
"Products subselection","Kombination af produkter"
"Promotions","Prisregler"
"Public In RSS Feed","Offentlig i RSS Feed"
"Quantity in cart","Antal i kurv"
"Row total in cart","Antal varer i kurv"
"Rule Information","Regeldata"
"Rule Name","Navn"
"Sales Discount Amount","Rabatbeløb"
"Sales Subtotal Amount","Subtotal"
"Sales Total Amount","Totalbeløb"
"Save Rule","Gem regel"
"Save and Continue Edit","Gem og fortsæt redigering"
"Shipping Country","Levering - land"
"Shipping Method","Forsendelsesmetode"
"Shipping Postcode","Levering - postnummer"
"Shipping Region","Levering - område"
"Shipping State/Province","Levering - stat/provins"
"Shopping Cart Price Rule","Prisregel for indkøbskurv"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Special Price","Specialpris"
"Specific Coupon","Specifik rabatkupon"
"Start at: %s","Starter ved: %s"
"Status","Status"
"Stop Further Rules Processing","Stop regelkørsel herefter"
"Store View Specific Labels","Labels for specifikke forretningsvisninger"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal"
"The rule has been deleted.","Reglen er slettet."
"The rule has been saved.","Reglen er gemt."
"This rule no longer exists.","Denne regel eksisterer ikke længere"
"To Date","Udløbsdato"
"To Fixed Amount","Pris som fast beløb"
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"To Percentage of the Original Price","Pris som procent af originalprisen"
"Total","Total"
"Total Amount","Totalbeløb"
"Total Items Quantity","Samlet antal varer"
"Total Weight","Samlet vægt"
"Unable to find a rule to delete.","Kunne ikke finde nogen regler at slette."
"Update Prices Using the Following Information","Opdater priser med følgende information"
"Update prices using the following information","Opdater priser med følgende information"
"Update product's %s %s: %s","Opdater produkterne %s %s: %s"
"Update the Product","Opdater produktet"
"Uses per Coupon","Anvendelser pr. kupon"
"Uses per Customer","Anvendelser pr. kunde"
"Wrong rule specified.","Forkert regel angivet."
"Yes","Ja"
