" was not delivered nor scanned","Blev ikke leveret eller skannet"
"1 Day Freight","1 dags fragt"
"2 Day Freight","2 dages fragt"
"2 Day","2 dage"
"2Day","2 dage"
"2nd Day Air","2. dag fly"
"2nd Day Air AM","2. dag fly AM"
"2nd Day Air AM Letter","2. dag fly AM brev"
"2nd Day Air Letter","2. dag fly brev"
"3 Day Freight","3 dages fragt"
"3 Day Select","3 dages valg"
"Access ID","Adgangs-ID"
"Access License Number","Adgangslicensnummer"
"Account ID","Konto-ID"
"Account Number","Kontonummer"
"Additional Protection Configuration Value","Ekstra beskyttelse konfigurationsværdi"
"Additional Protection Enabled","Ekstra beskyttelse aktiveret"
"Additional Protection Min Subtotal","Ekstra beskyttelse - min. subtotal"
"Additional Protection Value","Ekstra beskyttelsesværdi"
"Additional Protection Value Rounding Method","Ekstra beskyttelse - afrunding"
"Adult","Voksen"
"Adult Signature Required","Obligatorisk voksen underskrift"
"Allowed Methods","Tilladte metoder"
"Bound Printed Matter","Bundet tryksager"
"Business Service Center","Forretningsservicecenter"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Kan ikke hente fragtpriser"
"Commercial","Kommerciel"
"Configuration","Konfiguration"
"Container","Beholder"
"Customer Packaging","Tilpasset pakning"
"Customer Supplied Package","Pakke fra kunden"
"DHL","DHL"
"Debug","Debug"
"Default Package Height","Standardpakkehøjde"
"Default Package Length","Standardpakkelængde"
"Default Package Width","Standardpakkebredde"
"Delivered","Leveret"
"Delivery Confirmation","Leveringsbekræftelse"
"Destination Type","Destinationstype"
"Development","Udvikling"
"Direct","Direkte"
"Displayed Error Message","Vist fejlmeddelse"
"Documents","Dokumenter"
"Domestic Shipment Days","Indenrigs leveringstid"
"Drop Box","Postbox"
"Dropoff","Aflevering"
"Empty response","Tomt svar"
"Enable Negotiated Rates","Aktiver aftalepriser"
"Enabled for Checkout","Aktiveret for bestilling"
"Enables/Disables SSL verification of Magento server by UPS.","Aktiver/deaktiver SSL-verifikation af Magento-server af UPS"
"Error #%s : %s (%s)","Fejl #%s : %s (%s)"
"Error #%s: %s","Fejl #%s: %s"
"Europe First Priority","Europa First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30"
"Express Mail","Express Mail"
"Express Saturday","Express Lørdag"
"Express Saver","Express Saver"
"Failed to parse xml document: %s","Kunne ikke parse XML-dokument: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg kasse"
"FedEx 25kg Box","FedEx 25kg kasse"
"FedEx Box","FedEx kasse"
"FedEx Envelope","FedEx konvolut"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx rør"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Fast"
"Flat-Rate Box","Flat-rate kasse"
"Flat-Rate Envelope","Flat-rate konvolut"
"Free Method","Gratis metode"
"Free Shipping with Minimum Order Amount","Fri levering ved min. ordre beløb"
"Freight","Fragt"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Gave"
"Girth","Omkreds"
"Ground","Landjord"
"Ground Commercial","Landjord erhverv"
"Ground Residential","Landjord privat"
"Handling Applied","Håndtering anvendt"
"Handling Fee","Håndteringsgebyr"
"Height","Højde"
"Home Delivery","Omdeling"
"Indirect","Indirekte"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International leveringstid"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Key","Nøgle"
"Kilograms","Kilogram"
"Large","Stor"
"Large Express Box","Stor Express-kasse"
"Length","Længde"
"Letter","Brev"
"Library","Bibliotek"
"Live","Live"
"Machinable","Maskinarbejdelig"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maks pakke vægt (Kontakt venligst dit fragtselskab for maksimal vægt tilladt)"
"Media Mail","Mediepost"
"Medium Express Box","Medium Express-kasse"
"Merchandise","Merchandise"
"Meter Number","Meternummer"
"Minimum Order Amount for Free Shipping","Min. ordrebeløb for fri levering"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum pakkevægt (spørg fragtfirma)"
"Mode","Mode"
"National Freight","National fragt"
"Next Afternoon","Næste eftermiddag"
"Next Day Air","Næste dag fly"
"Next Day Air Early AM","Næste dag fly tidlig AM"
"Next Day Air Early AM Letter","Næste dag fly tidlig AM brev"
"Next Day Air Intra (Puerto Rico)","Næste dag fly intra (Puerto Rico)"
"Next Day Air Letter","Næste dag fly brev"
"Next Day Air Saver","Næste dag fly økonomi"
"Next Day Air Saver Letter","Næste dag fly økonomibrev"
"No","Nej"
"No packages for request","Ingen pakker for forespørgslen"
"Non-rectangular","Ikke-rektangulære"
"Not Required","Ikke obligatorisk"
"Order","Ordre"
"Origin of the Shipment","Oprindelse af forsendelse"
"Other","Anden"
"PAK","PAK"
"Package","Pakke"
"Package Description","Pakkebeskrivelse"
"Packaging","Pakning"
"Pallet","Palle"
"Parcel","Pakke"
"Parcel Post","Pakkepost"
"Password","Kodeord"
"Pickup Method","Afhentningsmetode"
"Please make sure to use only digits here. No dashes are allowed.","Brug kun tal her. Ingen bindestreger."
"Pounds","Pund"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Modtager"
"Rectangular","Rektangulære"
"Regular","Almindelig"
"Regular Pickup","Almindelig afhentning"
"Request Courier","Efterspørg fragtselskab"
"Required","Obligatorisk"
"Required for negotiated rates; 6-character UPS.","Obligatorisk for forhandlede rater; 6-tegns UPS."
"Residential","Privat"
"Residential Delivery","Privatlevering"
"Response is in the wrong format","Forkert format på svar"
"Return","Returnering"
"Round","Rund"
"Sample","Prøve"
"Sandbox Mode","Sandbox Mode"
"Second Day Service","2. dag service"
"Secure Gateway URL","Sikker gateway URL"
"Sender","Afsender"
"Service type does not match","Ydelsestyper stemmer ikke"
"Ship to Applicable Countries","Forsendelse til gældende lande"
"Ship to Specific Countries","Send til specifikke lande"
"Shipment Contains Hazardous Materials","Leveringen indeholder farlige materialer"
"Shipment Dutiable","Toldpligtig levering"
"Shipment Duty Payment Type","Betalingsmetode for leveringstold"
"Shipment Type","Forsendelsestype"
"Shipment is not available.","Forsendelse er ikke tilgængelig."
"Shipment picked up","Forsendelse afhentet"
"Shipper Number","Shippernummer"
"Shipping Key","Forsendelsesnøgle"
"Shipping Key (International)","Forsendelsesnøgle (international)"
"Show Method if Not Applicable","Hvis ikke gældende vis metode"
"Signature Required","Signatur obligatorisk"
"Size","Størrelse"
"Small Express Box","Lille Express-kasse"
"Smart Post","Smart Post"
"Sort Order","Sorteringsrækkefølge"
"Standard Overnight","Standard Overnight"
"Station","Station"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal med rabat"
"The response is in wrong format.","Svaret er forkert formateret."
"There is no available method for selected shipping address.","Der er ingen tilgængelig metode for den valgte modtageradresse."
"Third Party","Tredjepart"
"Title","Titel"
"To Lower","Til små bogstaver"
"To Upper","Til store bogstaver"
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
