Points,Punkte
Reward points,Bonus Punkte
You have %d point(s) available,Sie haben %d Punkt(e) verfügbar
To get a discount you need at least %d points, "Um eine Ermäßigung zu erhalten, benötigen Sie mindestens %d Punkte."
Enter quantity of credit you want to use.,"Geben Sie die Menge der Punkte an, die Sie verwenden möchten."
%d points,%d Punkte
Apply Points,Punkte benutzen
Apply points,Punkte benutzen
You are currently using %d point(s) of your %d point(s) available, "Sie benutzen zur Zeit %d Punkt(e) von insgesamt %d verfügbaren Punkten."
Remove Points,Punkte entfernen
Not enough points available.,Nicht genügend Punkte verfügbar.
The minimum required points is not reached,Die mindest erforderlichen Punkte nicht sind nicht erreicht.
Amount of points wrongly used,"Anzahl der Punkte wurde falsch verwendet"
Your Points,Ihre Punkte
Total Accumulated Points, Die gesamten akkumulierten Punkte
Total Points Spent,Vergebene Punkte
Points waiting for validation, Erworbene Punkte sind bei der Überprüfung.
Your cart amount has not reached the minimum required points,"Ihr Warenkorb hat nicht die minimale Menge der erforderlichen Punkte erreicht."
yes,ja
no,nein
Please enter a valid email address,Bitte geben Sie eine gültige E-Mail Adresse an
Please enter your friend name,Bitte geben Sie den Namen Ihres Freunds an.
This email has been already submitted,Diese E-Mail Adresse wurde bereits eingereicht.
There was a problem with the invitation,Es gab ein Problem mit der Einladung.
This email was successfully invited,Diese E-Mail Adresse wurde erfolgreich eingeladen.
Friend's name,Name Ihres Freundes
Statistics,Statistik
Reward Points,Reward Points
Customer full name,Vollständiger Kundenname
Customer email,Kunden E-Mail Adresse
Accumulated points,Kumulierte Punkte
Spent points,Ausgegebene Punkte
Add New,Hinzufügen
Action Type,Aktionstyp
Rule Title,Titel
Type of action,Art der Aktion
Check Order Points,Überprüfe Punkte
Refresh customer points,Aktualisierung der Punkte
Defaults,Grundeinstellung
Points gathered per Money spent,Gesamelte Punkte ausgegeben
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","Punkt-Multiplikator für 1 Geld-Einheit festlegen. (Z.B. wenn auf 2 gesetzt, erhält der Kunde für 50 CHF/€ 100 Punkte)."
Points to obtain 1 €,Punkte erhalten 1 €
Amount of points required to obtain a discount.,"Anzahl der Punkte die erforderlich sind, um einen Rabatt zu erhalten."
Apply points by step,Tragen Sie Punkte für Schritt
