"Product Labels","Product Labels"
"Please specify start date and end date","Please specify start date and end date"
"`To Date` should be more than `From Date`","`To Date` should be more than `From Date`"
"General","General"
"Minimal discount percentage","Minimal discount percentage"
"Record does not exist","Record does not exist"
"Edit","Edit"
"Unable to find a record to save","Unable to find a record to save"
"Product Label has been successfully deleted","Product Label has been successfully deleted"
"Please select records","Please select records"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Add Label","Add Label"
"ID","ID"
"Name","Name"
"Product Page Label","Product Page Label"
"Product Page Text","Product Page Text"
"Category Page Label","Category Page Label"
"Category Page Text","Category Page Text"
"Delete","Delete"
"Are you sure?","Are you sure?"
"New Product Label","New Product Label"
"Edit Product Label `%s`","Edit Product Label `%s`"
"No Image","No Image"
"Label Options","Label Options"
"Images","Images"
"Conditions","Conditions"
"Variables: {ATTR:code} - attribute value, {SAVE_PERCENT} - save percents, {SAVE_AMOUNT} - save amount, {PRICE} - price, {SPECIAL_PRICE} special price, {BR} - new line, {NEW_FOR} - how may days ago the product was added, {SKU} - product SKU","Variables: {ATTR:code} - attribute value, {SAVE_PERCENT} - save percents, {SAVE_AMOUNT} - save amount, {PRICE} - price, {SPECIAL_PRICE} special price, {BR} - new line, {NEW_FOR} - how may days ago the product was added, {SKU} - product SKU"
"Product Page","Product Page"
"Image","Image"
"Text","Text"
"Position","Position"
"Styles","Styles"
"Text Style","Text Style"
"Example: color:red;font-size:12px;","Example: color:red;font-size:12px;"
"Category Page","Category Page"
"Remove","Remove"
"Priority","Priority"
"Use 0 to show label first, and 99 to show it last","Use 0 to show label first, and 99 to show it last"
"Hide if label with higher priority is already applied","Hide if label with higher priority is already applied"
"Use for Parent","Use for Parent"
"Display child`s label for parent (configurable and grouped products only)","Display child`s label for parent (configurable and grouped products only)"
"No","No"
"Yes","Yes"
"Show In","Show In"
"Associated Labels","Associated Labels"
"Individual Products","Individual Products"
"Apply label to","Apply label to"
"All matching products and SKUs listed below","All matching products and SKUs listed below"
"All matching products except SKUs listed below","All matching products except SKUs listed below"
"SKUs listed below only","SKUs listed below only"
"SKUs","SKUs"
"Comma separated SKUs, no spaces. Please make sure the SKU attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`","Comma separated SKUs, no spaces. Please make sure the SKU attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`"
"State","State"
"Is New","Is New"
"Does not matter","Does not matter"
"Is on Sale","Is on Sale"
"Categories","Categories"
"Has attribute","Has attribute"
"If you do not see the label, please make sure the attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`","If you do not see the label, please make sure the attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`"
"Attribute value is","Attribute value is"
"Stock","Stock"
"Out of Stock","Out of Stock"
"In Stock","In Stock"
"Status","Status"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
"From Date","From Date"
"To Date","To Date"
"Price Range","Price Range"
"Use Price Range","Use Price Range"
"From Price","From Price"
"To Price","To Price"
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Middle Left","Middle Left"
"Middle Center","Middle Center"
"Middle Right","Middle Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
"Customer Groups","Customer Groups"
"Use Customer Groups","Use Customer Groups"
"For Customer Groups","For Customer Groups"
"By Price","By Price"
"Special Price","Special Price"
"Final Price","Final Price"
"Final Price Incl Tax","Final Price Incl Tax"
"Starting from Price","Starting from Price"
"Starting to Price","Starting to Price"
"`Is New` condition","`Is New` condition"
"Use `New from Date` and `New to Date`","Use `New from Date` and `New to Date`"
"Use `Creation Date`","Use `Creation Date`"
"Product is new threshold","Product is new threshold"
"In days","In days"
"It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes","It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes"
"`On Sale` Condition","`On Sale` Condition"
"The next lowest integer value","The next lowest integer value"
"By rules of mathematical rounding","By rules of mathematical rounding"
"The next highest integer value","The next highest integer value"
"Rounding of discount percentage","Rounding of discount percentage"
"Minimal discount amount","Minimal discount amount"
"Use Special Price Only","Use Special Price Only"
"For `On Sale` condition","For `On Sale` condition"
"Label height and width value must be between 1 and 100.","Label height and width value must be between 1 and 100."
"Please set percentage for both label width and height.","Please set percentage for both label width and height."
"You need set to `Yes` the `Used in Product Listing` property of the `%s` product attribute <a href="%s" target="_blank">here</a>","You need set to `Yes` the `Used in Product Listing` property of the `%s` product attribute <a href="%s" target="_blank">here</a>"
"Attribute","Attribute"
"Rule","Rule"
"One of selected values","One of selected values"
"All selected values","All selected values"
"Label Width","Label Width"
"Label Height","Label Height"
"Percent of the product image; This property is applicable only for automatic label adding","Percent of the product image; This property is applicable only for automatic label adding"
"Assign Labels","Assign Labels"
"You need set the `Label Width` and the `Label Height` properties, because this are required for the `Automatic mode` of addition, which used for the following stores:%s","You need set the `Label Width` and the `Label Height` properties, because this are required for the `Automatic mode` of addition, which used for the following stores:%s"
