"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(I prodotti saranno aggiunti/aggiornati in questo negozio se la colonna 'store' è vuota o mancante nel file da importare.)"
"(Starting with)","(Inizia con)"
"(Leave empty for first spreadsheet)","(Lasciare vuoto per il primo foglio di calcolo)"
"(For US 2-letter state names)","(Per le sigle a 2 lettere degli stati USA)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Percorso Assoluto o Relativo alla root di installazione di Magento, es. var/export)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Scegliendo 'No', saranno importati solo i campi mappati. Quando fai la mappatura, usa 'colonna1', 'colonna2', ecc.)"
"(If left empty will be auto-generated)","(Se lasciato vuoto sarà generato automaticamente)"
"(t for tab)","(t per tabulazione)"
"-- Please Select --","-- Seleziona --"
"-- Please select a category --","-- Seleziona una categoria --"
"--Please Select--","--Seleziona--"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accesso negato</h1><p>Accesso negato.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Errore 404</h1><p>Pagina non trovata.</p>"
"To","A"
"to","a"
"Enable","Abilita"
"Log in to Admin Panel","Accedi al Pannello di Amministrazione"
"Log into Magento Admin Page","Accedi alla Pagina di Amministrazione di Magento"
"Access Denied.","Accesso Negato."
"Resource Access","Accesso Risorsa"
"Account Created on:","Account Creato il:"
"Account Created in:","Account Creato in:"
"Account successfully saved","Account salvato correttamente"
"Refresh","Aggiorna"
"Upgrade","Aggiorna"
"Upgrade all packages","Aggiorna tutti i pacchetti"
"Upgrade All Available Packages","Aggiorna Tutti i Pacchetti Disponibili"
"Upgrade all available packages","Aggiorna tutti i pacchetti disponibili"
"Updated At","Aggiornato Il"
"Add Field Mapping","Aggiungi Mappatura Campi"
"Add New Image","Aggiungi Nuova Immagine"
"Add New Profile","Aggiungi Nuovo Profilo"
"Add new Role","Aggiungi nuovo Ruolo"
"Add New Role","Aggiungi Nuovo Ruolo"
"Add New Template","Aggiungi Nuovo Template"
"Add New Urlrewrite","Aggiungi Nuovo Urlrewrite"
"Add New User","Aggiungi Nuovo Utente"
"Add Url Rewrite","Aggiungi Url Rewrite"
"Shipment #%s comment added","Aggiunto commento alla spedizione #%s"
"Help Us Keep Magento Healthy - Report All Bugs","Aiutaci a migliorare Magento - Segnala tutti i bug"
"Get help for this page","Aiuto per questa pagina"
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Alcuni degli oggetti ordinati non sono più in catalogo e saranno rimossi se modifichi l'ordine."
"Current Configuration Scope:","Ambito della Configurazione Corrente:"
"store(%s) scope","ambito negozio(%s)"
"Default scope","Ambito predefinito"
"website(%s) scope","ambito sito web(%s)"
"Admin","Amministratore"
"Magento Admin","Amministrazione Magento"
"Url Rewrite Management","Amministrazione Url Rewrite"
"Preview","Anteprima"
"Email Preview","Anteprima Email"
"Preview Template","Anteprima Template"
"API:","API:"
"Items","Articoli"
"items selected","articoli selezionati"
"Individual Item","Articolo Singolo"
"Assigned","Assegnato"
"Please make sure your passwords match.","Assicurati che la tua password corrisponda."
"Please make sure that your changes were saved before running the profile.","Assicurati che le tue modifiche siano state salvate prima di attivare il profilo."
"Please make sure that all global admin search modules are installed and activated.","Assicurati che tutti i moduli di ricerca globali di admin siano installati e attivi."
"Please wait, loading...","Attendere, sto caricando..."
"Please wait...","Attendere..."
"Warning!
This action will remove this user from already assigned role
Are you sure?","Attenzione! Questa azione rimuoverà questo utente dal ruolo già assegnato. Sei sicuro ?"
"Warning!
This action will remove those users from already assigned roles
Are you sure?","Attenzione! Questa operazione rimuoverà quegli utenti dai ruoli già assegnati, sei sicuro?"
"Warning: Please don't close window during importing/exporting data","Attenzione: Non chiudere la finestra durante l'importazione/esportazione dei dati"
"Enabled","Attivato"
"Active","Attivo"
"Global Attribute","Attributo Globale"
"Action","Azione"
"Profile Action","Azione di Profilo"
"Actions","Azioni"
"Reset","Azzera"
"Reset Filter","Azzera Filtro"
"b","b"
"Backups","Backup"
"Backup","Backup"
"Backup successfully created","Backup creato correttamente"
"This is a required field.","Campo obbligatorio"
"Channel","Canale"
"Channel:","Canale:"
"Load","Carica"
"Upload and Install","Carica e Installa"
"Upload File","Carica File"
"Upload Files","Carica File"
"Upload import file","Carica file di importazione"
"Upload Local File","Carica File Locale"
"Upload local file:","Carica file locale:"
"Load previously created custom local package information","Carica informazioni su un pacchetto locale personalizzato creato in precedenza"
"Load Template","Carica Template"
"Load default template","Carica template predefinito"
"Shopping Cart from %s","Carrello della spesa da %s"
"Catalog","Catalogo"
"Category","Categoria"
"Product Categories","Categorie Prodotti"
"Search","Cerca"
"Changelog","Changelog"
"Customer","Cliente"
"Customer Since:","Cliente Dal:"
"Customers","Clienti"
"SKU","COD."
"Action Code","Codice Azione"
"Coupon Code","Codice Coupon"
"SKU:","Codice:"
"Lastname","Cognome"
"Last Name","Cognome"
"Last Name:","Cognome:"
"Shipment Comments","Commenti Spedizioni"
"Credit Memo #%s comment added","Commento aggiunto alla nota di Credito #%s"
"Invoice #%s comment added","Commento fattura #%s aggiunto"
"Toggle Editor","Commuta Editor"
"Please fill in 'email' field.","Compila il campo 'email'."
"Complete","Completo"
"Password Confirmation","Conferma Password"
"Configuration","Configurazione"
"PEAR config","Configurazione PEAR"
"Default Config","Configurazione Predefinita"
"Configuration successfully saved","Configurazione salvata correttamente"
"Wrong tab configuration","Configurazione tab sbagliata"
"Conflicts","Conflitti"
"Connect with the Magento Community","Connettiti con la Community di Magento"
"PEAR Console","Console PEAR"
"Contents","Contenuti"
"Template Content","Contenuto Template"
"Track this shipment","Controlla questa spedizione"
"Convert to Plain Text","Converti in Testo Semplice"
"Cookie (Unsafe)","Cookie (Non sicuro)"
"What is this?","Cos'è questo?"
"Coupons","Coupon"
"Create","Crea"
"Create New Attribute","Crea Nuovo Attributo"
"Package Extensions","Crea Pacchetti Estensioni"
"Create Extension Package","Crea Pacchetto Estensione"
"Create Urlrewrite for","Crea Urlrewrite per"
"Created At","Creato Il"
"Comments History","Cronologia Commenti"
"Invoice History","Cronologia Fatture"
"Credit Memo History","Cronologia Nota di Credito"
"Profile History","Cronologia Profilo"
"Shipment History","Cronologia Spedizioni"
"CSV","CSV"
"CSV / Tab separated","CSV / Formattate con Tab"
"From","Da"
"Switch/Solo card start Date: %s/%s","Data d'inizio carta Switch/Solo: %s/%s"
"Start Date","Data di Inizio"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data di inizio della carta Switch/Solo/Maestro(Regno Unito): %s/%s"
"Expiration Date","Data di Scadenza"
"Expiration Date: %s/%s","Data di Scadenza: %s/%s"
"Date:","Data:"
"Invalid input data for %s => %s rate","Dati in ingresso per la conversione %s => %s non validi"
"Value Delimiter:","Delimitatore valori:"
"Description","Descrizione"
"Description:","Descrizione:"
"Unselect All","Deseleziona Tutto"
"Unselect Visible","Deseleziona Visibili"
"Design","Design"
"You need specify order items","Devi specificare gli articoli nell'ordine"
"of %s pages","di %s pagine"
"Dependencies","Dipendenze"
"Invalid directory: %s","Directory non valida: %s"
"Profile Direction","Direzione Profilo"
"Direction:","Direzione:"
"Disable","Disabilita"
"Disabled","Disabilitato"
"Uninstall","Disinstalla"
"Performed At","Effettuato Il"
"Delete","Elimina"
"Delete Profile","Elimina Profilo"
"Delete Role","Elimina Ruolo"
"Delete Sitemap","Elimina Sitemap"
"Delete Website","Elimina Sito web"
"Delete Template","Elimina Template"
"Delete Url","Elimina Url"
"Delete User","Elimina Utente"
"Delete Store View","Elimina Vista Negozio"
"Email","Email"
"Order confirmation email sent","Email di conferma ordine inviata"
"Order confirmation email not sent","Email di conferma ordine non inviata"
"Transactional Emails","Email per le Transazioni"
"User Email","Email Utente"
"Email:","Email:"
"Both (without and with tax)","Entrambe (senza e con imposta)"
"Revenue","Entrate"
"Upload Security Error","Errore di Sicurezza durante il Caricamento"
"Error uploading the file","Errore durante il caricamento del file"
"Error while saving account. Please try again later","Errore durante il salvataggio dell'account. Riprovare più tardi"
"Error while saving this configuration: ","Errore durante il salvataggio di questa configurazione:"
"Error while saving this role. Please try again later.","Errore durante il salvataggio di questo ruolo. Riprovare più tardi."
"Error while updating selected review(s). Please try again later.","Errore durante l'aggiornamento delle recensioni selezionate. Riprovare più tardi."
"Error while deleting this set.","Errore durante la cancellazione di questo gruppo."
"Error while deleting this role. Please try again later.","Errore durante la cancellazione di questo ruolo. Riprovare più tardi."
"Error while create backup. Please try again later","Errore durante la creazione del backup. Riprova più tardi"
"Upload HTTP Error","Errore HTTP durante il caricamento"
"Upload I/O Error","Errore I/O durante il caricamento"
"Unknown error","Errore sconosciuto"
"SSL Error: Invalid or self-signed certificate","Errore SSL: certificato non valido o autofirmato"
"Exclude","Escludi"
"Exclude (comma separated)","Escludi (separare con la virgola)"
"Finished profile execution.","Esecuzione profilo terminata."
"Running:","Esecuzione:"
"Run","Esegui"
"Run in popup","Esegui In Popup"
"Run Profile","Esegui Profilo"
"Run Profile Inside This Window","Esegui Profilo Dentro Questa Finestra"
"Run Profile In Popup","Esegui Profilo In Popup"
"Export","Esporta"
"Export to:","Esporta come:"
"Export CSV","Esporta CSV"
"Export:","Esporta:"
"Extension","Estensione"
"Extensions","Estensioni"
"Magento Extensions","Estensioni di Magento"
