"Action","Azione"
"Backups","Backups"
"Backups Control","Controllo Backup"
"Backups Control","Controllo Backup"
"Create Backup","Crea backup"
"DB","DB"
"Download","Download"
"File compressed with Zlib, but this extension is not installed on server","Il File è compresso con Zlib, ma questa estensione non è installata sul server"
"Backup file doesn't exist","Il file di Backup non esiste"
"Cannot read backup file","Non è possibile leggere la cartella del backup"
"Time","Ora"
"Wrong order of creation for new backup","Ordine di creazione errato per il nuovo backup"
"Type","Tipo"
"All types","Tutti i tipi"
