"# of Use","# di Utilizzo"
"%s Item(s)","%s Prodotto(i)"
"(Copy data from: %s)","(Copia dati da: %s)"
"(Will make search for the query above return results for this search.)","(Farò in modo che una ricerca con la stringa qui sopra restituisca risultati per questa ricerca.)"
"-- Please Select --","-- Seleziona --"
"Starting at:","A partire da:"
"As low as:","A partire da:"
"Enabled","Abilitato"
"Buy %s for %s","Acquista %s per %s"
"Buy %s for %s each","Acquista %s per <strong>%s ciascuno</strong>"
"Tile","Affiancata"
"Update attributes","Aggiorna attributi"
"Total of %d record(s) were successfully updated","Aggiornati correttamente %d record in totale"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al Confronto"
"Add to My Wishlist","Aggiungi alla Mia Wishlist"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add Items to Cart","Aggiungi Articoli al Carrello"
"Add Attribute","Aggiungi Attributo"
"Add Recipient","Aggiungi Destinatario"
"Add Tier","Aggiungi Fascia"
"Add Group","Aggiungi Gruppo"
"Add New Images","Aggiungi Nuove Immagini"
"Add New","Aggiungi Nuovo"
"Add New Attribute","Aggiungi Nuovo Attributo"
"Add New Set","Aggiungi Nuovo Gruppo"
"Add New Group","Aggiungi Nuovo Gruppo"
"Add New Attribute Set","Aggiungi Nuovo Gruppo di Attributi"
"Add Option","Aggiungi Opzione"
"Add Product","Aggiungi Prodotto"
"Add Product To Websites","Aggiungi Prodotto ai Siti Web"
"Add New Search Term","Aggiungi un Nuovo Termine di Ricerca"
"Please add one or more options","Aggiungi una o più opzioni"
"Add Design Change","Aggiungi Variazione di Design"
"Top/Right","Alto/Destra"
"Top/Left","Alto/Sinistra"
"More Views","Altre Viste"
"Scope","Ambito"
"Catalog Price Scope","Ambito Prezzi Catalogo"
"Apply To","Applica a"
"Apply To Configurable/Grouped Product","Applica a Prodotto Configurabile/Raggruppato"
"Learn More","Approfondisci"
"Approved","Approvato"
"Text Area","Area Testo"
"Items %s to %s of %s total","Articoli da %s a %s di %s in totale"
"Attributes","Attributi"
"Unassigned Attributes","Attributi non Assegnati"
"Product Attributes","Attributi Prodotto"
"Product attribute was successfully saved","Attributo del prodotto salvato correttamente"
"Cart Item Attribute","Attributo Oggetto Carrello"
"Product Attribute","Attributo Prodotto"
"Product attribute was successfully deleted","Attributo prodotto eliminato correttamente"
"Unknown attribute: %s","Attributo Sconosciuto: %s"
"Autogenerate","Autogenera"
"Product Alerts","Avvisi Prodotto"
"Action","Azione"
"Reset","Azzera"
"Based On","Basato Su"
"Invalid block: %s","Blocco non valido: %s"
"Static block and products","Blocco statico e prodotti"
"Bundle","Bundle"
"Change","Cambia"
"Change status","Cambia Stato"
"Text Field","Campo Testo"
"Catalog","Catalogo"
"Catalog, Search","Catalogo, Ricerca"
"Category","Categoria"
"Category deleted","Categoria eliminata"
"Category saved","Categoria salvata"
"Parent Category","Categoria Superiore"
"Categories","Categorie"
"Product Categories","Categorie Prodotti"
"Search","Cerca"
"Close Window","Chiudi Finestra"
"There is %d product(s) that will be not updated for selected store","Ci sono %d prodotto/i che non saranno aggiornati per il negozio selezionato"
"Default Tax Class","Classe d'Imposta Predefinita"
"Please click on Close Window button if it won't be closed automatically","Clicca sul bottone Chiudi Finestra se non si chiude automaticamente"
"Customers for alert %s was successfuly added to queue","Clienti per l'avviso %s aggiunti correttamente alla lista"
"SKU","Cod. Prod."
"Attribute Code","Codice Attributo"
"Missing SKU, skipping the record","Codice prodotto mancante, salto il record"
"Last Name","Cognome"
"Conditions Combination","Combinazione di Condizioni"
"Super product attributes configuration","Configurazione attributi trasversali prodotto"
"Compare Items","Confronta Articoli"
"Compare Products","Confronta Prodotti"
"Compare Products - %d Items","Confronta prodotti <span class=""count"">- %d articoli</span>"
"Comparable","Confrontabile"
"Comparable on Front-end","Confrontabile sul Front-end"
"Email to a Friend","Consiglia per Email a un Amico"
"Cross-sells","Consigliati"
"Send Count","Conteggio Invii"
"Continue","Continua"
"Options Control","Controllo Opzioni"
"Copy From Configurable","Copia da Configurabile"
"Create Product Settings","Crea Impostazioni Prodotto"
"Create Simple Associated Product","Crea Prodotto Semplice Associato"
"Create Empty","Crea Vuoto"
"Quick Create","Creazione Veloce"
"Quick simple product creation","Creazione veloce prodotto semplice"
"Nowhere","Da nessuna parte"
"Date","Data"
"Datetime","Data e ora"
"Date Subscribed","Data Iscrizione"
"Category Data","Dati Categoria"
"Decimal","Decimale"
"Product Description","Descrizione Prodotto"
"unselect all","deseleziona tutto"
"Design","Design"
"Custom Design","Design Personalizzato"
"Recipient:","Destinatario:"
"Declare attribute value saving scope","Dichiara ambito di salvataggio del valore di attributo"
"Watermark Default Size","Dimensione Predefinita Watermark"
"Disabled","Disabilitato"
"In stock","Disponibile"
"In Stock","Disponibile"
"Stock Availability","Disponibilità"
"Availability: In stock.","Disponibilità: Disponibile."
"Availability: In stock. Ships within 24 hours.","Disponibilità: Disponibile. Invio in 24 ore."
"Availability: Out of stock.","Disponibilità: Esaurito"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Dropdown","Dropdown"
"Duplicate","Duplica"
"Duplicate website tier price customer group and quantity.","Duplica gruppo clienti e quantit� per fascia di prezzi del sito web"
"and","e"
"and above","e superiore"
"Entity collection is expected","E' attesa una collezione di oggetti"
"Product collection expected","E' attesa una collezione di prodotti"
"Array of Entity collections is expected","E' atteso un array di collezioni di oggetti"
"Is Default","E' Predefinito"
"Delete","Elimina"
"Delete Attribute","Elimina Attributo"
"Delete Category","Elimina Categoria"
"Delete Attribute Set","Elimina Gruppo di Attributi"
"Delete Selected Group","Elimina il Gruppo Selezionato"
"Delete Option","Elimina Opzione"
"Delete Search","Elimina Ricerca"
"Total of %d record(s) were successfully deleted","Eliminati correttamente %d record in totale"
"Email","Email"
"Email:","Email:"
"There was an error while updating product(s) attributes","Errore durante aggiornamento degli attributi del prodotto/i"
"Error during retrieval of option value: %s","Errore durante il recupero del valore di opzione: %s"
"Product saving error.","Errore durante il salvataggio del prodotto."
"Error while saving this group. Group with the same name already exists.","Errore durante il salvataggio di questo gruppo. Esiste gi� un gruppo con questo nome."
"Error while adding customers for %s alert. Message: %s","Errore durante l'aggiunta di clienti per l'avviso %s. Messaggio: %s"
"Category delete error","Errore durante la cancellazione della categoria"
"Error while saving this group. Please try again later.","Errore nel salvataggio di questo gruppo. Riprovare più tardi."
"Category move error","Errore nello spostamento della categoria"
"ex. http://domain.com","es. http://dominio.com"
"Out of stock","Esaurito"
"Out of Stock","Esaurito"
"Out of stock.","Esaurito."
"Exclude","Escludi"
"Attribute with the same code already exists","Esiste già un attributo con lo stesso codice"
"Stretch","Estendi"
"Label","Etichetta"
"Attribute Label","Etichetta Attributo"
"A name is required","E’ obbligatorio un nome"
"Failed","Fallito"
"Tier Pricing","Fascie di Prezzo"
"Image file not found","File di immagine non trovato"
"Watermark","Filigrana"
"Product Image Watermarks","Filigrane Immagini Prdotto"
"Filterable (with results)","Filtrabile (con risultati)"
"Filterable (no results)","Filtrabile (nessun risultato)"
"Fixed","Fisso"
"Frontend","Frontend"
"Gallery","Gallery"
"Manage Attributes","Gestione Attributi"
"Manage Product Attributes","Gestione Attributi Prodotto"
"Manage Categories","Gestione Categorie"
"Manage Catalog Categories","Gestione Categorie Catalogo"
"Manage Label / Options","Gestione Etichette / Opzioni"
"Manage Attribute Sets","Gestione Gruppi Attributi"
"Manage Product Sets","Gestione Gruppi Prodotto"
"Manage Options (values of your attribute)","Gestione Opzioni (valori dei tuoi attributi)"
"Manage Products","Gestione Prodotti"
"Manage Titles (Size, Color, etc.)","Gestione Titoli (Dimensioni, Colore, ecc.)"
"Url Rewrite Management","Gestione Url Rewrite"
