"By Percentage","A Percentuale"
"By Fixed value","A Valore Fisso"
"Decrease Stock When Order is Placed","Aggiorna il Magazzino quando arriva un Ordine"
"Update the Product","Aggiornare il Prodotto"
"Notify for Quantity Below","Avverti per Quantità Negativa"
"Allow Qty Below 0","Consenti Quantità al di sotto dello 0"
"Allow Qty Below 0 and Notify Customer","Consenti quantità sotto lo Zero ed avvisa il Cliente"
"To Percentage","In Percentuale"
"To Fixed Value","In Valore Fisso"
"Inventory","Inventario"
"The requested quantity is not available.","La quantità richiesta non è disponibile."
"The requested quantity for ""%s"" is not available.","La quantità richiesta per ""%s"" non è disponibile."
"No Backorders","Nessuna Rimanenza"
"Can not specify product identifier for order item","Non puoi specificare l'identificatore prodotto per questo ordine."
"Stock Options","Opzioni Magazzino"
"Rule price","Prezzo Norma"
"Maximum Qty Allowed in Shopping Cart","Quantità massima abilitata nel carrello"
"Minimum Qty Allowed in Shopping Cart","Quantità minima abilitata nel carrello"
"Minimum Qty for Items' Status to be In Stock","Quantità minima di pezzi presenti in magazzino"
"Backorders","Rimanenza"
