"%s and greater","%s e superiore"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d oggetto(i)</b> trovati con i seguenti criteri di ricerca"
"Short Description","Breve Descrizione"
"Required Fields","Campi Obbligatori"
"Search","Cerca"
"Search entire store here...","Cerca in tutto il negozio..."
"Search entire store here...","Cerca in tutto il negozio..."
"Search Site","Cerca nel Sito"
"Search results for '%s'","Cerca risultati per '%s'"
"Search results for: '%s'","Cerca risultati per: '%s'"
"Tax Class","Classe IVA"
"SKU","Cod. Prod."
"Description","Descrizione"
"You have to specify at least one search term","Devi specificare almeno un termine di ricerca"
"Grid","Griglia"
"Home","Home"
"Search Settings","Impostazioni di Ricerca"
"Your search returns no results.","La Ricerca non ha prodotto alcun risultato."
"Popular search terms","Le Ricerche Più Frequenti"
"List","Lista"
"Autogenerated site map","Mappa del sito autogenerata"
"Modify your search","Modifica la ricerca"
"Name","Nome"
"There are no search terms available.","Non ci sono termini di ricerca disponibili"
"Price","Prezzo"
"Advanced Search","Ricerca Avanzata"
"Catalog Advanced Search","Ricerca Avanzata del Catalogo"
"Results","Risultati"
"up to %s","superiore a %s"
"Popular Search Terms","Termini di Ricerca più usati"
"Search Terms","Termini più ricercati"
"All","Tutto"
"Go to Home Page","Vai alla Home Page"
