"%s was successfully added to your shopping cart.","%s è stato aggiunto al carrello."
"&laquo; Back to Shopping Cart","&laquo; Torna al Carrello"
"&laquo; Back to Billing Information","&laquo; Torna alle Informazioni di Fatturazione"
"&laquo; Back to Select Addresses","&laquo; Vai all'indirizzo selezionato"
"* Required Fields","* Campi obbligatori"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continue gli acquisti</a>."
"Easy access to your order history and status","Accesso facile alla cronologia ed allo stato dei tuoi ordini"
"Checkout","Acquista"
"Update Shopping Cart","Aggiorna Carrello"
"Update Qty &amp; Addresses","Aggiorna Qta &amp; Indirizzi"
"Update Total","Aggiorna Totale"
"Add to Cart","Aggiungi al Carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add New Address","Aggiungi Nuovo Indirizzo"
"Some of the products you requested are not available in the desired quantity","Alcuni prodotti da te richiesti non sono disponibili"
"Some of the products you requested are unavailable","Alcuni prodotti da te richiesti sono indisponibili"
"Apply Coupon","Applica Coupon"
"Items","Articoli"
"Company","Azienda"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","C'è <a href=""%s""><strong>1 oggetto</strong></a> nel tuo carrello."
"There is already a customer registered using this email address","C'è già un cliente registrato usando questo indirizzo email"
"Estimate Shipping and Tax","Calcola Spese di Spedizione e Tasse"
"Change Billing Address","Cambia Indirizzo di Fatturazione"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Change Shipping Method","Cambia Metodo di Spedizione"
"Change Payment Method","Cambia modalit&agrave; di Pagamento"
"Cancel Coupon","Cancella Buono"
"Zip/Postal Code","CAP/Codice postale"
"Shopping Cart","Carrello"
"My Cart","Carrello"
"My Cart (%s items)","Carrello (%s items)"
"My Cart (%s item)","Carrello (%s oggetto)"
"Fast and easy check out","Check out facile e veloce"
"Checkout as Guest","Checkout come Ospite"
"Checkout as a Guest or Register","Checkout come Ospite o Registrati"
"Checkout with Multiple Addresses","Checkout con Indirizzi Multipli"
"Close","Chiudi"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Ci sono <a href=""%s""><strong>%s articoli</strong></a> nel carrello."
"City","Città"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" target=""_blank"">qui per stampare</a> una copia della tua conferma d'ordine."
"Coupon code ""%s"" is not valid.","Codice Coupon ""%s"" invalido."
