"(eg: domain.com/identifier)","(es: dominio.com/identificatore)"
"Enabled","Abilitato"
"Layout Update XML","Aggiorna Layout XML"
"Add New Page","Aggiungi nuova pagina"
"Add New Block","Aggiungi nuovo blocco"
"Manage Blocks","Amministra Blocchi"
"Manage Pages","Amministra pagine"
"Poll Manager","Amministrazione sondaggi"
"Preview","Anteprima"
"Action","Azione"
"CMS Blocks","Blocchi CMS"
"Static Blocks","Blocchi Statici"
"Block was successfully saved","Blocco salvato correttamente"
"Delete Block","Cancella Blocco"
"CMS","CMS"
"Content","Contenuto"
"Date Created","Data creazione"
"Description","Descrizione"
"Custom Design","Design Personalizzato"
"Disabled","Disabilitato"
"Delete Page","Elimina pagina"
"Home","Home"
"CMS Home Page","Home Page CMS"
"Identifier","Identificatore"
"SEF URL Identifier","Identificatore SEF URL"
"Block was successfully deleted","Il blocco è stato cancellato con successo"
"Unable to find a block to delete","Impossibile trovare un blocco da eliminare"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
"Page Information","Informazione pagina"
"Block Information","Informazioni blocco"
"Customer Tax Class Information","Informazioni classe di imposte cliente"
"General Information","Informazioni generali"
"Product Tax Class Information","Informazioni sulla classe di imposta del prodotto"
"Page Identifier for specified store already exist.","L'identificatore della Pagina per questo negozio esiste già."
"Page Identifier cannot consist only of numbers.","L'Identificatore Pagina non può consistere solo in numeri."
"The page you are trying to save no longer exists","La pagina che stai tentando di salvare non esiste più"
"Layout","Layout"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Edit Block","Modifica blocco"
"Edit Block '%s'","Modifica Blocco '%s'"
"Edit Page","Modifica pagina"
"Edit Page '%s'","Modifica Pagina '%s'"
"Show breadcrumbs for CMS pages","Mostra breadcrumbs per le pagine del CMS"
"New Page","Nuova pagina"
"New Block","Nuovo blocco"
"CMS No Route Page","Pagina da visualizzare per errore 404"
"Page was successfully deleted","Pagina eliminata correttamente"
"Page was successfully saved","Pagina salvata correttamente"
"CMS Pages","Pagine CMS"
"Keywords","Parole chiave"
"This page no longer exists","Questa pagina non esiste più"
"This block no longer exists","Questo blocco non esiste più"
"Save Block","Salva Blocco"
"Save Page","Salva pagina"
"Status","Stato"
"Page Status","Stato pagina"
"Such a block identifier in selected store already exist.","Tale identificatore del blocco nel negozio selezionato esiste già."
"Custom Theme","Tema Personalizzato"
"Custom Theme To","Tema Personalizzato A"
"Custom Theme From","Tema Personalizzato Da"
"Title","Titolo"
"Block Title","Titolo blocco"
"Page Title","Titolo pagina"
"All countries","Tutte le nazioni"
"Last Modified","Ultima modifica"
"Go to Home Page","Vai alla Home Page"
"Store View","Vista Negozio"
