"* Required Fields","* campi obbligatori"
"Enable Contact Us","Abilita Contattaci"
"Comment","Commento"
"Contact Us","Contattaci"
"Contacts","Contatti"
"Email","Email"
"Contact Form","Form dei Contatti"
"Unable to submit your request. Please, try again later","Impossibile inoltrare la richiesta. Per favore, riprova più tardi"
"Contact Information","Informazioni contatto"
"Submit","Invia"
"Send Emails To","Invia Email a"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","La tua richiesta è stata inoltrata, ti risponderemo al più presto. Grazie per averci contattato."
"Email Sender","Mittente Email"
"Name","Nome"
"Email Options","Opzioni Email"
"Telephone","Telefono"
"Email Template","Template Email"
