"%s already exist","%s esiste già"
"%s already exists","%s esistono già"
"* Required Fields","* Campi Obbligatori"
"-- Please Select --","-- Seleziona --"
"Enabled","Abilitato"
"Enabled for Frontend","Abilitato nel Frontend"
"Enabled for Admin","Abilitato per l'Amministratore"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Aggiornamento del layout non valido, era previsto Mage_Core_Model_Layout_Element"
"Add Store Code to Urls","Aggiungi il Codice del Negozio agli URLs"
"Admin User","Amministratore"
"Cancel","Annulla"
"Sales representative","Aquisti rappresentativi"
"Please wait, loading...","Attendere, caricamento in corso..."
"Advanced","Avanzato"
"Invalid block: %s","Blocco non valido: %s"
"Unknown scope ""%s""","Campo ""%s"" sconosciuto"
"Base directory","Cartella Base"
"Invalid base dir type specified: %s","Cartella base specificata non valida: %s"
"Session files directory","Cartella dei file di sessione"
"Code pools root directory","Cartella root delle riserve di codice"
"Root Category","Categoria di root"
"Search","Cerca"
"Code","Codice"
"Invalid transactional email code: ","Codice transazionale email non valido: "
"Comment","Commento"
"Compare Products","Confronta Prodotti"
"Compare Products - %d Items","Confronta Prodotti - %d voci"
"Compare Items","Confronta Voci"
"Allow countries","Consenti paesi"
"Contact Us","Contattaci"
"General contact","Contatti Generali"
"Please make sure your passwords match.","Controlla che le password coincidano."
"Create Website","Crea il sito web"
"Create Store","Crea Negozio"
"Create Store View","Crea Vista Negozio"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - tutte gli eventi in minuti"
"Date To","Data arrivo"
"Date From","Data partenza"
"Debug","Debug"
"Default","Default"
"Default no-route url","Default no-route url"
"Design","Design"
"Media files directory","Directory files Media"
"Skin directory","Directory Skin"
"Disable email communications","Disabilita le email di comunicazione"
"Disable modules output","Disabilita moduli di output"
"Cookie Domain","Dominio del Cookie"
"Duplicate Of Template Code","Duplica il modello del codice"
"Delete","Elimina"
"Delete Store","Elimina negozio"
"Delete Website","Elimina sito"
"Delete Store View","Elimina Vista Negozio"
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Eliminando il negozio non verranno eliminate anche le informazioni ad esso associate ( categorie, prodotti ecc.) ma il negozio non potrà essere restaurato, è consigliabile creare un database backup prima di cancellare il negozio."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Eliminando il website non verranno eliminate anche le informazioni ad esso associate ( categorie, prodotti ecc.) ma il negozio non potrà essere restaurato, è consigliabile creare un database backup prima di cancellare il negozio."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Eliminando la vista del negozio non verranno eliminate anche le informazioni associate con la vista del negozio ( categorie, prodotti ecc.) ma la vista del negozio non potrà essere restaurata, è consigliabile creare un database backup prima di cancellare la vista del negozio."
"Email","Email"
"Sender email","email del mittente"
"Error while saving. Please try again later.","Errore durante il salvataggio. Per favore riprovare più tardi."
"Error in file: ""%s"" - %s","Errore nel file: ""%s"" - %s"
"Filesystem","Filesystem"
"Timezone","Fuso orario"
"General","Generale"
"Invalid layout update handle","Gestione dell'aggiornamento di layout non valida"
"Session Cookie management","Gestione delle sessioni dei cookie"
"Manage Stores","Gestisci Negozi"
"Global","Globale"
"Host","Host"
"Database was successfuly backed up.","Il backup del database è stato creato correttamente."
"Block with name ""%s"" already exists","Il blocco chiamato ""%s"" esiste già."
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice del Website deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice negozio deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Controller file was loaded but class does not exist","Il file del controller è stato caricato ma la classe non esiste"
"Store was successfully deleted.","Il negozio è stato eliminato correttamente."
"Store was successfully saved","Il negozio è stato salvato correttamente"
"Store not exists","Il negozio non esiste"
"Model collection resource name is not defined","Il nome della risorsa collezione modelli non è definito"
"Website was successfully saved","Il sito salvato con successo"
"Your order # is: %s","Il tuo ordine # è: %s"
"Your order has been received","Il tuo ordine è stato ricevuto"
"Website not exists","Il Website non esiste"
"Can't retrieve entity config: %s","Impossibile recuperare config entità: %s"
"Set as default","Imposta come predefinito"
"Back","Indietro"
"Store Email Addresses","Indirizzi email del negozio"
"Store View Information","Informazioni della vista del negozio"
"Contact Information","Informazioni di contatto"
"Store Information","Informazioni negozio"
"Website Information","Informazioni sito"
"Please enter a valid zip code.","Inserire un CAP valido."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valida."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di sicurezza sociale valido. Ad esempio 123-45-6789."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid date.","Inserire una data valida."
"Please enter valid password.","Inserire una password valida."
"Please enter a valid $ amount. For example $100.00.","Inserire una quantità di € valida. Per esempio € 100,00."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserisci un codice postale valido. Per esempio 90602 o 90602-1234."
"Please enter a valid URL. http:// is required","Inserisci un URL valido. http:// è richiesto"
"Unsecure","Insicuro"
"Submit","Invia"
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Base JavaScript URL","JavaScript URL di base"
"Model class does not exist: %s","La classe di modello non esiste: %s"
"Start date can't be greater than end date","La data d'inizio non può essere più grande di quella di fine"
"Your session has been expired, you will be relogged in now.","La tua sessione è scaduta, devi rieffettuare il login."
"Store View not exists","La vista del negozio non esiste"
"Leave empty for access from any location","Lasciare vuoto per accedere da qualsiasi località"
"Layout","Layout"
"Base Link URL","Link URL di base"
"Locale","Locale"
"located in {{base_dir}}/var/log","Localizzato in {{base_dir}}/var/log"
"Base Media URL","Media URL di base"
"Invalid messages storage ""%s"" for layout messages initialization","Messaggio storage non valido ""%s"" per il layout di inizializzazione messaggio."
"Please enter 6 or more characters.","Minimo 6 caratteri."
"Forgot Password Email Sender","Mittente dell'email Password Dimenticata"
"Forgot Password Email Template","Modello dell'email Password Dimenticata"
"Design Change","Modifica del Design"
"Edit Design Change","Modifica i cambiamenti di Design"
"Edit Store","Modifica negozio"
"Edit Store View","Modifica Vista Negozio"
"Edit Website","Modifica Website"
"Stores","Negozi"
"Store with the same code","Negozi con lo stesso codice"
"Store","Negozio"
"Default Store","Negozio di default"
"Name","Nome"
"Invalid block name to set child %s: %s","Nome del blocco figlio non valido%s: %s"
"File Name","Nome del file"
"Exception Log File Name","Nome del file di log delle Eccezioni"
"Sender name","Nome del mittente"
"Current package name","Nome del pacchetto corrente"
"Store View Name","Nome della vista del negozio"
"Store Name","nome Negozio"
"Website Name","Nome sito"
"Unable to create backup. Please, try again later.","Non è stato possibile creare il backup. Per favore, riprova più tardi."
