"* Required Fields","* Campi Obbligatori"
"My Account","Account"
"Purchased at","Acquistato a"
"Purchase On","Acquistato Il"
"Admin","Admin"
"Update","Aggiorna"
"Add New Customer","Aggiungi Nuovo Cliente"
"Add New Customer Group","Aggiungi Nuovo Gruppo Clienti"
"Add New Address","Aggiungi Nuovo Indirizzo"
"Added From","Aggiunto Da"
"To Cart","Al Carrello"
"There are no items in customer's wishlist at the moment","Al momento non ci sono articoli nella whislist del cliente"
"You are currently not subscribed to any newsletter.","Al momento non risulti iscritto ad alcuna newsletter."
"You are currently subscribed to 'General Subscription'.","Al momento risulti iscritto a 'Iscrizione Generale'."
"Cancel","Annulla"
"Approved","Approvato"
"Assign a customer group","Assegna gruppo clienti"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Attraverso il tuo Pannello hai la possibilita' di visualizzare una istantanea delle tue recenti attivita ed aggiornare le informazioni relative al tuo account. Selezione un link sottostante per controllare o modificare i dati inseriti."
"Company","Azienda"
"Action","Azione"
"Change Billing Address","Cambia Indirizzo di Fatturazione"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Change Password","Cambia Password"
"Change Account Password","Cambia Password Account"
"Unsubscribe from newsletter","Cancella Iscrizione dalla newsletter"
"Shopping Cart","Carrello"
"Shopping Cart - %d item(s)","Carrello - %d articolo(i)"
"City","Citt&agrave;"
"Tax class","Classe tassa"
"Tax Class","Classe Tassa"
"Customer","Cliente"
"Customer Since","Cliente Dal"
"Customers","Clienti"
"Online Customers","Clienti Online"
"Registered Customers","Clienti Registrati"
"SKU","Cod."
"Last Name","Cognome"
"Missing lastname, skipping the record","Cognome mancante, record non processato"
"Customer collection expected","Collezione clienti mancante"
"Entity collection is expected","Collezione entità mancante"
"Bought From","Comprato Da"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Con la registrazione potrai procedere agli aquisti più velocemente, memorizzare indirizzi di consegna multipli, controllare in tempo reale i tuoi ordini e tanto altro ancora."
"Share Customer Accounts","Condividi Account Cliente"
"Confirm New Password","Conferma Nuova Password"
"Confirm Password","Conferma Password"
"Config","Configurazione"
"Customer Configuration","Configurazione Cliente"
"Continue Shopping","Continua Acquisti"
"Please make sure your passwords match.","Controlla che le password coincidano."
"Create New Customer Account","Crea Nuovo Account Cliente"
"Create Order","Crea Ordine"
"Create an Account","Crea un Account"
"CSV","CSV"
"Need to Confirm","Da Confermare"
"Account Dashboard","Dashboard Account"
"Date","Data"
"Date Added","Data Inserimento"
"Last date subscribed","Data ultima iscrizione"
"Last date unsubscribed","Data ultima iscrizione annullata"
"Invalid customer data","Dati cliente non validi"
"User description","Descizione utente"
"Details","Dettagli"
"View","Dettagli"
"Forgot Your Password?","Dimenticato la Password?"
"Disabled","Disabilitato"
"Default Email Domain","Dominio Email Default"
"A new password was sent","E' stata inviata una nuova password"
"Login or Create an Account","Effettua il Login o Registrati"
"Delete","Elimina"
"Delete Customer","Elimina Cliente"
"Delete Customer Group","Elimina Gruppo Clienti"
"Delete Address","Elimina Indirizzo"
"Email","Email"
"Customer email already exists","Email del cliente gi&agrave; esistente"
"Forgot Email Sender","Email del Mittente Dimenticata"
"Missing email, skipping the record","Email mancante, record non processato"
"Error during retrieval of option value: %s","Errore  durante il recupero del valore: %s"
"Fax","Fax"
"Newsletter Finish","Fine Newsletter"
"Manage Customers","Gestione Clienti"
"Manage Addresses","Gestione Indirizzi"
"Password Management","Gestione Password"
"Days in Wishlist","Giorni nella Wishlist"
"Global","Globale"
"Thank you for registering with %s","Grazie per esserti registrato con %s"
"Customer Groups","Gruppi Clienti"
"Group","Gruppo"
"Group ""%s"" can not be deleted","Gruppo ""%s"" non pu&ograve; essere cancellato"
"Customer Group","Gruppo Cliente"
"Customer Group was successfully deleted","Gruppo Cliente cancellato correttamente"
"Customer Group was successfully saved","Gruppo Cliente salvato correttamente"
"Default Group","Gruppo Default"
"View Order List","Guarda Lista Ordini"
"You're now Logged Out","Hai effettuato il Log Out"
"HTML","HTML"
"My Orders","I Miei Ordini"
"My Tags","I Miei Tags"
"ID","ID"
"Product ID","ID Prodotto"
"Wrong region id by selected country","Id regione non corretta dalla nazione selezionata"
"Pasword fields can't be empty.","Il campo password non può essere vuoto"
"Customer doesn't have primary billing address","Il Cliente non ha specificato un indirizzo principale di fatturazione"
"My Dashboard","Il Mio Pannello"
"Your account balance is: %s","Il tuo saldo &egrave;: %s"
"Can't save customer","Impossibile salvare il cliente"
"Can't save address","Impossibile salvare indirizzo"
"Set as Default Billing Address","Imposta come Indirizzo di Fattutazione Principale"
"Set as Default Shipping Address","Imposta come Indirizzo di Spedizione Principale"
"Paused","In Pausa"
"Pending","In Sospeso"
"Back","Indietro"
"Addresses","Indirizzi"
"Address","Indirizzo"
"Customer Addresses","Indirizzo Cliente"
"Default Addresses","Indirizzo di Default"
"Primary Billing Address","Indirizzo di Fatturazione Principale"
"Default Shipping Address","Indirizzo di Spedizione Default"
"Primary Shipping Address","Indirizzo di Spedizione Principale"
"The address was successfully deleted","Indirizzo eliminato correttamente"
"Email Address","Indirizzo Email"
"Invalid email address","Indirizzo email non valido"
"Default Billing Address","Indirizzo Fatturazione di Default"
"IP Address","Indirizzo IP"
"The address was successfully saved","Indirizzo salvato correttamente"
"Account Information","Informazioni Account"
"Account information was successfully saved","Informazioni Account salvate correttamente"
"Customer Information","Informazioni Cliente"
"Contact Information","Informazioni Contatto"
"Billing Information","Informazioni Fatturazione"
"Group Information","Informazioni Gruppo"
"Address Information","Informazioni Indirizzo"
"Login Information","Informazioni Login"
"Newsletter Information","Informazioni Newsletter"
"Personal Information","Informazioni Personali"
"Shipping Information","Informazioni Spedizione"
"Newsletter Start","Inizio Newsletter"
"Please enter your email.","Inserisci la tua email."
"Please enter your email below and we'll send you a new password.","Inserisci la tua mail e ti verr&agrave; spedita una nuova password."
"Please enter your email below and we'll send you a new password.","Inserisci la tua mail e ti verr&agrave; spedita una nuova password."
"Submit","Invia"
"Send welcome email","Invia email di benvenuto"
"Send auto-generated password","Invia password generata automaticamente"
"Sent","Inviato"
"Sending","Invio"
"Subscribed to Newsletter?","Iscritto alla Newsletter?"
"Subscribe to newsletter","Iscriviti alla newsletter"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Sign up for our newsletter","Iscriviti alla nostra newsletter"
"General Subscription","Iscrizione Generale"
"Newsletter Subscription","Iscrizione Newsletter"
"The address does not belong to this customer","L'indirizzo non appartiene al cliente"
"My Wishlist","La Mia Wishlist"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La Password deve essere lunga almeno 6 caratteri. Gli spazi iniziali e finali saranno ignorati."
"My Reviews","Le Mie Recensioni"
"Order List...","Lista ordini..."
"Log Out","Log Out"
"Login","Login"
"Log In","Login"
"Customer Login","Login Cliente"
"Login and password are required","Login e password sono necessari"
"Never","Mai"
"Average Sale","Media Vendita"
"Payment Method","Metodo di Pagamento"
"Shipping Method","Metodo Spedizione"
"Email Sender","Mittente Email"
"Edit","Modifica"
"Edit Customer Groups","Modifica Gruppi Clienti"
"Edit Group","Modifica gruppo"
"Edit Customer Group ""%s""","Modifica Gruppo Cliente ""%s"""
"Edit Address","Modifica Indirizzo"
"Edit Customer's Address","Modifica Indirizzo del Cliente"
"Edit Address Entry","Modifica Indirizzo di Registrazione"
"Edit Account Information","Modifica Informazioni Account"
"Edit Personal Information","Modifica Informazioni Personali"
"Edit Newsletter Subscription","Modifica Iscrizione Newsletter"
"Edit Newsletters","Modifica Newsletter"
"n/a","n/d"
"Deleted Stores","Negozi Cancellati"
"Store","Negozio"
"Invalid store specified, skipping the record","Negozio specificato non valido, record non processato"
"No Items Found","Nessun Articolo Trovato"
"No product collections found","Nessuna collezione di prodotti trovata"
"No Newsletter Found","Nessuna Newsletter Trovata"
"Newsletters","Newsletter"
"Newsletter","Newsletter"
"Newsletter Received","Newsletter Ricevuta"
"Name","Nome"
"First Name","Nome"
"Group Name","Nome gruppo"
"Missing firstname, skipping the record","Nome mancante, record non processato"
"Product name","Nome Prodotto"
"Product Name","Nome Prodotto"
"Tag Name","Nome Tag"
