"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Accesso negato alla cartella ""%s"""
"Declared adapter %s not found","Adattatore dichiarato %s non trovato"
"Loaded successfully: ""%s""","Caricato con successo: ""%s"""
"Error field mapping! Fields list for mapping is not defined","Errore nella mappatura dei campi. I campi non sono stati definiti."
"ETA: %s","ETA: %s"
"Done","Fatto"
"Sheet 1","Foglio 1"
"File ""%s"" don't exist","Il file ""%s"" non esiste"
"Method ""%s"" not defined in adapter %s","Il metodo ""%s"" non è definito nell'adattatore %s"
"Could not load file: ""%s""","Impossibile caricare il file: ""%s"""
"Could not save file: %s","Impossibile salvare il file ""%s"""
"Starting %s :: %s","Inizio %s :: %s"
"Destination folder ""%s"" does not exist or not access to create","La cartella di destinazione ""%s"" è inesistente o non può essere creata."
"Destination folder ""%s"" is not a directory","La cartella di destinazione ""%s"" non è una directory."
"Destination folder ""%s"" is not a writeable","La cartella di destinazione ""%s"" non ha i permessi di scrittura."
"Memory Used: %s","Memoria utilizzata: ""%s"""
"Less than a minute","Meno di un minuto."
"minutes","minuti"
"minute","minuto"
"hour","ora"
"hours","ore"
"Please declare ""adapter"" and ""method"" node first","Per favore definisci i nodi ""adapter"" e ""metodo"" prima di tutto."
"Processed records: %s","Record processati: %s"
"Total records: %s","Record totali: %s"
"Skip undefined row","Salta la riga non definita"
"Saved successfully: ""%s"" [%d byte(s)]","Salvato correttamente: ""%s"" [%d byte]"
"Error occured during file opening: ""%s""","Si è verificato un errore all'apertura di: ""%s"""
"Dry run set, stopping execution","Test impostato, esecuzione in arresto"
"Found %d rows","Trovate %d colonne."
