"-- Please select --","-- Seleziona --"
"Enabled","Abilitato"
"WARNING:","ATTENZIONE:"
"Currency Update Warnings","Avvertimenti Aggiornamento Valuta"
"Invalid country code: %s","Codice nazione errato: %s"
"Continue &raquo;","Continua &raquo;"
"Start Time","Data di Inizio"
"Error Email Recipient","Errore Destinatario Email"
"FATAL ERROR:","ERRORE FATALE:"
"Error Email Sender","Errore Mittente Email"
"Error Email Template","Errore Template Email"
"Frequency","Frequenza"
"Currency Setup","Gestione Valuta"
"Scheduled Import Settings","Importazione Settaggi Programmata"
"Unable to initialize import model","Impossibile inizializzare il modello di importazione."
"Cannot retrieve rate from %s","Impossibile recuperare il tasso da %s"
"Country and Format Type combination should be unique","La combinazione Paese e Formato dovrebbe essere unica."
"Your current currency is: %s","La tua valuta corrente e': %s"
"Currency Options","Opzioni Valuta"
"Select Your Currency","Seleziona la Tua Valuta"
"Service","Servizio"
"Invalid Import Service Specified","Specificato Servizio di Importazione Invalido"
"State/Province","Stato/Provincia"
"Invalid rates received","Tassi invalidi ricevuti"
"Undefined rate from ""%s-%s""","Tasso indefinito da ""%s-%s"""
"Currency","Valuta"
"Invalid target currency","Valuta non valida"
"Base currency (Currency will be used for all online payment transactions)","Valuta predefinita (La valuta sarà utilizzata per tutti i pagamenti online)"
"Allowed currencies","Valute consentite"
"Installed Currencies","Valute Installate"
"Default display currency","Visualizzazione Valuta Default"
