"Loaded %d records","%d record caricati"
"Invalid alias, already exists in joined attributes","Alias non valido, esiste già negli attributi congiunti"
"Attribute with the same code","Attributo con lo stesso codice"
"Wrong attribute group ID","Attributo group ID errato"
"Invalid attribute requested: %s","Attributo richiesto non valido: %s"
"Wrong attribute set ID","Attributo set ID errato"
"Invalid attribute specified: %s","Attributo specificato non valido: %s"
"Attribute used in configurable products.","Attributo utilizzato nei prodotti configurabili."
"Invalid joined fields","Campi inseriti non validi"
"Invalid data object key","Chiave dell'oggetto di dati non valida"
"Invalid foreign key","Chiave esterna non valida"
"Entity collection expected","Collezione Entità aspettata"
"Entity collections expected","Collezioni Entità aspettate"
"Invalid entity supplied: %s","Entità fornitura non valid: %s"
"Invalid entity supplied","Entità fornitura non valida"
"Entity is not initialized","Entità non è inizializzata"
"Invalid entity specified","Entità specificata non valida"
"Wrong entity ID","Entity ID errato"
"Invalid entity_id, skipping the record","Entity_id non valido, record ignorato."
"Invalid entity_type specified: %s","entity_type specificato non valido: %s"
"Attempt to add an invalid object","Hai tentato di aggiungere un oggetto non valido"
"Wrong attribute ID","ID attributo errato"
"Joined field with this alias (%s) is already declared","Il campo con questo alias (%s) è già dichiarato"
"Joined field with this alias is already declared","Il campo con questo alias è già dichiarato"
"Joined field or attribute expression with this alias is already declared","Il Campo inseriti o l'espressione attribuita con questo alias è già dichiarato"
"Value of attribute ""%s"" must be unique","Il valore dell'attributo ""%s"" deve essere unico"
"Default option value is not defined","Il valore di default non è definito"
"Data integrity: No header row found for attribute","Integrità dei dati: Nessun header trovato per l'attributo"
"Attribute '%s' used in configurable products.","L'attributo '%s' è utilizzato nei prodotti configurabili"
"Frontend label is not defined","L'etichetta del Frontend non è stata definita"
"Valid store_id is expected!","Manca un valido store_id"
"Invalid store specified","Negozio specificato non valido"
"No options root node found","Nessuna opzione trovata per il root node"
"No","No"
"Invalid attribute name: %s","Nome Attributo non valido: %s"
"Unknown parameter","Parametro sconosciuto"
"Problem loading a record, aborting. Error: %s","Problema durante il caricamento di un record, operazione annullata. Errore: %s"
"Problem saving a record, aborting. Error: ","Problema durante il salvataggio di un record, operazione annullata. Errore:"
"Saved ","Salvato "
"Yes","Si"
"Problem loading the collection, aborting. Error: %s","Si è verificato un problema nel caricamento della collezione. Processo interrotto. Errore %s"
"Problem saving the collection, aborting. Error: %s","Si è verificato un problema nel salvataggio della collezione. Processo interrotto. Errore: %s"
"Invalid attribute type","Tipo attributo non valido"
"Invalid entity type","Tipo entità non valida"
"Invalid character encountered in increment ID: %s","Trovato carattere non valido nel ID di incremento: %s"
