"* Required Fields","* Campi Obbligatori"
"Add","Aggiungi"
"Add Gift Message","Aggiungi Messaggio di Auguri"
"To","al"
"Cancel","Annulla"
"Item %d of %d","Articoli %d di %d"
"Close","Chiudi"
"Allow Gift Messages for Order Items","Consenti Messaggio di Auguri per gli Articoli Ordinati"
"Allow Gift Messages on Order Level","Consenti Messaggio di Auguri su Livello Ordine"
"From","Da"
"Unknown entity type","Entità sconosciuta"
"Error while saving gift message","Errore durante il salvataggio del messaggio di auguri"
"Do you have any gift items in your order?","Hai qualche oggetto regalo nel tuo ordine?"
"Gift message has been successfully saved","Il messaggio di auguri è stasto salvato correttamente"
"Your gift message has been successfully removed","Il tuo Messaggio di Auguri è stato rimosso correttamente"
"Enter a gift message for each item in your order.","Inserisci un messaggio di auguri per ogni articolo del tuo ordine."
"Enter a gift message for this address.","Inserisci un messaggio di auguri per questo indirizzo."
"Enter a gift message for entire order.","Inserisci un messaggio di auguri per tutto l'ordine."
"Gift Messages","Messaggi di Auguri"
"Message","Messaggio"
"Gift Message","Messaggio di Auguri"
"Your gift message has been successfully saved","Messaggio di Auguri è stato salvato correttamente"
"Your gift message successfully removed","Messaggio di Auguri rimosso correttamente"
"Your gift message successfully saved","Messaggio di Auguri salvato correttamente"
"Edit","Modifica"
"Edit Gift Message","Modifica Messaggio di Auguri"
"No","No"
"You can leave a box blank if you don't wish to add a gift message for the item.","Puoi lasciare bianca la casella se non desideri aggiungere un biglietto di auguri per l'articolo."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Puoi lasciare il box vuoto se non desideri aggiungere un messaggio d'auguri per l'intero ordine."
"You can leave a box blank if you don't wish to add a gift message for this address.","Puoi lasciare il box vuoto se non desideri aggiungere un messaggio d'auguri per questo indirizzo"
"Remove","Rimuovi"
"Save","Salva"
"Save Gift Message","Salva Messaggio di Auguri"
"Are you sure?","Sei sicuro?"
"Check this checkbox if you want to add gift messages to your items.","Seleziona questa casella se vuoi aggiungere messaggi di auguri ai tuoi articoli."
"Check this checkbox if you want to add gift messages.","Seleziona questa casella se vuoi aggiungere messaggi di auguri."
"Yes","Sì"
"Use config","Usa configurazione"
