"* Select shipping method","* Seleziona modalit&agrave; di spedizione"
"Enable","Abilita"
"Auto-generated from GoogleCheckout Charge","Addebito Auto-generato da GoogleCheckout"
"Google Charge:","Addebito Google:"
"Amount: %s","Ammontare: %s"
"Buyer account age: %s days","Anzianit&agrave; Account del Compratore: %s days"
"Virtual item to reflect discount total","Articolo virtuale per sconto totale"
"Google Authorization:","Autorizzazione Google:"
"Google order status change:","Cambio stato ordine Google:"
"Cart Discount","Carta Sconto"
"CC Partial: xxxx-%s","CC Parziale: xxxx-%s"
"Google Checkout","Checkout Google"
"Fulfillment: %s -> %s","Completamento: %s -> %s"
"Debug","Debug"
"Optional, leave empty for home page.","Facoltativo, lascia vuoto per home page."
"Invoice auto-created: %s","Fattura auto-generata: %s"
"Financial: %s -> %s","Finanziario: %s -> %s"
"Google API","Google API"
"Google Checkout: %s","Google Checkout: %s"
"Google Risk Information:","Google Informazioni di Rischio:"
"Merchant ID","ID Commerciante"
"Google Buyer Id: %s","Id Compratore Google: %s"
"Eligible for protection: %s","Idoneo per la protezione: %s"
"IP Address: %s","Indirizzo IP: %s"
"Merchant Key","Key Commerciante"
"Location","Localit&agrave;"
"Hide Cart Contents During Checkout","Nascondi il Contenuto del Carrello durante il Checkout"
"Google Order Number: %s","Numero Ordine Google: %s"
"Default price:","Prezzo Default:"
"Google Refund:","Rimborso Google:"
"Sandbox","Sandbox"
"Expiration: %s","Scadenza: %s"
"Google Checkout Shipping - Merchant Calculated","Spedizione Google Checkout - Calcolate dal Commerciante"
"Google Checkout Shipping - Carrier Calculated","Spedizione Google Checkout - Calcolate dal Corriere"
"Google Checkout Shipping - Flat Rate","Spedizione Google Checkout - Forfeit"
"AVS Status: %s","Stato AVS: %s"
"CID Status: %s","Stato CID: %s"
"New order status","Stato nuovo ordine"
"Checkout Image Style","Stile Immagine Checkout"
"Total Charged: %s","Totale Addebitato: %s"
"Total Refunded: %s","Totale Rimborsato: %s"
"Latest Charge: %s","Ultimo Addebito: %s"
"Latest Refund: %s","Ultimo Rimborso: %s"
"Continue Shopping URL","URL per Continuare gli Acquisti"
