"(Make sure you keep it in a safe place.)","(Assicurati di conservarla in un luogo sicuro.)"
"(Optional. Leave blank for no prefix)","(Opzionale. Lascia vuoto per nessun prefisso)"
"(ver. %s)","(vers. %s)"
"Enable this option only if you have SSL available.","Abilita questa opzione solo se SSL è disponibile."
"Help Us to Keep Magento Healthy","Aiutaci a mantenere Magento in forma"
"Welcome to Magento's Installation Wizard","Benvenuto nel Wizard di Installazione di Magento"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","C'è stato un errore durante l'installazione di Magento. Per favore leggi il log, correggi gli errori e riprova nuovamente."
"Required Fields","Campi Obbligatori"
"Encryption Key","Chiave di Criptatura"
"Last Name","Cognome"
"Password Confirmation","Conferma Password"
"Confirm Password","Conferma Password"
"Configuration","Configurazione"
"Connection","Connessione"
"Database Connection","Connessione Database"
"Continue","Continua"
"Continue After Manual Download","Continua Dopo il Download Manuale"
"Continue Full Download / SVN Installation","Continua Download Completo / Intallazione SVN"
"Check out our","Controlla la nostra"
"Create Admin Account","Crea Account Amministratore"
"After successfull installation please click the button below.","Dopo l'installazione clicca il pulsante sottostante."
"Download","Download"
"Full Download / SVN Installation","Download Completo / Installazione SVN"
"Manual Downloads and Upgrades","Download ed Aggiornamenti automatici"
"Downloading and installing Magento, please wait...","Download ed installazione di Magento, attendere..."
"Email","Email"
"Database connection error","Errore nella connessione al Database"
"Run admin interface with SSL","Esegui l'interfaccia di amministrazione con SSL"
"Run this in your shell from Magento root folder:","Esegui questa shell nella cartella root di Magento:"
"Provide a complete base URL for SSL connection. For example: %s","Fornisci l'URL base completo per la connessione SSL. Ad esempio: %s"
"Time Zone","Fuso Orario"
"Package Management through the Web","Gestione Pacchetto attraverso il Web"
"Installation Guide","Guida all'Installazione"
"You're All Set","Hai Configurato Tutto"
"Host","Host"
"Database host","Host Database"
"Path ""%s"" must be writable","Il Percorso ""%s"" deve essere scrivibile"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il prefisso delle Tabelle dovrebbe contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Please set all required settings before clicking Continue","Impostare tutte le voci richieste prima di continuare"
"Locale settings","Impostazioni locali"
