" Copy"," Copia"
"Add to Queue","Aggiungi alla Coda"
"Add New Template","Aggiungi Nuovo Template"
"Cancel","Annulla"
"Unsubscribe","Annulla Iscrizione"
"Unsubscribe Selected","Annulla Iscrizioni Selezionate"
"Preview","Anteprima"
"Newsletter Message Preview","Anteprima Messaggio Newsletter"
"Preview Template","Anteprima Template"
"Template Subject","Argomento Template"
"Action","Azione"
"Toggle Editor","Cambia Editor"
"Delete Template","Cancella Template"
"Cancelled","Cancellato"
"Newsletter unsubscription success","Cancellazione dalla Newsletter riuscita"
"Customer","Cliente"
"Queue Newsletter","Coda Newsletter"
"Error Code","Codice di Errore"
"Customer Lastname","Cognome Cliente"
"Newsletter subscription confirmation","Conferma iscrizione Newsletter"
"Template Content","Contenuto Template"
"Create Newsletter Template","Crea Template Newsletter"
"Date Updated","Data Aggiornamento"
"Queue Date Start","Data Inizio Coda"
"Date Added","Data Inserimento"
"Recipients","Destinatari"
"Unsubscription Email Sender","Destinatario Email Annullamento Iscrizione"
"Confirmation Email Sender","Destinatario Email di Conferma"
"Success Email Sender","Destinatario Email di iscrizione riuscita"
"Duplicate of template code","Duplicazione del codice del template"
"Delete Selected Problems","Elimina i Problemi Selezionati"
"Email","Email"
"Queue Finish","Fine Coda"
"Selected problem subscribers successfully unsubscribed","Gli iscritti selezionati sono stati rimossi correttamente"
"Thank you for your subscription","Grazie per esserti iscritto"
"Selected problems successfully deleted","I problemi selezionati sono stati eliminati correttamente"
"ID","ID"
"Invalid subscription confirmation code","Il codice di conferma iscrizione non è valido"
"Form was filled incorrectly","Il modulo non è stato riempito correttamente"
"Cannot delete subscriber","Impossibile cancellare l'iscritto"
"Cannot mark as received subscriber","Impossibile contrassegnare come iscritto ricevuto"
"Cannot save your subscription: %s","Impossibile salvare la tua iscrizione: %s"
"Cannot delete template","Impossible cancellare il template"
"Sending","In Invio"
"Paused","In Pausa"
"Back","Indietro"
"Queue Information","Informazione Coda"
"Template Information","Informazioni Template"
"Start","Inizio"
"Queue Start","Inizio Coda"
"Please enter new template name","Inserisci il nome del nuovo template"
"Enter your email address","Inserisci la tua email"
"Sent","Inviato"
"Subscribers","Iscritti"
"Newsletter Subscribers","Iscritti Newsletter"
"Subscriber","Iscritto"
"Subcribed","Iscritto"
"Subscribers From","Iscritto Da"
"Subscribe","Iscriviti"
"Sign up for our newsletter:","Iscriviti alla nostra newsletter:"
"Newsletter subscription success","Iscrizione alla Newsletter riuscita"
"Unsubcribed","Iscrizione Annullata"
"Newsletter Sign-up","Iscrizione Newsletter"
"Newsletter Subscriptions","Iscrizioni Newsletter"
"Invalid subscriber ID","L'ID dell'iscritto non è valido"
"Invalid subscription ID","L'ID dell'iscrizione non è valido"
"The subscription was successfully saved","L'iscrizione è avvenuta con successo"
"Invalid queue selected","La coda selezionata è invalida"
"You have been successfully unsubscribed.","La tua iscrizione è stata annullata correttamente."
"Your subscription was successfully confirmed","La tua iscrizione è stata confermata correttamente"
"Message","Messaggio"
"Sender Name","Mittente"
"Sender","Mittente"
"Sender Email","Mittente Email"
"Edit Queue","Modifica Coda"
"Edit Newsletter","Modifica Newsletter"
"Edit Template","Modifica Template"
"Edit Newsletter Template","Modifica Template Newsletter "
"Need to Confirm","Necessaria Conferma"
"Store","Negozio"
"No problems found","Nessun problema trovato"
"No Templates Found","Nessun Template Trovato"
"Newsletter","Newsletter"
"Newsletter Queue","Newsletter in Coda"
"Customer Firstname","Nome Cliente"
"Template Name","Nome Template"
"Not activated","Non attivata"
"No subscribers selected","Non è stato selezionato alcun iscritto"
"Not Sent","Non Inviato"
"New Template","Nuovo Template"
"New Newsletter Template","Nuovo Template Newsletter"
"Subscription Options","Opzioni di Iscrizione"
"Guest","Ospite"
"Pause","Pausa"
"Processed","Processato"
"Sign me up","Registrami"
"Reset","Reimposta"
"Newsletter Problem Reports","Report Problemi Newsletter"
"Return Html Version","Restituisci Versione Html"
"Resume","Ripristina"
"Save As","Salva Come"
"Save And Resume","Salva e Continua"
"Save Newsletter","Salva Newsletter"
"Save Template","Salva Template"
"Are you sure that you want to strip all tags?","Sei sicuro di voler sganciare tutti i tags?"
"Please select subscriber(s)","Seleziona iscritto(i)"
"There was an error while saving your subscription","Si è verificato un errore durante il salvataggio  dell' iscrizione"
"There was a problem with the subscription","Si è verificato un problema con l'iscrizione"
"There was a problem with the un-subscription.","Si è verificato un problema durante la cancellazione."
"There was a problem with the subscription: %s","Si sono verificati problemi con l'iscrizione: %s"
"Do you really want to cancel the queue?","Sicuro di voler cancellare la coda?"
"Are you sure that you want to delete this template?","Sicuro di voler eliminare questo template?"
"Website","Sito"
"Status","Stato"
"Confirmation Email Template","Template della Email di Conferma"
"Unsubscription Email Template","Template Email di Annullamento Iscrizione"
"Success Email Template","Template Email di iscrizione riuscita"
"Newsletter Templates","Template Newsletter"
"Error Text","Testo di Errore"
"Type","Tipo"
"Template Type","Tipo Template"
"Subject","Titolo"
"Queue Subject","Titolo Coda"
"Convert to Plain Text","Trasforma in Testo Semplice"
"Confirmation request has been sent","Una richiesta di conferma è stata inviata"
"View Newsletter","Vedi Newsletter"
"Store View","Vista Negozio"
