"%s Item(s)","%s Prodotti"
"(ver. %s)","(vers. %s)"
"Help Us to Keep Magento Healthy","Aiutaci a mantenere in forma Magento"
"Logo Image Alt","Alt. Immagine Logo"
"Items %s to %s of %s total","Articoli <strong>%s</strong> a <strong>%s</strong> di <strong>%s</strong>"
"You're currently on:","Attualmente sei su:"
"Welcome, %s!","Benvenuto, %s!"
"Close Window","Chiudi finestra"
"Copyright","Copyright"
"Magento Commerce Demo Store","Demo negozio Magento Commerce"
"Default Description","Descrizione Standard"
"Footer","Footer"
"Header","Header"
"HTML Head","HTML Head"
"Your Language","La tua lingua"
"Interface Language","Lingua interfaccia"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento Ã¨ un marchio di Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Show","Mostra"
"Previous Page","Pagina precedente"
"Page:","Pagina:"
"Default Keywords","Parole chiave predefinite"
"per page","per pagina"
"Title Prefix","Prefisso Titolo"
"Next Page","Prossima pagina"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio demo. Gli ordini emessi attraverso questo negozio non saranno rispettati o eseguiti."
"Default Robots","Robots Predefiniti"
"Report All Bugs","Segnala tutti i bugs"
"Select Store","Seleziona il negozio"
"Logo Image Src","Src. Immagine Logo"
"Title Suffix","Suffisso Titolo"
"Welcome Text","Testo di Benvenuto"
"Default Title","Titolo Predefinito"
"Skip to Main Content","Vai al contenuto principale"
