"Enabled","Abilitato"
"API Login ID","API Login ID"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autorizza e Cattura"
"Authorize Only","Autorizza Solamente"
"Payment Action","Azione di pagamento"
"Transaction key","Chiave della transazione"
"Debug","Debug"
"Email customer","Email acquirente"
"Merchant's email","Email Commerciante"
"Error in payment gateway","Errore nel gateway di pagamento"
"Gateway request error: %s","Errore nel passaggio di richiesta: %s"
"Error in retrieving the transaction","Errore nel recupero della transazione"
"Error in refunding the payment","Errore nel rimborso del pagamento"
"Error in refunding the payment.","Errore nel rimborso del pagamento."
"Error in authorizing the payment","Errore nell'autorizzazione del pagamento"
"Payment authorization error.","Errore nell'autorizzazione del pagamento."
"Error in capturing the payment","Errore nella presa in carico del pagamento"
"Invalid transaction id","Id della transazione non valido"
"Invalid amount for authorization","Importo non valido per l'autorizzazione"
"Invalid amount for authorization.","Importo non valido per l'autorizzazione."
"Payment authorization transaction has been declined.","L'autorizzazione di transazione di pagamento è stata rifiutata."
"Merchant Login","Login Commerciante"
"Test mode","Modalità di test"
"TENDER","MONETA"
"New order status","Nuovo stato dell'ordine"
"Sort order","Ordinamento"
"Payment from applicable countries","Pagamento dai paesi applicabili"
"Payment from Specific countries","Pagamento dai paesi specifici"
"Partner","Partner"
"Password","Password"
"PayflowPro","PayflowPro"
"Fraud order status","Stato degli ordini fasulli"
"Credit Card Types","Tipi di Carte di Credito"
"Title","Titolo"
"Voided transaction","Transazione annullata"
"URL","URL"
"User","Utente"
"VERBOSITY","Verbosità"
"Credit Card Verification","Verifica Carta di Credito"
