"--Please Select--","-- Seleziona --"
"<label>Make Check payable to:</label> %s","<label>Rendi Assegno pagabile a:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Rendi Assegno pagabile a</label>: %s"
"Credit Card Number: %s","<strong>Numero Carta di Credito:</strong> <span class=nowrap>%s</span>"
"Credit Card Number: xxxx-%s","<strong>Numero Carta di Credito:</strong> <span class=nowrap>xxxx-%s</span>"
"Enabled","Abilitato"
"Year","Anno"
"Check / Money order","Assegno / Vaglia"
"Send Check to","Assegno Inviato a"
"Saved CC","CC Salvato"
"What is this?","Cos'è questo?"
"Expiration Date","Data di Scadenza"
"Expiration Date: %s/%s","Data scadenza: %s/%s"
"Can not configuration for payment method with code: %s","Impossibile configurare il metodo di pagamento con codice: %s"
"Can not retrieve payment method instance","Impossibile recuperare i dettagli sul metodo di pagamento"
"Can not retrieve payment method model object.","Impossibile recuperare il model object del metodo di pagamento."
"Can not retrieve payment info model object.","Impossibile recuperare informazione di pagamento del model object."
"Name on the Card: %s","Intestatario Carta:'%s'"
"Send Check to:","Invia Assegno a:"
"Month","Mese"
"Payment Methods","Metodi di Pagamento"
"Name on Card","Nome sulla Carta di Credito"
"Purchase Order Number","Numero dell'Ordine di Acquisto"
"Credit Card Number","Numero della Carta di Credito"
"Card Verification Number","Numero di Verifica della Carta di Credito"
"Purchase Order Number: %s","Numero Ordine di Acquisto: %s"
"New order status","Nuovo stato dell'ordine"
"Sort order","Ordinamento"
"Purchase order","Ordine di acquisto"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from Specific countries","Pagamento da paesi Specifici"
"Make Check payable to","Rendi assegno pagabile a"
"Make Check payable to: %s","Rendi assegno pagabile a: %s"
"Credit Card Types","Tipi di Carta di Credito"
"Credit Card Type: %s","Tipo Carta di Credito: %s"
"Credit Card Type","Tipo di Carta di Credito"
"Title","Titolo"
"Zero Subtotal Checkout","Totale parziale della Cassa nullo"
"Credit Card Verification","Verifica Carta di Credito"
