"Enabled","Abilitato"
"Update Shipping Method","Aggiorna Metodo di Spedizione"
"Items in Your Shopping Cart","Articoli nel Carrello"
"Payment Action","Azione di Pagamento"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Change Payment Method","Cambia Modalit&agrave; di Pagamento"
"Credit Card Types","Carta di Credito"
"Business Account","Conto Business"
"PayPal Account","Conto PayPal"
"Review Order","Controlla Ordine"
"API Signature","Firma API"
"Proxy Host","Host Proxy"
"Your billing address will be ignored and you will be redirected to PayPal website","Il tuo indirizzo di fatturazione verr&agrave; ignorato e sarai rediretto entro pochi secondi al sito di PayPal"
"Debug Flag","Indicatore di Debug"
"Sandbox Flag","Indicatore di Sandbox"
"Shipping Address","Indirizzo Spedizione"
"Billing Information","Informazioni Fatturazione"
"Shipping Information","Informazioni Spedizione"
"Place an Order","Inserisci un Ordine
Please select a shipping method..."""
"Submitting order information...","Invio informazioni ordine..."
"Payment Method","Metodo di Pagamento"
"Shipping Method","Metodo di Spedizione"
"Edit Shopping Cart","Modifica Carello"
"Product Name","Nome Prodotto"
"API User Name","Nome Utente API"
"Sort order","Ordinamento"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from Specific countries","Pagamento da paesi Specifici"
"API Password","Password API"
"PayPal Email","PayPal Email"
"Proxy Port","Porta Proxy"
"Price","Prezzo"
"Qty","Qta"
"Business Name","Ragione sociale"
"You will be redirected to PayPal website when you place an order.","Sarai reindirizzato al sito di PayPal quando inserisci un ordine."
"Please select a shipping method...","Seleziona un metodo di spedizione..."
"Website Payments Standard","Sito Pagamenti Standard"
"Website Payments Pro (Express, Direct)","Sito Web Pagamenti Professionale (Express, Direct)"
"Sorry, no quotes are available for this order at this time.","Spiacente, al momento non ci sono preventivi disponibili per l'ordine."
"You will be redirected to paypal in a few seconds.","Stai per essere reindirizzato al sito di paypal."
"New order status","Stato nuovo ordine"
"Subtotal","Subtotale"
"Type","Tipo"
"Transaction Type","Tipo di Transazione"
"Title","Titolo"
"Paypal Logo Image URL(150x150)","URL Immagine Logo Paypal(150x150)"
"Use Proxy","Usa Proxy"
