"Add New Answer","Aggiungi Nuova Risposta"
"Add New Poll","Aggiungi Nuovo Sondaggio"
"Add Answer","Aggiungi Risposta"
"Poll Manager","Amministrazione Sondaggi"
"Open","Aperto"
"Actions","Azioni"
"Closed","Chiuso"
"Date Closed","Data Chiusura"
"Poll Question","Domanda sondaggio"
"Delete","Elimina"
"Delete Answer","Elimina Risposta"
"Delete Poll","Elimina Sondaggio"
"ID","ID"
"Unable to find answer to delete.","Impossibile trovare la risposta da eliminare."
"Poll information","Informazioni sondaggio"
"Poll Information","Informazioni sondaggio"
"Edit Poll '%s'","Modifica Risposta '%s'"
"Edit Answer '%s'","Modifica Risposta '%s'"
"Edit Poll Answer","Modifica Risposta Sondaggio"
"Number of Responses","Numero di Risposte"
"New Poll","Nuovo Sondaggio"
"Date Posted","Postato Il"
"Answer Title","Risposta"
"Invalid Answer","Risposta Invalida"
"Answer was successfully saved","Risposta salvata correttamente"
"Answer Title:","Risposta:"
"Assigned Answers","Risposte Assegnate"
"Answer with the same title in this poll","Risposte con lo stesso titolo in questo sondaggio"
"Poll Answers","Risposte Sondaggio"
"Save Answer","Salva Risposta"
"Save Poll","Salva Sondaggio"
"Are you sure you want to delete it?","Sei sicuro di volerlo cancellare?"
"Polls","Sondaggi"
"Community Poll","Sondaggio"
"Poll with the same question","Sondaggio con la stessa domanda"
"Poll not exists","Sondaggio Inesistente"
"Status","Stato"
"Votes Count","Totale voti"
"Votes Count:","Totale voti:"
"Visible In","Visibile in"
"Vote","Vota"
