"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Rating","Aggiungi Nuova Votazione"
"Delete Rating","Elimina Votazione"
"Option Label","Etichetta Opzione"
"Manage Ratings","Gestione Valutazioni"
"ID","ID"
"Rating Information","Informazioni Votazione"
"Edit Rating","Modifica Votazione"
"Rating Name","Nome Votazione"
"New Rating","Nuova Votazione"
"Assigned Options","Opzioni Assegnate"
"Rating Options","Opzioni Votazioni"
"Be the first to review this product","Puoi essere il primo a scrivere una recensione per questo prodotto"
"Save Rating","Salva Votazione"
"If you do not specify a rating title for a store, the default value will be used.","Se non specifici il titolo di un giudizio per questo negozio, verrà utilizzato il valore di default."
"Please select one of each ratings above","Seleziona uno dei seguenti giudizi"
"Option Title","Titolo Opzione"
"Option Title:","Titolo Opzione:"
"Rating Title","Titolo Votazione"
"Default Value","Valore Predefinito"
"Visible In","Visibile in"
"Rating Visibility","Visibilità di qualificazione"
"Rating isn't Available","Votazione non Disponibile"
"Rating with the same title","Votazioni con lo stesso titolo"
