"Updated at","Aggiornato a"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al confronto"
"Add to Wishlist","Aggiungi alla Wishlist"
"Tax Rate","Aliquota"
"Year","Anno"
"Items in Cart","Articoli nel carrello"
"Items Ordered","Articoli ordinati"
"Low stock","Bassa disponibilit&agrave;"
"Coupons","Buoni"
"Carts","Carrelli"
"Shopping Cart","Carrello della spesa"
"Search Terms","Cerca Termini"
"Customer","Cliente"
"Customers","Clienti"
"Customers that have wishlist: %s%","Clienti con wishlist: %s%"
"Customers by number of orders","Clienti per num. d'Ordini"
"Customers by orders total","Clienti per totale ordini"
"Product Sku","Cod Prodotto"
"Last Name","Cognome"
"Reviews","Commenti"
"Review","Commento"
"Your Recently Compared","Comparati di recente"
"Bought from wishlists","Comprato dalle wishlists"
"Applied Coupon","Coupon Applicato"
"Created at","Creato il"
"CSV","CSV"
"Invalid data specified","Dati non validi"
"Tag ""%s"" details","Dettagli ""%s"" Tag"
"Detail","Dettaglio"
"Tag Detail","Dettaglio Tag"
"Email","Email"
"Revenue","Entrata"
"Excel","Excel"
"Invoiced","Fatturato"
"Day","Giorno"
"Most viewed","I più visti"
"Most Viewed","I più Visti"
"ID","ID"
"Tax Amount","Importo imposte"
"Tax","Imposta"
"Shipping","In consegna"
"Abandoned carts","Lascia il Carrello"
"Wishlists","Le Wishlist"
"Average rating","Media votazioni"
"Month","Mese"
"Carrier/Method","Metodo di Spedizione"
"Hits","Migliori"
"Show for Current","Mostra correnti"
"Name","Nome"
"First Name","Nome"
"Customer Name","Nome Cliente"
"Product Name","Nome prodotto"
"Tag Name","Nome Tag"
"Out of stock","Non disponibile"
"Number Added","Numero aggiunto"
"Number of Items","Numero di Articoli"
"Number of items bought from a wishlist: %s","Numero di articoli comprati da wishlist: %s"
"Number of wishlist referrals: %s","Numero di collegamenti alla wishlist: %s"
"Number of wishlist conversions: %s","Numero di conversioni wishlist: %s"
"Number of New Accounts","Numero di Nuovi Accounts"
"Number of Orders","Numero di Ordini"
"Number of Reviews","Numero di Recensioni"
"Number Of Reviews","Numero di Recensioni"
"Number of Unique Tags","Numero di tags unici"
"Number Of Uses","Numero di Usi"
"Number Of Historical Uses","Numero di Usi Storici"
"Number of Views","Numero di Visite"
"Number of times wishlists have been shared (emailed): %s","Numero di volte che la wishlist &egrave; stata condivisa (via mail): '%s'"
"Number of times deleted","Numero di volte eliminato"
"Number of wishlists: %s","Numero di wishlists: %s"
"Number Fulfilled","Numero riempito"
"Number of Total Tags","Numero totale Tags"
"Number Viewed","Numero viste"
"New Accounts","Nuovi Accounts"
"Orders","Ordini"
"Guest","Ospite"
"Bestsellers","PiÃ¹ Venduti"
"Popularity","Popolarit&agrave;"
"Price","Prezzo"
"Products","Prodotti"
"Recently Compared Products","Prodotti Confrontati di recente"
"Products in carts","Prodotti nel carrello"
"Recently Viewed Products","Prodotti Visti di recente"
"Submitted In","Proposto in"
"Submitted On","Proposto su"
"Number Purchased","Qta acquistata"
"Stock Qty","Qta in Magazzino"
"Quantity of Items","Quantit&agrave; di Articoli"
"Quantity Ordered","Quantit&agrave; Ordinata"
"Reports","Rapporti"
"Poducts Report","Rapporto prodotti"
"Wishlist Report","Rapporto Wishlist"
"Customers Reviews","Recensioni Clienti"
"Reviews for %s","Recensioni per %s"
"Products Reviews","Recensioni Prodotti"
"Customers Report","Report clienti"
"Products Report","Report Prodotti"
"Sales Report","Report Vendite"
"Product Reviews","Revisioni Prodotto"
"Refunded","Rimborsato"
"Offline Refunded","Rimborsato Offline"
"Online Refunded","Rimborsato Online"
"Results","Risultati"
"Discounts","Sconti"
"Subtotal","Sub totale"
"Tag","Tag"
"Customers Tags","Tags clienti"
"Customer Tags","Tags clienti"
"Product Tags","Tags dei prodotti"
"Popular Tags","Tags popolari"
"Products Tags","Tags prodotti"
"Tags submitted to %s","Tags proposti a %s"
"Tags submited by %s","Tags proposti da %s"
"Title","Titolo"
"Total","Totale"
"Total invoiced not captured","Totale fatturati e non riscossi"
"Total invoiced captured","Totale fatturati e riscossi"
"Total invoiced","Totale fatturato"
"Total Refunded","Totale Rimborsato"
"Total refunded","Totale rimborsato"
"Total Shipping","Totale Spedito"
"Total Tags","Totale Tags"
"Last Review","Ultima recensione"
"Tag use","Utilizzo tag"
"Sales","Vendite"
"Visible In","Visibile in"
"Your Recently Viewed","Visti di recente"
"Recently Viewed/Compared Products","Visti di Recente/Prodotti Confrontati"
"Wishlist vs. Regular Order","Wishlist vs. ordini regolari"
