"%s - Discounts and Coupons","%s - Sconti e Coupons"
"%s - Special Discounts","%s - Sconti Speciali"
"%s's Wishlist","%s di Wishlist"
"%s has reached a quantity of %s.","%s è arrivato ad una quantità di  %s."
"To:","A:"
"Purchased From: %s","Acquistato Da: %s"
"Enable RSS","Attiva RSS"
"Catalog","Catalogo"
"Top Level Category","Categoria Livello Principale"
"click <a href=""%s"">here</a> to view the review","clicca <a href=""%s"">qua</a> per vedere le recensioni"
"Comment: %s<br/>","Commenti: %s<br/>"
"Rss Config","Config Rss"
"Coupons/Discounts","Coupons/Sconti"
"From:","Da:"
"Notified Date: %s<br/>","Data Notificata: %s<br/>"
"Details for %s #%s","Dettagli per %s #%s"
"Error in processing xml. %s","Errore nella lettura xml. %s"
"Tags Products","Etichette Prodotti"
"RSS Feeds","Feeds RSS"
"Tax","Imposta"
"Gift Message","Messaggio d'auguri"
"Message:","Messaggio:"
"Store: %s <br/>","Negozio: %s <br/>"
"Customer Name: %s","Nome Cliente: %s"
"There are no %s.","Non ci sono %s."
"Cannot retrieve the wishlist","Non posso recuperare la Wishlist"
"Customer Order Status Notification","Notifica Status Ordine del Cliente"
"New Orders","Nuovi Ordini"
"New Products","Nuovi Prodotti"
"New Products from %s","Nuovi Prodotti da %s"
"Order # %s Notification(s)","Ordine # %s Notifica"
"Order #%s created at %s","Ordine #%s creato a %s"
"Get Feed","Ottieni Feed"
"Special Products","Prodotti Speciali"
"Products tagged with %s","Prodotto etichettato con %s"
"Product: ""%s"" review By: %s","Prodotto: ""%s"" recensito da: %s"
"Product: <a href=""%s"">%s</a> <br/>","Prodotto: <a href=""%s"">%s</a> <br/>"
"Review: %s <br/>","Rcensione: %s <br/>"
"Pending product review(s)","Recensione(i) del prodotto in attesa"
"Discount ","Sconto "
"Summary of review: %s <br/>","Sommario delle recensioni: %s <br/>"
"Special/Discount Products","Speciale/Sconto Prodotti"
"Shipping & Handling","Spedizione & trattamento janez"
"Current Status: %s<br/>","Stato Corrente: %s<br/>"
"Low Stock Products","Stock Prodotti basso"
"Grand Total","Totale Complessivo"
"Subtotal","Totale Parziale"
"Total: %s<br/>","Totale: %s<br/>"
"Wishlist","Wishlist"
