"to","a"
"Add","Aggiungi"
"Apply","Applica"
"Open Chooser","Apri Scelta"
"is","è"
"Start at: %s","Cominciare da: %s"
"Description: %s","Descrizione: %s"
"Perform following actions","Esegui le seguenti azioni"
"FALSE","FALSO"
"Name: %s","nome: %s"
"is not","non è"
"by","per"
"ANY","QUALSIASI"
"Remove","Rimuovi"
"Expire at: %s","Scadenza: %s"
"Please choose an action to add...","Scegli un'azione da includere…"
"Please choose a condition to add...","Scegli una condizione da includere…"
"If %s of these conditions are %s:","Se %s di queste condizioni sono %s:"
"ALL","TUTTO/I"
"TRUE","VERO"
