"""%s"" coupon code is not valid.","""%s"" codice coupon non è valido."
"%s order(s) successfully put on hold","% ordini sono stati correttamente sospesi"
"%s order(s) succesfully canceled","%s ordini sono stati correttamente cancellati"
"%s order(s) succesfully released from holding status","%s ordini sono stati correttamente liberati"
"Order Date: %s","<p><strong>Data ordine:</strong> %s</p>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Attenzione: quando il prezzo di listino è già comprensivo delle tasse, dovrebbe essere settato sul ""No""</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Richiede una Tassa basata sull'origine della spedizione</span>"
"To","A"
"To Name","A Nominativo"
"To:","A:"
"Capture","Acquisisci"
"Capture Amount","Acquisisci Corrispettivo"
"Purchased From","Acquistato Da"
"Purchased from (store)","Acquistato dal (negozio)"
"Purchased On","Acquistato Il"
"Refresh","Aggiorna"
"Update Changes","Aggiorna Cambiamenti"
"Update Qty's","Aggiorna Quantita'"
"Shipment Update for Guest","Aggiornamento della Spedizione per Ospite"
"Invoice Update","Aggiornamento Fattura"
"Invoice Update for Guest","Aggiornamento Fattura per Ospite"
"Credit Memo Update","Aggiornamento Nota di Credito"
"Credit Memo Update for Guest","Aggiornamento Nota di Credito per Ospite"
"Order Update for Guest","Aggiornamento Ordine per Ospite"
"Shipment Update","Aggiornamento Spedizione"
"Add","Aggiungi"
"Add to Cart","Aggiungi al Carrello"
"Add To Order","Aggiungi all'Ordine"
"Append Comments","Aggiungi Commenti"
"Add Order Comments","Aggiungi Commenti all'Ordine"
"Add Selected Product(s) to Order","Aggiungi il(i) Prodotto(i) Selazionato(i) all'Ordine"
"Add a gift message for the <strong>entire order</strong>","Aggiungi messaggio di auguri a <strong>tutto l'Ordine</strong>"
"Add a gift message for <strong>each gift item</strong>","Aggiungi messaggio di auguri per <strong>ogni articolo regalato</strong>"
"Create New Customer","Aggiungi nuovo cliente"
"Add New Address","Aggiungi Nuovo Indirizzo"
"Add Product","Aggiungi Prodotto"
"Cancel","Annulla"
"Canceled","Annullato"
"Apply","Applica"
"Apply Coupon Code","Applica Codice Coupon"
"Apply Tax after Discount","Applica Tasse dopo lo Sconto"
"Adjustment Fee","Arrotondamento"
"Adjustment Refund","Arrotondamento Rimborso"
"Adjustment Refund:","Arrotondamento Rimborso:"
"Adjustment Fee:","Arrotondamento:"
"Items to Invoice","Articoli da Fatturare"
"Items to Refund","Articoli da Rimborsare"
"Items to Ship","Articoli da Spedire"
"Items Invoiced","Articoli Fatturati"
"Items Shipped","Articoli inviati"
"Items Ordered","Articoli ordinati"
"Items Refunded","Articoli Rimborsati"
"Item","Articolo"
"Action","Azione"
"Actions","Azioni"
"Backordered","Backorder"
"Coupons","Buoni"
"Gift Certificate","Buono Regalo"
"Tax Calculation","Calcolo delle Tasse"
"Tax Class for Shipping","Calcolo delle Tasse di Spedizione"
"Change Status","Cambia Stato"
"ZIP/Post Code","CAP/Codice Postale"
"Shopping Cart","Carrello della Spesa"
"Capture Offline","Catturare Offline"
"Capture Online","Catturare Online"
"Closed","Chiuso"
"Click to change shipping method","Clicca per modificare modalità di spedizione"
"SKU","COD."
"Sku","Cod."
"Tracking Number","Codice di Spedizione"
"Last Name","Cognome"
"Order Comment","Commenta Ordine"
"Invoice Comments","Commenti Fattura"
"Order Comments","Commenti Ordine"
"Shipment Comments","Commenti Spedizione"
"Comment","Commento"
"Complete","Completo"
"Shipped","Consegnato"
"Allow Reorder","Consenti Riordine"
"Carrier","Corriere"
"Paid Amount","Corrispettivo Pagato"
"Discount Amount","Corrispettivo Sconto"
"Create","Crea"
"Create New Order","Crea Nuovo Ordine"
"Create New Order for %s","Crea Nuovo Ordine per %s"
"Create New Order for %s in %s","Crea Nuovo Ordine per %s in %s"
"Create New Order for New Customer in %s","Crea Nuovo Ordine per Nuovo Cliente in %s"
"Create New Order for New Customer","Crea Nuovo Ordine per un Nuovo Cliente"
"Create Shipment","Crea Spedizione"
"Created At","Creato Il"
"Store Credit","Credito negozio"
"From","Da"
"From Name","Da Nome"
"From:","Da:"
"Date","Data"
"Invoice Date","Data Fattura"
"Order Date","Data Ordine"
"Order Date: ","Data Ordine: "
"Date Shipped","Data Spedizione"
"Credit Memo Email Sender","Destinatario Email Nota di Credito"
"View","Dettagli"
"Order Details","Dettagli ordine"
"You need specify carrier.","Devi specificare il corriere."
"Checkout totals sort order","Disponi Checkout in base al totale"
"Document","Documento"
"Delete","Elimina"
"Email","Email"
"Credit Memo email not sent","Email della Nota di Credito non spedita"
"Credit Memo email sent","Email della Nota di Credito spedita"
"Email Order Confirmation","Email di Conferma dell'Ordine"
"Shipment email sent","Email di Spedizione Inviata"
"Shipment email not sent","Email di Spedizione non inviata"
"Invoice email sent","Email Fattura inviata"
"Invoice email not sent","Email Fattura non inviata"
"Invoice Email Sender","Email Mittente Fattura"
"Sales Emails","Email Vendite"
"Credit Memo void error","Errore di annullamento Nota di Credito"
"Credit Memo cancel error.","Errore di cancellazione della Nota di Credito"
"Order saving error: %s","Errore durante il salvataggio dell'Ordine: %s"
"Invoice void error","Errore durante l'annullamento della Fattura"
"Invoice cancel error.","Errore durante la cancellazione della Fattura."
"Invoice capture error","Errore nell'acquisizione della Fattura"
"Item qty declare error","Errore nella dichiarazione qta articoli"
"Invoice","Fattura"
"Invoice # ","Fattura #"
"Invoice #","Fattura #"
"Invoice #%s","Fattura #%s"
"Invoice was successfully captured","Fattura acquisita correttamente"
"Bill to Last name","Fattura al Cognome"
"Bill to Name","Fattura al Nominativo"
"Bill to First name","Fattura al Nominativo"
"Invoice was successfully voided","Fattura annullata correttamente"
"Invoice was successfully canceled.","Fattura cancella correttamente."
"Invoice and shipment was successfully created.","Fattura e Spedizione sono state create con successo."
"Invoiced","Fatturato"
"Invoices","Fatture"
"Signed Up From","Firmato Da"
"G.T. (Purchased)","G.T. (Acquistato)"
"Orders was canceled","Gli Ordini sono stati cancellati"
"Orders was successfully put on hold","Gli Ordini sono stati messi in sospensione"
"Order was successfully put on hold.","Gli Ordini sono stati messi in stato di sospensione correttamente."
"Orders was unholded","Gli Ordini sono stati tolti dallo stato di sospensione"
"Customer Group","Gruppo clienti"
"My Orders","I Miei Ordini"
"My Orders - Details","I miei ordini - Dettagli"
"ID","ID"
"Comment text field can not be empty.","Il campo di testo del Commento non può essere lasciato vuoto."
" The customer doesn't exist in the system anymore","Il cliente non è più presente nel sistema."
"Tracking number can not be empty.","Il Numero di Spedizione non può essere vuoto."
"The item %s (SKU %s) doesn't exist in the catalog anymore","Il prodotto %s (SKU %s) non esiste pi&ugrave; nel catalogo"
"Credit Memo total must be positive.","Il totale della Nota di Credito deve essere positivo."
"Amount","Importo"
"Tax Amount","Importo imposte"
"Can not update item qty","Impossibile aggiornare qta dell'oggetto"
"Can not add tracking number.","Impossibile aggiungere codice di spedizione."
"Can not add order history.","Impossibile aggiungere la cronologia ordine"
"Can not add new comment.","Impossibile aggiungere nuovo commento."
"Can not delete tracking number.","Impossibile cancellare codice di spedizione."
"Can not load track with retrieving identifier.","Impossibile caricare la traccia e relativo identificatore."
"Can not create block ""%s""","Impossibile creare blocco ""%s"""
"Can not do credit memo for order","Impossibile creare una nota di credito per l'ordine"
"Can not do shipment for order.","Impossibile effettuare la spedizione per l'ordine."
"Can not do invoice for order","Impossibile fatturare l'ordine"
"Can not initialize shipment for adding tracking number.","Impossibile inizializzare la spedizione per aggiungere il codice di spedizione."
"Can not initialize shipment for delete tracking number.","Impossibile inizializzare la spedizione per cancellare il codice di spedizione."
"Can not register existing invoice","Impossibile registrare la fattura esistente"
"Can not register existing creditmemo","Impossibile registrare la nota di accredito"
"Can not save credit memo","Impossibile registrare la nota di credito"
"Can not register existing shipment","Impossibile registrare la spedizione esistente"
"Can not retrieve tracking number detail.","Impossibile ritrovare il codice di spedizione."
"Can not save invoice","Impossibile salvare la fattura"
"Can not save shipment.","Impossibile salvare la spedizione."
"Can not send shipment information.","Impossibile spedire informazioni di spedizione."
"Tax","Imposta"
"Shipping","In Consegna"
"Processing","In elaborazione"
"Pending","In Sospeso"
"On Hold","In Sospeso"
"Address","Indirizzo"
"Shipping Address","Indirizzo di Consegna"
"Billing Address","Indirizzo di Fatturazione"
"Information","Informazione"
"Account Information","Informazioni Account"
"Shipping Information","Informazioni consegna"
"Shipping &amp; Handling Information","Informazioni di Spedizione &amp; Consegna"
"Order Information","Informazioni Ordine"
"Payment Information","Informazioni Pagamento"
"About This Order:","Informazioni su Questo Ordine:"
"About Your Order","Informazioni sul Tuo Ordine"
"Add Tracking Number","Inserisci Codice di Spedizione"
"Ship to First name","Invia al Primo nominativo"
"Ship to Last name","Invia all'Ultimo Nominativo"
"Submit Comment","Invia Commento"
"New Order Confirmation Email Sender","Invia Email di conferma per Nuovo Ordine"
"Submit Invoice","Invia Fattura"
"Send Tracking Information","Invia Informazioni di Spedizione"
"Submit Credit Memo","Invia Nota di Credito"
"Submit Order","Invia Ordine"
"Email Copy of Invoice","Invia per Email una Copia della Fattura"
"Email Copy of Credit Memo","Invia per email una copia della Nota di Credito"
"Email Copy of Shipment","Invia per Email una Copia di Spedizione"
"Submit Shipment","Invia Spedizione"
"Send Shipment Email Copy To","Invia una copia della Email di Spedizione A"
"Send Order Comment Email Copy To","Invia una copia Email Commento Ordine A"
"Send Invoice Comment Email Copy To","Invia una copia Email con Commenti Fattura A"
"Send Shipment Comment Email Copy To","Invia una Copia Email del Commento alla Spedizione A"
"Send Credit Memo Comment Email Copy To","Invia una Copia Email del Commento Nota di Credito A"
"Send Order Email Copy To","Invia una copia Email dell'Ordine A"
"Send Credit Memo Email Copy To","Invia una copia Email della Copia Nota di Credito A"
"Send Invoice Email Copy To","Invia una copia Email della Fattura A"
"Subscribe to Newsletter","Iscriviti alla Newsletter"
"Subscribe to Order Status","Iscriviti allo Stato dell'Ordine"
"Newsletter Subscription","Iscrizione Newsletter"
"Order was placed using %s","L'Ordine è stato assegnato usando %s"
"Order was successfully released from holding status.","L'ordine è stato correttamente liberato."
"Order was not cancelled.","L'Ordine non è stato cancellato."
"Order was not put on hold.","L'Ordine non è stato messo in sospensione."
"Order was not unholded.","L'Ordine non è stato rimosso dallo stato di sospensione."
