"To Fixed Amount","A Ammontare Fisso"
"By Fixed Amount","A Importo Fisso"
"By Percentage","A Percentuale"
"By Percentage of the original price","A percentuale sul prezzo originale"
"To Percentage of the original price","A percentuale sul prezzo originale"
"By Fixed value","A Valore Fisso"
"Update prices using the following information","Aggiorna i prezzi usando le seguenti informazioni"
"Update product's %s %s: %s","Aggiorna prodotto %s %s: %s"
"Update the Product","Aggiornare il Prodotto"
"Add New Rule","Aggiungi nuova regola"
"Apply","Applica"
"Apply to","Applica a"
"Apply the rule to cart items matching the following conditions","Applica la regola agli articoli nel carrello che soddisfano le seguenti condizioni"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Applica la regola solo ai prodotti del carrello corrispondenti alle seguenti condizioni (lasciare in bianco per tutti i prodotti)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applica la regola solo se le seguenti condizioni sono soddisfatte (lasciare in bianco per tutti i prodotti)"
"Active","Attiva"
"Cart Attribute","Attributo Carrello"
"Actions","Azioni"
"Catalog","Catalogo"
"Checkout Price Rule","Checkout regole prezzo"
"Coupon code","Codice coupon"
"Coupon Code","Codice Coupon"
"Shipping Postcode","Codice Postale"
"Product attribute combination","Combinazione di attributi del prodotto"
"Conditions combination","Combinazione di condizioni"
"Conditions Combination","Combinazione di condizioni"
"Start at: %s","Comincia a: %s"
"Buy X get Y free (discount amount is Y)","Compra X e ricevi Y gratis (importo di sconto di Y)"
"Conditions","Condizioni"
"From Date","Dalla data"
"Date Expire","Data fine"
"Date Start","Data inizio"
"Description","Descrizione"
"Description: %s","Descrizione: %s"
"Delete Rule","Elimina regola"
"Stop further rules processing","Ferma elaborazione altre regole"
"To Date","fino a"
"Customer Groups","Gruppi Clienti"
"ID","ID"
"Customer is new buyer: %s","Il Cliente è nuovo: %s"
"Fixed amount discount","Importo fisso di sconto"
"Fixed amount discount for whole cart","Importo fisso di sconto su tutto il carrello"
"Discount amount","Importo sconto"
"Invalid discount amount.","Importo sconto non valido"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
"To Percentage","In Percentuale"
"To Fixed Value","In Valore Fisso"
"Inactive","Inattivo"
"General Information","Informazioni generali"
"Rule Information","Informazioni ruolo"
"Customer registered: %s","Iscrizione Cliente: %s"
"The page you are trying to save no longer exists","La pagina che vuoi salvare non esiste più"
"Maximum Qty Discount is Applied to","La quantità massima di sconto è applicata a"
"Rule was successfully deleted","La regola è stata eliminata correttamente"
"Rule was successfully saved","La regola è stata salvata"
"Payment Method","Metodo di pagamento"
"Shipping Method","Metodo di Spedizione"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica regola '%s'"
"No","No"
"Rule Name","Nome regola"
"Name: %s","Nome: %s"
"NOT LOGGED IN","NON AUTENTICATO"
"New Rule","Nuova regola"
"Shipping Country","Paese di Destinazione"
"For shipment with matching items","Per consegna con articoli corrispondenti"
"Percent of product price discount","Percentuale di sconto sul prodotto"
"Total Weight","Peso Totale"
"Price in cart","Prezzo nel carrello"
"Special price","Prezzo speciale"
"Priority","Priorità"
"Promotions","Promozioni"
"Public In RSS Feed","Pubblica nel RSS Feed"
"Discount Qty Step (Buy X)","Quantità di sconto Step (Compra X)"
"Quantity in cart","Quantità nel carrello"
"Total Items Quantity","Quantità totale degli articoli"
"This rule no longer exists","Questa regola non esiste più"
"Shipping Region","Regione di Destinazione"
"Shopping Cart Price Rule","Regola del Prezzo del Carrello"
"Shopping Cart Price Rules","Regole prezzi carrello"
"Row total in cart","Row (Riga/Linea/fila?) totale nel carrello"
"Save Rule","Salva regola"
"Expire at: %s","Scadenza: %s"
"Yes","Si"
"For matching items only","Solo per articoli corrispondenti"
"Free shipping","Spedizione Gratuita"
"Status","Stato"
"Shipping State/Province","Stato/Provincia di Destinazione"
"Subtotal","Sub totale"
"Uses per customer","Utilità per cliente"
"Uses per coupon","Utilizzi per coupon"
