"Enabled","Abilitato"
"Add Recipient","Aggiungi destinatario"
"Some emails was not sent","Alcune email non sono state inviate"
"Remove Email","Cancella Email"
"Allow for Guests","Consenti per Ospiti"
"Recipient:","Destinatario:"
"Email to a Friend","Email ad un amico"
"Email templates","Email templates"
"Email:","Email:"
"Email Address","Indirizzo Email"
"Email Address:","Indirizzo Email:"
"Send email","Invia email"
"Send product to a friend","Invia prodotto ad un amico"
"Limit Sending By","Limite inviando da"
"Link to a friend was sent.","Link inviato ad un amico."
"Maximum %d email addresses allowed.","Massimo %d di indirizzi email consentiti."
"Max Recipients","Massimo destinatari"
"Max Products Sent in 1 Hour","Massimo prodotti inviati in 1 ora"
"Message:","Messaggio:"
"Sender:","Mittente:"
"Name","Nome"
"Name:","Nome:"
"You cannot send more than %d times in an hour","Non puoi inviare più di %d volte in un'ora"
"You cannot email this product to a friend","Non puoi inviare questo prodotto ad un amico"
"Some problems with data.","Qualche problema con i dati."
"Select email template","Seleziona email template"
