" for more information or email us at "," per ulteriori informazioni contattaci via email a "
"# of Items (and above)","# di Articoli (e superiore)"
"# of Items vs. Destination","# di Articoli vs. Destinazione"
"Invalid %s ""%s"" in the Row #%s","%s ""%s"" non valido nella riga #%s"
"Enabled","Abilitato"
"Fixed","Aggiustato"
"Handling Fee","Arrotondamento"
"Calculate Handling Fee","Calcula Arrotondamenti"
"ZIP/Postal Code","CAP"
"Close Window","Chiudi Finestra"
"City","Città"
"Tracking Number:","Codice di Spedizione:"
"Condition","Condizioni"
"Delivered to:","Consegnato a:"
"Delivered on:","Consegnato il:"
"Allow Shipping to multiple addresses","Consenti Spedizione ad indirizzi multipli"
"contact us","contattaci"
"Carrier:","Corriere:"
"Date","Data"
"Description","Descrizione"
"Error:","Errore:"
"Export","Esporta"
"Signed by:","Firmato da:"
"Flat Rate","Forfait"
"Invalid Table Rates File Format","Formato file invalido per la tabella aliquote"
"The shipping module is not available for selected delivery country","Il modulo di spedizione non è disponibile per i paesi selezionati di consegna"
"Import","Importa"
"Info:","Info:"
"Tracking information is currently not available. Please ","Informazioni relative al Codice di Spedizione non sono al momento disponibili. Per favore "
"Tracking information is currently unavailable.","Informazioni sul Codice di Spedizione è attualmente indisponibile."
"Location","Località"
"Shipping Methods","Modalità di Spedizione"
"Show method if not applicable","Mostra metodo se non applicabile"
"N/A","ND"
"None","Nessuno"
"Method name","Nome del Metodo"
"There is no tracking available.","Non c'è un codice di spedizione disponibile."
"There is no tracking available for this shipment.","Non c'è un codice di spedizione valido per questa spedizione."
"Options","Opzioni"
"Local Time","Ora Locale"
"Sort order","Ordinamento"
"Origin","Origine"
"Country","Paese"
"Invalid Country ""%s"" in the Row #%s","Paese non valido ""%s"" nella riga #%s"
"Per Order","Per Ordine"
"Per Package","Per Pacco"
"Percent","Percento"
"Weight (and above)","Peso (e superiore)"
"Weight vs. Destination","Peso vs. Destinazione"
"Weight:","Peso:"
"Price","Prezzo"
"Invalid Shipping Price ""%s"" in the Row #%s","Prezzo di Spedizione Non Valido ""%s"" in the Row #%s"
"Price vs. Destination","Prezzo vs. Destinazione"
"Maximum qty allowed for Shipping to multiple addresses","Qty massima consentita per Spedizioni ad Indirizzi Multipli"
"Minimum order amount","Quantità minima ordine"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Questo metodo di spedizione al momento è indisponibile. Se vuoi effettuare una spedizione utilizzando questo metodo, ti preghiamo di contattarci."
"Invalid Region/State ""%s"" in the Row #%s","Regione/Provincia non valida ""%s"" nella riga #%s"
"Region/State","Regione/Stato"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Riga Duplicata #%s (Paese ""%s"", Regione/Stato ""%s"", Cap ""%s"" e Valore ""%s"")"
"Store Pickup","Ritiro in Negozio"
"Shipping Settings","Settaggi di Spedizione"
"Ship to applicable countries","Spedisci ai Paesi applicabili"
"Ship to Specific countries","Spedisci ai Paesi specificati"
"Shipped or billed on:","Spedito o fatturato il:"
"Shipment #","Spedizione #"
"Free Shipping","Spedizione gratuita"
"Status:","Stato:"
"Order Subtotal (and above)","Subtotale ordine (e superiore)"
"Table rates","Tabelle aliquote"
"Type","Tipo"
"Invalid Table Rate code for type %s: %s","Tipo di codice nella tabella Rate invalido %s: %s"
"Invalid Table Rate code type: %s","Tipo di codice nella tabella Rate invalido: %s"
"Service Type:","Tipo di Servizio:"
"Title","Titolo"
"Track:","Traccia:"
"Displayed Error Message","Visualizza Messaggio di Errore"
