"Enabled","Abilitato"
"Add Sitemap","Aggiungi Sitemap"
"Yearly","Annuale"
"Sitemap generate Warnings","Avvertenze sulla generazione della Sitemap"
"Error Email Recipient","Errore Destinatario Email"
"Error Email Template","Errore Email Template"
"Error Email Sender","Errore Mittente Email"
"Frequency","Frequenza"
"Last Time Generated","Generato l'ultima volta"
"Manage Google Sitemaps","Gestisci Google Sitemaps"
"Daily","Giornaliero"
"Google Sitemaps","Google Sitemap"
"Google Sitemap","Google Sitemap"
"ID","ID"
"Unable to find a sitemap to delete","Impossibile trovare la sitemap da eliminare"
"Priority must be between 0 and 1","La priorità deve essere compresa tra 0 e 1"
"Link for Google","Link per Google"
"Never","Mai"
"Monthly","Mensile"
"Edit Sitemap","Modifica Sitemap"
"Filename","Nome file"
"New Sitemap","Nuova Sitemap"
"Hourly","Ogni ora"
"Categories Options","Opzioni Categorie"
"Generation Settings","Opzioni di Generazione"
"CMS Pages Options","Opzioni Pagine CMS"
"Products Options","Opzioni Prodotto"
"Path","Percorso"
"Priority","Priorità"
"This sitemap no longer exists","Questa sitemap non esiste più"
"Always","Sempre"
"Weekly","Settimanale"
"Sitemap","SiteMap"
"Sitemap was successfully deleted","Sitemap cancellata correttamente"
"Sitemap was successfully saved","Sitemap salvata correttamente"
"Start Time","Tempo di inizio"
"Store View","Vista del Negozio"
