"# of Uses","# di Utilizzi"
"Add to Cart","Aggiungi al Carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add Your Tags:","Aggiungi i tuoi Tag:"
"Add New Tag","Aggiungi Nuovo Tag"
"Add Tags","Aggiungi Tag"
"Other people marked this product with these tags:","Altri utenti hanno contrassegnato questo prodotto con i seguenti tag:"
"Approved","Approvato"
"Action","Azione"
"Actions","Azioni"
"ZIP/Post Code","CAP"
"Click on a tag to view your corresponding products.","Clicca su un tag per vedere i prodotti corrispondenti."
"Customer Since","Cliente Dal"
"Customers","Clienti"
"Customers Tagged '%s'","Clienti Taggati '%s'"
"SKU","COD."
"Last Name","Cognome"
"CSV","CSV"
"Disabled","Disabilitato"
"Delete","Elimina"
"Delete Tag","Elimina Tag"
"Email","Email"
"Thank you. Your tag has been accepted for moderation.","Grazie. Il Tag è stato accettato per l'approvazione."
"Grid","Griglia"
"My Recent Tags","I miei Ultimi Tag"
"Your tag(s) have been accepted for moderation","I tuoi tag sono stati sottoposti ad approvazione con successo."
"ID","ID"
"You tag was successfully deleted","Il tag è stato eliminato"
"You tag was successfully saved","Il tag è stato salvato"
"Tag can't be empty.","Il tag non può essere vuoto"
"Unable to remove tag. Please, try again later.","Impossibile rimuovere il tag. Riprova più tardi."
"Unable to save tag(s)","Impossibile salvare i(l) tag"
"Unable to save your tag. Please, try again later.","Impossibile salvare il tag. Riprova più tardi."
"Unable to find any products tagged with '%s' in the current store","Impossibile trovare un prodotto taggato con '%s' in questo negozio"
"Pending","In Sospeso"
"Back","Indietro"
"Block Information","Informazioni Blocco"
"General Information","Informazioni Generali"
"Tag Information","Informazioni Tag"
"List","Lista"
"My Tags","Miei Tag"
"Change status","Modifica stato"
"Edit Tag","Modifica Tag"
"Edit Tag '%s'","Modifica Tag '%s'"
"No matches found.","Nessun risultato trovato."
"Name","Nome"
"First Name","Nome"
"Product Name","Nome Prodotto"
"Tag Name","Nome Tag"
"You have not tagged any products yet.","Non hai ancora taggato nessun prodotto."
"New Tag","Nuovo Tag"
"Country","Paese"
"Popular","Popolare"
"Popularity","Popolarità"
"Price","Prezzo"
"Products","Prodotti"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Prodotti taggati con '%s' (<a href='%s'>RSS</a>)"
"Products tagged with '%s'","Produtti taggati con '%s'"
"Products Tagged with '%s'","Produtti Taggati con '%s'"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Risultati trovati con '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Salva Tag"
"Are you sure you want to delete this tag?","Sei sicuro di voler eliminare questo tag?"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"Are you sure?","Sei sicuro?"
"Are you sure that you want to delete this tag?","Sicuro di voler cancellare questo tag?"
"Product SKU","SKU prodotto"
"Status","Stato"
"Tags","Tag"
"Tag","Tag"
"Product Tags","Tag dei Prodotti"
"Pending Tags","Tag in Attesa"
"Tags Aren't Available","Tag Indisponibili"
"Popular Tags","Tag popolari"
"Tags:","Tag:"
"Tag Name: %s","Tag: <strong>%s</strong>"
"Tagged in","Taggato in"
"Telephone","Telefono"
"Back to Tags List","Torna alla Lista dei Tag"
"Back to view Tag","Torna alla vista dei Tag"
"All tags","Tutti i Tags"
"All Tags","Tutti i Tags"
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa gli spazi per separare i tags. Usa virgolette singole (') per le frasi."
"Uses","Usi"
"View Customers","Vedi Clienti"
"View Products","Vedi Prodotti"
"View All Tags","Vedi tutti i Tag"
"Visible In","Visibile In"
"XML","XML"
