" was not delivered nor scanned"," non Ë stato consegnato nË analizzato"
"1 Day Freight","1 Giorno di Trasporto"
"2 Day Freight","2 Giorni di Trasporto
2Day"""
"3 Day Freight","3 Giorni di Trasporto"
"Enabled","Abilitato"
"Library","Biblioteca"
"Flat Rate Envelope","Busta a Costo Fisso"
"FedEx Envelope","Busta FedEx"
"Calculate Handling Fee","Calcola le tasse "
"Business Service Center","Centro Servizi Business"
"Shipping key","Chiave Spedizione"
"Invalid UPS CGI code for type %s: %s","Codice CGI di UPS non valido per il tipo %s: %s"
"Invalid DHL XML code for type %s: %s","Codice DHL XML non valido per tipo %s: %s"
"Invalid DHL XML code type: %s","Codice DHL XML non valido per tipo: %s"
"Invalid FedEx XML code for type %s: %s","Codice FeDex XML non valido per tipo %s: %s"
"Shipping key (International)","Codice Spedizione (Internazionale)"
"Invalid USPS XML code for type %s: %s","Codice XML di USPS non valido per il tipo %s: %s"
"Handling fee","Commissione di gestione"
"Packaging","Confezione"
"Your Packaging","Confezione"
"Home Delivery","Consegna a domicilio"
"Delivered","Consegnato"
"Container","Contenitore"
"Package Description","Descrizione Pacco"
"DHL","DHL"
"Size","Dimensione"
"Drop Box","Drop Box"
"Express Mail","Email Express"
"Oversize","Enorme"
"Error #%s : %s (%s)","Errore #%s : %s (%s)"
"Error #%s: %s","Errore #%s: %s"
"Unknown error","Errore Sconosciuto"
"Express","Espresso"
"Express 10:30 AM","Espresso 10:30 AM"
"Europe First Priority","Europe Prioritaria"
"Express Saver","Express Risparmiatore"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10 kg Box"
"FedEx 25kg Box","FedEx 25 kg Box"
"FedEx Box","FedEx Box"
"Handling Applied","Gestione applicata"
"First Overnight","Giorno successivo"
"Large","Grande"
"Access ID","ID Accesso"
"Account ID","ID Account"
"User ID","ID utente"
"UserId","ID Utente"
"Unable to retrieve tracking","Impossibile ricevere tracciatura"
"Dropoff","Inoltrare"
"International Economy","International Economy "
"International Express","International Express "
"International First","International First "
"Response is in the wrong format","La risposta √® nel formato errato"
"Shipment is not available.","La spedizione non √® disponibile."
"Letter","Lettera"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Massimo Peso del Pacco (Consulta il tuo corriere per il peso massimo di spedizione supportato)"
"Media Mail","Media Mail"
"Displayed Error Message","Messaggio d'Errore Visualizzato"
"Allowed methods","Metodi Permessi"
"Pickup method","Metodo di ritiro"
"Free method","Metodo Gratis"
"Sender","Mittente"
"Show method if not applicable","Mostra metodo se non applicabile"
"No","No"
"There is no available method for selected shipping address.","Non c'√® alcun metodo disponibile per l'indirizzo di spedizione selezionato."
"Cannot retrieve shipping rates","Non si possono recuperare le tariffe di spedizione "
"Non-rectangular","Non-rettangolare"
"Account number","Numero Account"
"Access license number","Numero licenza Accesso"
"2Day","Oggi"
"Sort order","Ordinamento"
"Order","Ordine"
"Minimum order amount for free shipping","Ordine minimo per spedizione gratuita"
"Origin of the shipment","Origine della spedizione"
"Parcel","Pacco"
"Package","Pacco"
"FedEx Pak","Pacco FedEx"
"Password","Password"
"Please enter the package weight","Per favore inserisci la larghezza del pacco"
"Parcel Post","Post Pacco"
"First-Class","Prima Classe"
"International Priority","Priorit√† Internazionale"
"Priority Overnight","Priorit√† Notturna"
"Priority Mail","Priority Mail "
"Next Afternoon","Prossimo Pomeriggio"
"Regular","Regolare"
"Rectangular","Rettangolare"
"Receiver","Ricevente"
"Request Courier","Richiesta Corriere"
"Empty response","Risposta vuota"
"Regular Pickup","Ritiro regolare"
"Express Saturday","Sabato Express"
"Flat Rate Box","Scatolo tasso fisso"
"Second Day Service","Secondo Giorno di Servizio"
"Yes","Si"
"Ship to applicable countries","Spedisci ai paesi applicabili"
"Shipment Dutiable","Spedizione Doganale"
"Free shipping with minimum order amount","Spedizione Gratis con una minima spesa"
"Ship to Specific countries","Spedizione in uno specifico Paese"
"Shipment picked up","Spedizione ritirata"
"Bound Printed Matter","Stampe"
"Standard Overnight","Standard Notturno"
"Station","Stazione"
"Flat","Tariffa"
"Ground","Terreno"
"Third Party","Terza Parte"
"Destination type","Tipo destinazione"
"Invalid UPS CGI code type: %s","Tipo di codice CGI di UPS non valido: %s"
"Invalid FedEx XML code type: %s","Tipo di codice XML di FedEx non valido: %s"
"Invalid USPS XML code type: %s","Tipo di codice XML di USPS non valido: %s"
"Shipment Duty Payment Type","Tipo di pagamento della tassa di spedizione"
"Shipment type","Tipo di spedizione"
"UPS type","Tipo UPS"
"Title","Titolo"
"Tracking XML URL","Tracciatura XML URL"
"Intl Economy Freight","Trasporto Merci Internazionale"
"Intl Priority Freight","Trasporto Prioritario Internazionale"
"Machinable","Trattabile a macchina"
"FedEx Tube","Tubo FedEx"
"All Services","Tutti i Servizi"
"Weight Unit","Unit‡ Larghezza"
"United Parcel Service","United Parcel Service"
"UPS","UPS"
"Gateway URL","URL Gateway"
"USPS","USPS"
"Variable","Variabile"
"United Parcel Service XML","XML di United Parcel Service"
"Gateway XML URL","XML URL Gateway"
