"Please use in this field only ""a-z,0-9,_"".","""a-z,0-9,_""の文字で入力してください。"
"Preparing to change $pkg, please wait...","$pkgの変更点をチェックしています。お待ちください。"
"Downloading and installing $pkg, please wait...","$pkgのダウンロードを初期化中です。お待ちください。"
"Uninstalling $pkg, please wait...","$pkgをアンインストールしています。お待ちください。"
"Upgrading $pkg, please wait...","$pkgをアップグレード中です。お待ちください。"
"Installing $pkg, please wait...","$pkgをインストールしています。お待ちください。"
"Size for %s","%s のサイズ"
"File %s.ser could not be read","%s.serファイルが読み込めません"
"Logged in as %s","%sとしてログイン中"
"Shopping Cart from %s","%sのショッピングカートで"
"Position of Watermark for %s","%sの透かしの位置"
"Watermark File for %s","%sへの透かしエラー"
"Edit Url #%s","%s番のURLの編集"
"(Starting with)","(で始まる)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(インポートファイル内の店舗の項目が空白、または抜けている場合、商品はこの店舗に対して追加・更新されます。)"
"(Leave empty for first spreadsheet)","(空を残すための最初のスプレッドシート)"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)"
"(For US 2-letter state names)","(米国の2文字の州名)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(絶対パスまたはMagentoのインストールパスからの相対パス。例：var/export)"
"(t for tab)","(t  はタブを意味します)"
"-- Please select a category --","-- カテゴリを選択してください --"
"-- Please Select --","-- 選択してください --"
"--Please Select--","-- 選択してください --"
"Please enter a number greater than 0 in this field.","0条の数字を入力してください"
"YTD","1年間"
"2YTD","2年間"
"Please enter 6 or more characters.","6文字以上入力してください"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">アクセス拒否</h1><p>アクセスが拒否されました。</p>"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s%d</strong>レコードの処理完了"
"Imported <strong>%s</strong> records","<strong>%s</strong>件のレコードを取り込みました"
"API:","API:"
"API Stability","APIの安定性"
"API Version","APIバージョン"
"Base currency","基本通貨"
"Recommended","お奨め"
"Shipping Address","お届け先"
"Shipping address","お届け先"
"None","なし"
"Yes","はい"
"Yes (only price with tax)","はい(税込み価格のみ)"
"To","へ"
"to","へ"
"Wishlist Report","ほしい物リストレポート"
"Please wait...","しばらくお待ちください。。"
"This attribute shares the same value in all the stores","この属性は全ての店舗で共有されています"
"This attribute set don't have attributes which we can use for configurable product","この属性セットは設定可能商品で利用できる属性を持っていません。"
"Get help for this page","このページのヘルプを見る"
"This user no longer exists","このユーザーは既に存在していません"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには記号以外の文字を入力してください。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","このフィールドには記号以外の文字を入力してください。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","このフィールドには数字を入力してください。"
"This account is","このアカウントは"
"Run Profile Inside This Window","このウインドウの中でプロファイルを実行"
"The information in this tab has been changed.","このタブの情報は変更されています"
"This tab contains invalid data. Please solve the problem before saving.","このタブは不正なデータを含んでいます。保存するには問題を解決してください。"
"Track this shipment","この出荷を追跡する"
"You have not enought permissions to use this functionality.","この機能を使用する権限がありません。"
"No records found for this period.","この期間のレコードが見つかりませんでした。"
"No (price without tax)","いいえ（税抜価格）"
"All Websites","すべてのwebサイト"
"All rates were fetched, click on ""Save"" to apply","すべての料金は反映されました。""保存”をクリックして適用してください"
"SKU","単位"
"SKU:","単位:"
"Revenue","収入"
"Rotate CCW","反時計回りに回転"
"Visibility:","可視性:"
"Orders","受注"
"Per Order","受注ごと"
"Order Totals","受注合計"
"Sort Order","受注を並べ替える"
"Order confirmation email not sent","受注確認メールは未送信です"
"Order confirmation email sent","受注確認メール送信済"
"Order #%s","受注番号%s"
"Order #%s (%s)","受注番号%s (%s)"
"Show by","参照元"
"First Name","名"
"Firstname","名"
"First Name:","名:"
"Name","名前"
"Name:","名前:"
"Profile Name","名前の概要"
"Include","含む"
"User with the same User Name or Email aleady exists","同じ名前またはメールアドレスの顧客が既に存在します"
"Customer with the same email already exists.","同じメールアドレスの顧客が存在しています"
"Enclose Values In:","同封の値:"
"Grand Total","合計"
"Total","合計"
"Total of %d record(s) were successfully deleted","合計%d件のレコードを削除しました。"
"Total of %d record(s) were successfully updated","合計%d件のレコードを更新しました。"
"Total %d records found","合計%d件見つかりました"
"Total Amount","合計個数"
"Total Order Amount","合計注文額"
"Amounts","売上高"
"Big Image","大きな画像"
"Remote Extension Info","外部エクステンション情報"
"All possible rates were fetched, click on ""Save"" to apply","変更可能なすべての料金は反映されました。""保存""をクリックして適用してください"
"Changelog","変更履歴"
"Last Name","姓"
"Lastname","姓"
"Last Name:","姓:"
"Performed At","実行"
"Are you sure you want to do this?","実行してもいいですか？"
"Running:","実行中:"
"Done By:","実行者:"
"Done By:","実行者:"
"Done by:","実行者:"
"Done by:","実行者:"
"Stability","安定性"
"Pending Tags","審査中のタグ"
"Subtotal","小計"
"Subtotal Amount","小計個数"
"Attribute Set Name:","属性名:"
"Attribute set successfully saved.","属性を保存しました。"
"Attribute set was successfully removed.","属性を削除しました。"
"Choose an attribute","属性を選択"
"Profile History","履歴の概要"
"Top 5 Search Terms","上位5件の検索キーワード"
"Invalid input data for %s => %s rate","不正な%sから%sへの変換レートデータです"
"Invalid store value","不正な店舗の値"
"Invalid Username or Password.","不正なユーザー名とパスワードです。"
"Invalid directory: %s","不正なディレクトリ: %s"
"Invalid file: %s","不正なファイル: %s"
"Invalid Import Service Specified","不正なインポート処理があります"
"Invalid website value","不正なウェブサイトの値"
"Invalid section value","不正なセクションの値"
"Invalid input:","不正な入力:"
"Invalid URL","不正なURL"
"Unknown","不明"
"Unknown error","不明なエラー"
"Both (without and with tax)","両方(税金なしと税金込み）"
"of %s pages","中 %s ページ"
"Aggregate Order","一括注文"
"Average Order Amount","平均注文額"
"Average Orders","平均注文数"
"Store","店舗"
"Stores","店舗"
"Store:","店舗:"
"Store View","店舗ビュー"
"Store Views","店舗ビュー"
"Delete Store View","店舗ビューの削除"
"Edit Store View","店舗ビューの編集"
"Please select a store","店舗を選択してください"
"Manage Stores","店舗管理"
"Load previously created custom local package information","以前作成したカスタムローカルパッケージを読込む"
"per page","件表示"
"Any","任意の"
"Any Attribute Set","任意の属性"
"Any Store","任意の店舗"
"Any Group","任意のグループ"
"Any Status","任意のステータス"
"Any Type","任意のタイプ"
"Any Visibility","任意の規程"
"Address Type:","住所タイプ:"
"Number of Use","使用数"
"Number of Uses","使用数"
"Account Created in:","作成されたアカウント:"
"Created At","作成元"
"Dependencies","依存関係"
"Price","価格"
"Price:","価格:"
"Price alert subscription was saved successfully","価格通知購読を保存しました"
"Save","保存"
"Save And Continue Edit","保存して編集を続ける"
