"There is %d product(s) that will be not updated for selected store","%d個の商品が選択した店舗で更新されていません。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s)の不正なオプションの属性があります。レコードをスキップします。"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)の不正なオプションIDがあります。レコードをスキップします。"
"Name In %s","%sの名前"
"Buy %s for %s each","%sの各%sを購入するために"
"Error while adding customers for %s alert. Message: %s","%sのアラートに顧客を追加中にエラーが発生しました。メッセージ: %s"
"%s Item(s)","%sの商品"
"There are no %s available.","%sは利用できません。"
"Buy %s for %s","%sを%sで買う"
"See all %s","%sをすべて見る"
"Product %s successfully added to compare list","%sを比較リストに追加しました"
"(Will make search for the query above return results for this search.)","(上記の検索クエリはこの検索結果を返します)"
"(Copy data from: %s)","(コピーしています: %s)"
"-- Please Select --","-- 選択して下さい --"
"Decimal","10進数"
"Decimal Number","10進数"
"and above","and above"
"Related Products","お奨め商品"
"Up-sells","お奨め商品"
"Display in Suggested Terms","お勧め文内に表示"
"Best Value","お買い得"
"Clean boot cut women's business pant","きれいなブーツカット女性向けパンツ"
"Search Term with such search query already exist.","そのサーチクエリのサーチ用語はすでに存在します"
"As low as:","できるだけ低く:"
"and","と"
"Nowhere","どこにもでなく"
"None","なし"
"Yes","はい"
"Yes/No","はい/いいえ"
"Please select one or more attributes.","ひとつ以上の属性を選択してください"
"Please add one or more options","ひとつ以上のオプションを追加してください"
"Add to My Wishlist","ほしい物リストに追加"
"Add to Wishlist","ほしい物リストに追加"
"OR","または"
"This attribute no longer exists","この属性は存在していません。"
"Are you sure you want to delete this attribute set?","この属性セットを削除してもいいですか？"
"You cannot edit this attribute","この属性を変更できません"
"You cannot delete this attribute","この属性を削除できません"
"You cannot update this attribute","この属性を更新できません"
"There are no customers for this alert","このアラートに顧客は登録されていません。"
"Are you sure you want to delete this category?","このカテゴリを削除してもいいですか？"
"Set root category for this store in the <a href=""%s"">configuration</a>","このストアのルートカテゴリを<a href=""%s"">設定</a>"
"The information in this tab has been changed.","このタブの情報は変更されていません。"
