"The requested quantity for ""%s"" is not available.","""%s""への要求された数量はご用意できません。"
"Allow Qty Below 0","0以下の数量を許可する"
"Allow Qty Below 0 and Notify Customer","0以下を許可し、顧客に通知する"
"Notify for Quantity Below","これ以下の数量になれば通知"
"The requested quantity is not available.","ご希望の在庫数がありません。"
"Can not specify product identifier for order item","ご注文の商品を識別できません。"
"Decrease Stock When Order is Placed","受注を受けると在庫を減らす。"
"Backorders","バックオーダー"
"No Backorders","バックオーダーなし"
"Maximum Qty Allowed in Shopping Cart","カートの中の最大個数を許可する"
"Minimum Qty Allowed in Shopping Cart","カートの中の最小個数を許可する"
"Stock Options","ストックオプション"
"Minimum Qty for Items' Status to be In Stock","商品のステータスを在庫有りする最小の数量"
"Update the Product","商品を更新する"
"By Percentage","固定率"
"To Percentage","固定率"
"By Fixed value","固定額"
"To Fixed Value","固定額"
"Rule price","値引き"
"Inventory","棚卸表"
