"Yes","はい"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","これらは変更後に適用されていないルールです。すぐに結果を表示するには、ルール適用をクリックしてください。"
"No","いいえ"
"Order History","受注履歴"
"Name: %s","名前: %s"
"Attribute Set","属性"
"Stop further rules processing","他のルールの適用をしない"
"Save and Apply","保存と適用"
"The page you are trying to save no longer exists","保存対象のルールがありません。"
"Apply Rules","ルールの反映"
"Save Rule","ルールの保存"
"Delete Rule","ルールの削除"
"Edit Rule","ルールの編集"
"This rule no longer exists","ルールはありません。"
"Rule Name","ルール名"
"Rule was successfully saved","ルールを保存しました"
"Rule was successfully deleted","ルールを削除しました"
"Unable to apply rules","ルールを適用できません"
"Rules were successfully applied","ルールを適用しました"
"Edit Rule '%s'","ルール編集 '%s'"
"Rule Information","ルール情報"
"Promotions","プロモーション"
"Date From","データフォーム"
"Active","アクティブ"
"Actions","アクション"
"Options","オプション"
"Category","カテゴリ"
"Catalog","カタログ"
"Catalog Price Rule","カタログ価格ルール"
"Catalog Price Rules","カタログ価格ルール"
"Gift Messages","ギフトメッセージ"
"Order Gift Messages","ギフトメッセージを注文"
"Credit Memos","クレジットメモ"
"Comments History","コメント履歴"
"Priority","優先度"
"Shipments","出荷情報"
"Product Attribute","商品属性"
"Update product's %s %s: %s","商品更新 %s %s: %s"
"General Information","全般情報"
"To Date","公開日"
"Unable to find a page to delete","削除対象のページが見つかりません。"
"Status","状態"
"Conditions (leave blank for all products)","状態(すべての商品では空白に)"
"Date Expire","終了日"
"Date To","終了日"
"Expire at: %s","終了日: %s"
"Inactive","非アクティブ"
"Customer Groups","顧客グループ"
"Customer registered: %s","顧客登録: %s"
"Invoices","請求書"
"Order Invoices","請求書"
"Date Start","開始日"
"From Date","開始日"
"Start at: %s","開始日: %s"
"ID","ID"
"Websites","WEBサイト"
"Conditions","条件"
"Conditions Combination","条件の組み合わせ"
"Description","概要"
"Description: %s","概要: %s"
"Order Shipments","注文の出荷情報"
"Order Credit Memos","注文クレジットメモ"
"NOT LOGGED IN","未ログイン"
"New Rule","新しいルール"
"Add New Rule","新規ルールの追加"
"Customer is new buyer: %s","新規顧客: %s"
