"%s and greater","%s とそれ以上"
"Search results for '%s'","'%s'の検索結果"
"Search results for: '%s'","'%s'の検索結果"
"You have to specify at least one search term","1つ以上の検索語を指定してください"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d</b> の商品が、以下の検索条件に合致しました。"
"Search entire store here...","すべてのストアから検索...."
"Name","名前"
"List","一覧"
"Popular Search Terms","人気の検索語句"
"Popular Search Terms","人気の検索語句"
"Popular search terms","人気の検索語句"
"Popular search terms","人気の検索語句"
"Price","価格"
"Required Fields","必須項目"
"Home","ホーム"
"Go to Home Page","ホームページへ"
"There are no search terms available.","利用できる検索語がありません。"
"All","全て"
"Results","結果"
"Grid","表"
"Catalog Advanced Search","詳細な検索"
"Advanced Search","詳細な検索"
"Description","説明"
"Autogenerated site map","自動サイトマップ作成"
"Search","検索"
"Search Site","検索サイト"
"Your search returns no results.","検索結果はありません。"
"Search Settings","検索条件"
"Modify your search","検索条件を編集する。"
"Short Description","概要"
"up to %s","最大で %s"
