"%s was successfully added to your shopping cart.","%sは正常にショッピングカートに追加されました。"
"&laquo; Back to Select Addresses","&laquo;住所選択に戻る"
"&laquo; Back to Shopping Cart","&laquo;ショッピングカートに戻る"
"&laquo; Back to Billing Information","&laquo;請求書情報へ戻る"
"* Required Fields","* 必須項目"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">ショッピングを続ける。</a>."
"Shipping to","お届け先"
"Select a shipping address from your address book or enter a new address.","お届け先をアドレスブックから選択するか、新しい住所を入力してください。"
"Some of the products you requested are unavailable","お求めいただいたいくつかの商品がご用意できません"
"Payment Information","お支払い情報"
"Move to Wishlist","ほしい物リストに移動"
"Add to Wishlist","ほしい物リストに追加"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ"
"Ship to this address","この住所へ送る"
"Total for this address","このアドレスへの合計"
"Are you sure you would like to remove this item from the shopping cart?","このアイテムをショッピングカートから削除してもよろしいですか？"
"Thank you for your purchase!","ご購入ありがとうございました！"
"Order Review","ご注文の確認"
"Your order has been received","ご注文をお受けしました"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ご注文を処理しています、注文の詳細をメールでお送りします。また、ご注文が発送されると発送状況を確認できるURLを付けてもメールをお送ります。"
"Your order # is: %s","ご注文番号: %s"
"Your order number is %s","ご注文番号は%sです"
"Submitting order information...","ご注文情報を送信中です。。。"
"Some of the products you requested are not available in the desired quantity","いくつかの商品はお求めの数量をご用意できません"
"There is already a customer registered using this email address","すでにこのメールアドレスは登録されています"
"Please select shipping methods for all addresses","すべての住所への配送方法を選択してください"
"Price","単価"
"Unit Price","単価"
"First Name","名"
"Last Name","姓"
"Subtotal","小計"
"Select State/Province...","州 / 県を選択してください。。"
"Invalid shipping method.","不正な配送方法です。"
"City","市区"
"Store Pickup","店舗で集荷"
"Please log in below:","以下を保存しておいてください:"
"Company","会社"
"Address","住所"
"Street Address","住所"
"Address %s of %s","住所%s の %s"
"Street Address 2","住所2"
"Edit Address","住所を編集"
"Add New Address","住所を追加"
"Select Address","住所選択"
"Select Addresses","住所選択"
"My Account","マイアカウント"
"My Cart","マイカート"
"My Cart (%s items)","マイカート (%s 個)"
"My Cart (%s item)","マイカート(%s個)"
"My Cart Link","マイカートリンク"
"Checkout","チェックアウト"
"Checkout Options","チェックアウトオプション"
"Your Checkout Progress","チェックアウト状況"
"Email Address","メールアドレス"
"Proceed to Checkout","レジに進む"
"Login","ログイン"
"Password","パスワード"
"Forgot your password?","パスワードを忘れた方は"
"Confirm Password","パスワード再確認"
"Data saving problem","データ保存問題"
"Discount Codes","ディスカウントコード"
"Ship to different address","別の住所へ送る"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。"
"Items","アイテム"
"Cannot remove item","アイテムを削除できません"
"Edit Items","アイテムを編集"
"Checkout method","アカウント"
"Register to Create an Account","アカウントを作成するために登録"
"There was an error processing your order. Please contact us or try agian later.","オーダー処理中にエラーが発生しました。ご連絡をいただくか、後ほど再度お試しください。"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","カートに<a href=""%s""><strong>%s 個の商品</strong></a> があります。"
"You have no items in your cart.","カートに商品が入っていません。"
"Add to Cart","カートに入れる"
"Shopping Cart is Empty","カートの中には何もありません。"
"You have no items in your shopping cart.","カートの中には何もありません。"
"Display Cart Summary","カートの概要を表示"
"Edit Your Cart","カートを編集"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","カート内の商品数は、 <a href=""%s""><strong>1つ</strong></a> です。"
"Display number of items in cart","カート内の商品数を表示"
"Cart Subtotal:","カート内小計："
"Card Verification Number Visual Reference","カード確認番号ビジュアルリファレンス"
"Coupon code ""%s"" is not valid.","クーポンコード""%s""は無効です"
"Coupon code was applied successfully.","クーポンコードは正常に適用されました。"
"Enter your coupon code if you have one.","クーポンコードがあれば入力してください。"
"Can not apply coupon code.","クーポンコードを適用できません"
"Apply Coupon","クーポンを適用"
"Grouped product image","グループ化された商品画像"
"Checkout as Guest","ゲストとしてチェックアウト"
"Checkout as a Guest or Register","ゲストまたは登録者としてチェックアウト"
"Allow Guest Checkout","ゲストチェックアウトを有効"
"Shopping Cart","ショッピングカート"
"Can not add item to shopping cart","ショッピングカートに商品を追加できませんでした"
"Update Shopping Cart","ショッピングカートを更新"
"Cannot update shopping cart","ショッピングカートを更新できません"
"Product","商品"
"Display item quantities","商品の見積もりを表示"
"Please specify the product(s) quantity","商品の数量を特定してください"
"Product does not exist","商品は存在しません"
"Product Name","商品名"
"Please specify the product option(s)","商品オプションを特定してください"
"Forgot an Item?","商品をお忘れではありませんか？"
"After adding a product redirect to shopping cart","商品を追加後ショッピングカートにリダイレクト"
"Remove Item","商品削除"
"Remove Product","商品削除"
"Add to Compare","商品比較に追加"
"Remove","削除"
"Country","国"
"Qty","個数"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．"
"Continue","続ける"
"Grand Total:","総計："
"Edit","編集"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在この注文でお見積もりはご利用できません。"
"Invalid data","無効なデータ"
"Shipping Address","発送先住所"
"Create Shipping Address","発送先住所を作成"
"Shipping Information","発送先情報"
"Back to Shipping Information","発送情報に戻る"
"Continue to Shipping Information","発送情報へ"
"Shipping Method","発送方法"
"Register with us for future convenience:","登録のメリット"
"Already registered?","登録はお済みですか？"
"Register and save time!","登録すると手続きが簡単に!"
"Change Billing Address","Edit"
"Change Payment Method","Edit"
"Change Shipping Address","Edit"
"Change Shipping Method","Edit"
"Load customer quote error","顧客の見積もり読み込みエラー"
"Checkout with Multiple Addresses","複数の住所へチェックアウト"
"Maximum qty allowed for Shipping to multiple addresses is %s","複数の住所へ配送する場合の最大の数量は%sです"
"Ship to Multiple Addresses","複数の住所へ送る"
"Quote Lifetime (days)","見積もりの有効期間(日)"
"Get a Quote","見積もる"
"Configurable product image","設定可能な商品画像"
"Use Billing Address","請求先の住所を使う"
"Billing Address","請求先住所"
"Create Billing Address","請求先住所を作成"
"Edit Billing Address","請求先住所を編集"
"Billing Information","請求先情報"
"Continue to Billing Information","請求情報へ"
"Billing Information - %s","請求書情報 - %s"
"Continue Shopping","買い物を続ける"
"State/Province","都道府県"
"Please select region, state or province","都道府県を選択してください"
"Zip/Postal Code","郵便番号"
"Close","閉じる"
"Edit Shipping Address","配送先を編集"
"Shipping Methods","配送方法"
"Shipping method has not been selected yet","配送方法が選択されていません"
"Select Shipping Method","配送方法を選択"
"Enter your destination to get a shipping estimate.","配送料の見積もりを表示するにはお届け先を入力してください。"
"Telephone","電話番号"
"Send to","送信先"
"Estimate Shipping and Tax","送料と税金の計算"
"Fax","FAX番号"
"Place Order","Place Order"
"Default Shipping","標準の発送先"
"Default Billing","標準の請求先"
"Loading next step...","次のステップを読み込んでいます..."
"Cannot move item to wishlist","欲しい物リストにアイテムを移動できませんでした"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。例 90602 90602-1234"
"Review Order","注文のレビュー"
"Review Order - %s","注文のレビュー - %s"
"Continue to Review Your Order","注文の確認へ"
"You will receive an order confirmation email with details of your order and a link to track its progress.","注文の確認メールをお送りしました。メールには注文状況を確認するURLがあります。"
"Order Success","注文成功"
"Back","戻る"
"Enter a New Address","新しい住所を入力"
"New Address","新規住所"
"Register","新規登録"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Payment Method","支払い方法"
"Payment method is not defined","支払い方法が定義されていません"
"Update Qty &amp; Addresses","数量&amp;住所の更新"
"Update Total","更新合計"
