"Edit Page '%s'","'%s'ページを編集"
"Edit Block '%s'","'%s'ブロックを編集"
"(eg: domain.com/identifier)","(例: domain.com/識別子)"
"Store View","店舗ビュー"
"Date Created","作成日付"
"Save Block","保存"
"Save Page","保存"
"The page you are trying to save no longer exists","保存対象のページが存在していません。"
"Delete Page","ページの削除"
"This page no longer exists","ページが存在しません。"
"Page Status","ページステータス"
"Page Title","ページタイトル"
"Page was successfully saved","ページを保存しました"
"Page was successfully deleted","ページを削除しました"
"Manage Pages","ページ管理"
"Edit Page","ページ編集"
"Page Identifier cannot consist only of numbers.","ページ識別子は数値のみで定義できません。"
"Page Information","ページ情報"
"Meta Data","メタデータ"
"Meta Keywords","メタキーワード"
"Meta Description","メタ概要"
"Layout","レイアウト"
"Delete Block","ブロックの削除"
"Block was successfully deleted","ブロックは正常に削除されました"
"This block no longer exists","ブロックが存在しません。"
"Block Title","ブロックタイトル"
"Block was successfully saved","ブロックを保存しました"
"Edit Block","ブロックを編集"
"Manage Blocks","ブロック管理"
"Block Information","ブロック情報"
"Preview","プレビュー"
"Home","ホーム"
"Go to Home Page","ホームページへ移動"
"Action","アクション"
"Custom Theme","カスタムテーマ"
"Custom Design","カスタムデザイン"
"Keywords","キーワード"
"Status","ステータス"
"Title","タイトル"
"Content","内容"
"Product Tax Class Information","商品税区分情報"
"All countries","全ての国"
"Unable to find a page to delete","削除対象のページが存在しません。"
"Unable to find a block to delete","削除対象のブロックが存在しません。"
"CMS","CMS"
"CMS Pages","CMS ページ"
"CMS Blocks","CMS ブロック"
"CMS Home Page","CMSのホームページ"
"CMS No Route Page","CMSのエラーページ"
"Show breadcrumbs for CMS pages","CMSページのパンくずを表示する"
"General Information","総合情報"
"Disabled","無効"
"Page Identifier for specified store already exist.","特定の店舗へのページ識別子はすでに存在します。"
"Such a block identifier in selected store already exist.","選択された店舗内にそのようなブロック識別子はすでに存在します。"
"Static Blocks","静的ブロック"
"Customer Tax Class Information","顧客課税区分情報"
"Identifier","識別子"
"SEF URL Identifier","SEF URL 識別子"
"Layout Update XML","XMLのレイアウトを更新する"
"Poll Manager","投票管理"
"Description","概要"
"Custom Theme To","次へカスタムテーマ"
"Custom Theme From","次からカスタムテーマ"
"Enabled","有効"
"Last Modified","最終更新日"
"New Page","新規ページ"
"Add New Page","新規ページ追加"
"New Block","新規ブロック"
"Add New Block","新規ブロック追加"
