"* Required Fields","* 必須項目"
"Contact Us","お問い合わせ"
"Enable Contact Us","お問い合わせを有効化"
"Contact Information","ご連絡先"
"Name","名前"
"Email Template","メールテンプレート"
"Email Sender","メール送信者"
"Unable to submit your request. Please, try again later","リクエストを送信できませんでした。しばらくしてから再度試して下さい。"
"Comment","コメント"
"Contacts","コンタクト"
"Contact Form","コンタクトフォーム"
"Email","Eメール"
"Email Options","Emailオプション"
"Send Emails To","Emailを次のアドレスに送信"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","質問を受付しました。できるだけはやくお返事します。お問い合わせいただきありがとうございました。"
"Telephone","電話番号"
"Submit","送信"
