"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します"
"%s already exist","%sはすでに存在します"
"%s already exists","%sは既に存在しています"
"-- Please Select --","-- 選択して下さい --"
"Please enter a number greater than 0 in this field.","0条の数字を入力してください"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","6文字以上で入力してください。前後の空白文字は無視されます。"
"Please enter 6 or more characters.","6文字以上入力してください"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには記号以外の文字を入力してください。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","このフィールドには記号以外の文字を入力してください。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","このフィールドには数字を入力してください。"
"This Website cannot be deleted","このウェブサイトは削除できませんでした"
"This Website cannot be deleted.","このウェブサイトは削除できませんでした。"
"This category and its products","このカテゴリと含まれる商品"
"This category and its child categories","このカテゴリと子カテゴリ"
"This category only","このカテゴリのみ"
"This Store cannot be deleted","このストアは削除できませんでした"
"This Store cannot be deleted.","このストアは削除できませんでした。"
"This Store View cannot be deleted","このストアビューは削除できません"
"This Store View cannot be deleted.","このストアビューは削除できませんでした。"
"Leave empty for access from any location","すべてのロケーションからのアクセスには空のままにして下さい"
"Name","名前"
"Website with the same code","同じコードのウェブサイト"
"Store with the same code","同じコードのストアです。"
"Unable to proceed. Please, try again","実行できませんでした。後で試して下さい。"
"Invalid block name to set child %s: %s","不正な子ブロック名です %s: %s"
"Invalid transactional email code: ","不正なトランザクションemailコード:"
"Invalid block: %s","不正なブロック: %s"
"Invalid block type: %s","不正なブロック名です: %s"
"Invalid base dir type specified: %s","不正なベースディレクトリです: %s"
"Invalid base url type","不正なベースURLタイプ"
"Invalid websites configuration path: %s","不正なウェブサイト設定パス: %s"
"Sort order","並べ替え順"
"Store","店舗"
"Stores","店舗"
"Save Store","店舗の保存"
"Store Email Addresses","店舗のメールアドレス"
"Delete Store","店舗の削除"
"Edit Store","店舗の編集"
"Store Name","店舗名"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","店舗ビューを削除しても、その店舗ビューに関連する情報は削除されません。（例：カテゴリー、商品など）　しかしその店舗ビューを元に戻すことはできません。　店舗ビューの削除を行う前にデータベースのバックアップを取ることをおすすめします。"
"Store was successfully saved","店舗を保存しました"
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","店舗を削除しても、その店舗に関連する情報は削除されません。（例：カテゴリー、商品など）　しかしその店舗を元に戻すことはできません。　店舗の削除を行う前にデータベースのバックアップを取ることをおすすめします。"
"Store Information","店舗情報"
"Save","保存"
"Error while saving. Please try again later.","保存中にエラーが発生しました。しばらくたってから再度試してください。"
"This is a required field.","必須項目です"
"Unable to create backup. Please, try again later.","バックアップファイルを作成できませんでした。しばらくしてから再度お試しください"
"Port (25)","ポート (25)"
"Cannot Delete Email Template","メールテンプレートを削除できません"
"Media files directory","メディアファイルディレクトリ"
"Base Media URL","メディアベースURL"
"Model class does not exist: %s","モデルクラスがありません: %s"
"Model collection resource name is not defined","モデルコレクションリソース名が未定義です"
"Base Link URL","リンクベースURL"
"Can't retrieve request object","リクエストオブジェクトを取得できません"
"Resource is not set","リソースはセットされていません"
"Root Category","ルートカテゴリ"
"Layout","レイアウト"
"Invalid messages storage ""%s"" for layout messages initialization","レイアウトメッセージ初期化で不正なメッセージストレージ ""%s"""
"Exception Log File Name","ログファイル名例外"
"Locale","ロケール"
"Locale options","ロケールオプション"
"Profiler","プロファイラ"
"Package","パッケージ"
"Forgot Password Email Template","パスワード忘れEmailテンプレート"
"Forgot Password Email Sender","パスワード忘れEmail送信者"
"Please make sure your passwords match.","パスワードを一致させてください。"
"Templates","テンプレート"
"Template Path Hints","テンプレートパスヒント"
"Duplicate Of Template Code","テンプレートコードの重複"
"Themes","テーマ"
"Debug","デバッグ"
"Database was successfuly backed up.","データベースは正常にバックアップされました。"
"Developer Client Restrictions","デベロッパークライアント制限"
"Default Pages","ディフォルトページ"
"Default Store View","ディフォルトストアビュー"
"Design","デザイン"
"Design Change","デザイン変更"
"Edit Design Change","デザイン変更編集"
