"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s)の不正なオプションの属性があります。レコードをスキップします。"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)の不正なオプションIDです。レコードをスキップします。"
"Thank you for registering with %s","%s に登録していただき誠にありがとうございます。"
"* Required Fields","* 必須項目"
"Your account balance is: %s","お客様の残高: %s"
"Change Shipping Address","お届け先変更"
"Continue Shopping","お買い物を続ける"
"You have no additional entries in your address book.","その他の住所が住所録にありません。"
"You have no additional address entries in your address book.","その他の住所データがありません。"
"My Wishlist","ほしい物リスト"
"Wishlist","ほしい物リスト"
"Wishlist - %d item(s)","ほしい物リスト - %dの商品"
"Days in Wishlist","ほしい物リストの日付"
"Never","まだ"
"You have placed no products yet.","まだ商品はありません。"
"You have placed no orders yet.","まだ注文はありません。"
"You are currently subscribed to 'General Subscription'.","あなたは現在'一般的な購読'を購読しています。"
"Are you sure you want to cancel adding of this address?","この住所の追加を取りやめてもいいですか？"
"The address does not belong to this customer","この住所は顧客に関連づいていません"
"Are you sure you want to delete this address?","この住所を削除してもいいですか？"
"Are you sure that you want to remove this item?","このアイテムを削除してもいいですか？"
"Are you sure the you want to remove this item?","このアイテムを削除してもいいですか？"
"This customer has no saved addresses.","この顧客は住所を保存していません"
"Contact Information","ご連絡先"
"Added From","から追加しました"
"All Store Views","すべてのストアビュー"
"SKU","単位"
"Newsletter Received","受信メールマガジン"
"Orders","受注"
"Order Total","受注合計"
"View Order List","受注一覧を表示"
"Create Order","受注を作成"
"Order #","受注番号"
"Order #%s (%s)","受注番号 %s (%s)"
"View Order","受注表示"
"First Name","名"
"Name","名前"
"Shipped to Name","名前へ発送"
"Missing firstname, skipping the record","名前がありません、レコードをスキップしています"
"Grand Total","合計"
"Total","合計"
"Grand Total: %s","合計: %s"
"Sales Statistics","売上情報"
"Last Name","姓"
"Missing lastname, skipping the record","姓がありません、レコードをスキップしています"
"Invalid attribute set specified, skipping the record","不正な属性があります。レコードをスキップします。"
"Invalid store specified, skipping the record","不正な店舗があります。レコードをスキップします。"
"Wrong region id by selected country","不正な地域コードです"
"Invalid current password","不正なパスワードです"
"Unknown","不明"
"Pending","中断中"
"City","市区"
"Average Sale","平均販売"
"Store","店舗"
"Subject","件名"
"Company","会社名"
"Address","住所"
"Addresses","住所"
"Delete Address","住所の削除"
"Manage Addresses","住所の管理"
"Edit Address","住所の編集"
"Edit Address Entry","住所の編集"
"Can't save address","住所を保存できません"
"Go to Address Book","住所録へ"
"Address Information","住所情報"
"New Address Entry","住所新規登録"
"Price","価格"
"Save","保存"
"Save Address","保存"
"Save Customer","保存"
"Save Customer Group","保存"
"Save Password","保存"
"The address was successfully saved","保存しました。"
"Saved ","保存済み"
"My Dashboard","マイダッシュボード"
"My Account","マイアカウント"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","マイアカウントダッシュボードでは最近のアカウント状況と更新状況を確認できます。以下のリンクをクリックして、情報を閲覧または編集してください。"
"Paused","ポーズ中"
"Newsletter","メールマガジン"
"Newsletters","メールマガジン"
"Edit Newsletters","メールマガジンの編集"
"No Newsletter Found","メールマガジンが見つかりませんでした"
"You are currently not subscribed to any newsletter.","メールマガジンをご購読いただいておりません。"
"You are currently not subscribed to our newsletter","メールマガジンをご購読いただいておりません。"
"Subscribed to Newsletter?","メールマガジンを購読しますか？"
"Sign Up for Newsletter","メールマガジンを購読する"
"Sign up for our newsletter","メールマガジンを購読する"
"You are currently subscribed to our newsletter","メールマガジンを購読中です。"
"You are currently subscribed to our newsletter.","メールマガジンを購読中です。"
"Unsubscribe from newsletter","メールマガジンを購読解除する"
"Newsletter Finish","メールマガジン終了"
"Newsletter Start","メールマガジン評価t"
"Newsletter Subscriptions","メールマガジン購読"
"Edit Newsletter Subscription","メールマガジン購読の編集"
"Newsletter Information","メールマガジン情報"
"Email Template","メールテンプレート"
"Email Address","メールアドレス"
"This email address was not found in our records","メールアドレスが見つかりませんでした"
"Email Sender","メール送信者"
"User description","ユーザー概要"
"Forgot Email Template","リマインダーテンプレート"
"Forgot Email Sender","リマインダー送信者"
"My Reviews","レビュー"
"You're now Logged Out","ログアウトしています。"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","ログアウトしました。5秒後にトップページに移動します。"
"Login","ログイン"
"Log In","ログイン"
"Login and password are required","ログインとパスワードが必要です"
"Login or Create an Account","ログインまたはアカウント新規作成"
"Back to Login","ログイン画面に戻る"
"Invalid login or password","ログインIDまたはパスワードが不正です"
"Login Information","ログイン情報"
