"Found %d rows","%d行見つかりました"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">リンク</a>"
"Total records: %s","合計レコード: %s"
"Declared adapter %s not found","宣言されたアダプター%sがみつかりません"
"Done","完了"
"Less than a minute","一分以内"
"Access denied to destination folder ""%s""","保存先フォルダ""%s""にアクセスできませんでした"
"Destination folder ""%s"" does not exist or not access to create","保存先フォルダ""%s""は存在しないか作成するアクセス権がありません"
"Destination folder ""%s"" is not a directory","保存先フォルダ""%s""はディレクトリではありません"
"Destination folder ""%s"" is not a writeable","保存先フォルダ""%s""は書き込み可能ではありません"
"Memory Used: %s","メモリ使用量: %s"
"Method ""%s"" not defined in adapter %s","メソッド""%s""はアダプター""%s""で定義されていません"
"File ""%s"" don't exist","ファイル""%s""は存在しません"
"Could not save file: %s","ファイルを保存できません: %s"
"Could not load file: ""%s""","ファイルをロードできません。: ""%s"""
"Error occured during file opening: ""%s""","ファイルをオープン中にエラーが発生しました: ""%s"""
"Error field mapping! Fields list for mapping is not defined","フィールドマッピングエラー!マッピングのためのフィールドリストが定義されていません"
"minute","分"
"minutes","分"
"Sheet 1","シート1"
"Processed records: %s","処理済みレコード: %s"
"ETA: %s","ETA: %s"
"Starting %s :: %s","開始 %s :: %s"
"Saved successfully: ""%s"" [%d byte(s)]","正常に保存されました: ""%s""[%d バイト]"
"Loaded successfully: ""%s""","正常にロードしました: ""%s"""
"Skip undefined row","未定義の行をスキップ"
"Please declare ""adapter"" and ""method"" node first","最初に""アダプター""と""メソッド""ノードを定義してください"
"hour","時間"
"hours","時間"
