"Loaded %d records","%d レコードを読み込みました"
"Yes","はい"
"No","いいえ"
"Attribute with the same code","同じコードの属性"
"Attribute '%s' used in configurable products.","属性 '%s'は設定可能な商品に使用されています。"
"Attribute used in configurable products.","属性は設定可能な商品に使われています"
"Value of attribute ""%s"" must be unique","属性値""%s""は一意である必要があります"
"Invalid foreign key","不正な外部キー"
"Invalid attribute requested: %s","不正な属性の要求: %s"
"Invalid attribute name: %s","不正な属性名: %s"
"Invalid attribute type","不正な属性タイプ"
"Invalid data object key","不正なデータオブジェクトキー"
"Invalid alias, already exists in joined attributes","不正な別名です。接続された属性に既に存在します。"
"Invalid joined fields","不正な結合フィールド"
"Invalid entity type","不正な要素タイプ"
"Invalid entity_id, skipping the record","不正な要素ID、レコードをスキップします"
"Entity collection expected","予測された要素集合"
"Entity collections expected","予測された要素集合"
"Saved ","保存されました"
"Problem saving a record, aborting. Error: ","レコード保存中に問題が発生したため中止しました。エラー:"
"Problem loading a record, aborting. Error: %s","レコード読み込み中に問題が発生したため中止しました。エラー: %s"
"Data integrity: No header row found for attribute","データ整合性: 属性用のヘッダなしの行が見つかりました"
"Default option value is not defined","ディフォルトのオプション値は定義されていません"
"Frontend label is not defined","フロントエンドラベルは定義されていません"
"Joined field with this alias (%s) is already declared","別名(%s)をつけた結合フィールドは既に宣言されています"
"Joined field with this alias is already declared","別名をつけた結合フィールドはすでに定義されています"
"Invalid character encountered in increment ID: %s","インクリメントIDに不正な文字が含まれています: %s"
"No options root node found","オプションのルートノードが見つかりませんでした"
"Problem saving the collection, aborting. Error: %s","コレクションを保存中に問題が発生したため中止しています。エラー: %s"
"Problem loading the collection, aborting. Error: %s","コレクション読み込み中に問題が発生したため中止しました。エラー: %s"
"Joined field or attribute expression with this alias is already declared","結合フィールドか、別名をつけた式はすでに定義されています"
"Invalid entity specified","特定の不正な属性"
"Entity is not initialized","要素は初期化されていません"
"Wrong attribute group ID","間違った属性グループID"
"Wrong attribute set ID","間違った属性セットID"
"Wrong attribute ID","間違った属性ID"
"Wrong entity ID","間違った要素ID"
"Invalid attribute specified: %s","Invalid attribute specified: %s"
"Invalid entity supplied","Invalid entity supplied"
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid store specified","Invalid store specified"
"Attempt to add an invalid object","正しくないオブジェクトの追加を試みる"
"Valid store_id is expected!","正しいstore_idが期待されています"
"Unknown parameter","未知のパラメータ"
