"Item %d of %d","%d個中%dの商品"
"* Required Fields","* 必須項目"
"Yes","はい"
"To","あて先"
"Enter a gift message for this address.","このあて先にギフトメッセージを入力する。"
"You can leave a box blank if you don't wish to add a gift message for this address.","この住所にギフトメッセージを付ける必要がなければ、空白のままにしておいてください"
"Enter a gift message for entire order.","ご注文にギフトメッセージを入力する。"
"Enter a gift message for each item in your order.","ご注文の商品それぞれにギフトメッセージを入力する。"
"No","いいえ"
"You can leave a box blank if you don't wish to add a gift message for whole order.","すべての注文にギフトメッセージを付ける必要がなければ、空白のままにしておいてください。"
"Unknown entity type","不明なエンティティタイプ"
"Save","保存"
"Message","メッセージ"
"Error while saving gift message","メッセージを保存中にエラーが発生しました。"
"Cancel","キャンセル"
"Do you have any gift items in your order?","ギフトにする商品がありますか？"
"Gift Message","ギフトメッセージ"
"Gift Messages","ギフトメッセージ"
"Save Gift Message","ギフトメッセージ"
"Gift message has been successfully saved","ギフトメッセージを保存しました。"
"Your gift message has been successfully saved","ギフトメッセージを保存しました。"
"Your gift message successfully saved","ギフトメッセージを保存しました。"
"Your gift message has been successfully removed","ギフトメッセージを削除しました。"
"Your gift message successfully removed","ギフトメッセージを削除しました。"
"Edit Gift Message","ギフトメッセージを編集"
"Add Gift Message","ギフトメッセージを追加"
"Check this checkbox if you want to add gift messages to your items.","ギフトメッセージを追加したい場合はチェックしてください。"
"Check this checkbox if you want to add gift messages.","ギフトメッセージを追加したい場合はチェックしてください。"
"Are you sure?","よろしいですか？"
"You can leave a box blank if you don't wish to add a gift message for the item.","商品にギフトメッセージを追加しなくてよければ、空白のままにしておいてください。"
"Remove","削除"
"Edit","編集"
"From","発信者"
"Use config","設定を使用する"
"Add","追加"
"Close","閉じる"
"Allow Gift Messages for Order Items","注文された商品向けにギフトメッセージを付けられる"
"Allow Gift Messages on Order Level","注文レベルにギフトメッセージをつけられる"
