"* Select shipping method","* 配送方法を選択してください"
"Auto-generated from GoogleCheckout Charge","Auto-generated from GoogleCheckout Charge"
"AVS Status: %s","AVSステータス: %s"
"Location","場所"
"Merchant ID","マーチャント ID"
"Merchant Key","マーチャント Key"
"Hide Cart Contents During Checkout","チェックアウト中に買い物かごの中身を隠す"
"Checkout Image Style","チェックアウト画像スタイル"
"Debug","デバッグ"
"Default price:","ディフォルト価格:"
"Fulfillment: %s -> %s","フルフィルメント: %s -> %s"
"Optional, leave empty for home page.","オプション、ホームページでは空白のまま"
"Cart Discount","カート割引"
"Sandbox","サンドボックス"
"Buyer account age: %s days","Buyer account age: %s days"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CIDステータス: %s"
"Amount: %s","総額: %s"
"Eligible for protection: %s","Eligible for protection: %s"
"Continue Shopping URL","買い物を続けるURL"
"Total Refunded: %s","返金額合計: %s"
"Invoice auto-created: %s","自動生成された請求書: %s"
"Financial: %s -> %s","Financial: %s -> %s"
"Google API","Google API"
"Google Checkout","Google チェックアウト"
"Google Charge:","Google Charge:"
"Google Checkout: %s","Googleチェックアウト: %s"
"Google Checkout Shipping - Merchant Calculated","Googleチェックアウトで配送 - 店舗で計算"
"Google Checkout Shipping - Flat Rate","Googleチェックアウトで配送 - 固定費用"
"Google Checkout Shipping - Carrier Calculated","Googleチェックアウトで配送 - 配送会社で計算"
"Google Buyer Id: %s","GoogleバイヤーID: %s"
"Google Risk Information:","Googleリスク情報:"
"Google Authorization:","Google認証:"
"Google Refund:","Google返金済み:"
"Google order status change:","Google注文状態変更:"
"Google Order Number: %s","Google注文番号: %s"
"IP Address: %s","IP アドレス： %s"
"Latest Charge: %s","Latest Charge: %s"
"Total Charged: %s","Total Charged: %s"
"Virtual item to reflect discount total","Virtual item to reflect discount total"
"Expiration: %s","期限切れ: %s"
"Enable","有効"
"Latest Refund: %s","最新の返金: %s"
"New order status","新規受注のステータス"
