"%s Item(s)","%sの商品"
"(ver. %s)","(ver. %s)"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。実際に請求されることはありません。"
"per page","ごと"
"Select Store","店舗を選択"
"Page:","ページ:"
"Report All Bugs","バグを報告する"
"Skip to Main Content","メインコンテンツをスキップする"
"Logo Image Alt","ロゴ画像Alt"
"Logo Image Src","ロゴ画像ソース"
"Header","ヘッダ"
"Default Robots","ディフォルトロボット"
"Default Keywords","ディフォルトキーワード"
"Default Title","ディフォルトタイトル"
"Default Description","ディフォルト説明"
"Footer","フッタ"
"Close Window","ウインドウを閉じる"
"Copyright","コピーライト"
"Title Prefix","タイトルプレフィックス"
"Title Suffix","タイトルサフィックス"
"Welcome Text","ようこそメッセージ"
"Welcome, %s!","ようこそ、%s様!"
"Previous Page","前のページ"
"You're currently on:","現在の通貨:"
"Show","表示する"
"Interface Language","言語"
"Your Language","言語選択"
"HTML Head","HTMLヘッド"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Magento Commerce Demo Store","Magentoのデモストア"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","MagentoはIrubin Consulting Inc.の登録商標です。DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Help Us to Keep Magento Healthy","Magentoを安全に保つためにご協力ください"
"Next Page","次のページ"
