"API Login ID","APIログインID"
"Authorize Only","Authorize Only"
"Authorize.net","Authorize.net"
"Invalid transaction id","不正なトランザクションIDです。"
"Sort order","並び順"
"PayflowPro","ペイフロープロ"
"Email customer","メールアドレス"
"User","ユーザー"
"Transaction key","トランザクションキー"
"Partner","パートナー"
"Password","パスワード"
"Test mode","テストモード"
"Debug","デバッグ"
"Error in refunding the payment","エラーが発生しました。"
"Error in refunding the payment.","エラーが発生しました。"
"Error in retreiving the transaction","エラーが発生しました。"
"Credit Card Verification","カード確認番号"
"Credit Card Types","クレジットカードタイプ"
"Gateway request error: %s","ゲートウェイリクエストエラー: %s"
"Title","タイトル"
"Voided transaction","無効なトランザクション"
"Error in capturing the payment","Error in capturing the payment"
"Authorize and Capture","認証とキャプチャ"
"Invalid amount for authorization","認証に不正な額"
"Invalid amount for authorization.","認証に不正な額"
"Merchant Login","Merchant Login"
"Merchant's email","Merchant's email"
"Payment authorization transaction has been declined.","Payment authorization transaction has been declined."
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"TENDER","TENDER"
"URL","URL"
"VERBOSITY","VERBOSITY"
"Fraud order status","注文状態が不正です"
"Enabled","有効"
"New order status","新しい受注のステータス"
"Error in authorizing the payment","支払い認証中にエラーが発生しました"
"Payment authorization error.","支払い認証エラー"
"Payment Action","支払アクション"
