"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Sort order","受注の並べ替え"
"Year","年"
"Payment from applicable countries","当てはまる国からの支払い"
"Saved CC","保存したクレジットカード"
"Name on the Card: %s","カードの名義: %s"
"Name on Card","カード名義"
"Card Verification Number","カード確認番号"
"Credit Card Type","クレジットカード会社"
"Credit Card Types","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Card Verification","クレジットカード確認"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: %s","クレジットカード番号: %s"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Title","タイトル"
"Purchase order","出荷"
"Purchase Order Number","出荷番号"
"Purchase Order Number: %s","出荷番号: %s"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Check / Money order","Check / Money order"
"Payment from Specific countries","特定の国からの支払い"
"Send Check to","Send Check to"
"Send Check to:","Send Check to:"
"What is this?","暗証番号とは？"
"Make Check payable to","次で支払い可能かチェック"
"Make Check payable to: %s","次で支払い可能かチェック: %s"
"Month","月"
"Enabled","有効"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"New order status","新しい受注ステータス"
"Zero Subtotal Checkout","支払い総額ゼロのチェックアウト"
"Payment Methods","支払方法"
"Can not retrieve payment method instance","支払方法を取得できません"
"Can not retrieve payment method model object.","支払方法を取得できません"
"Can not retrieve payment info model object.","支払方法を取得できません。"
