"API User Name","APIユーザー名"
"API Password","APIパスワード"
"API Signature","APIシグネチャ"
"Authorize and Capture","Authorize and Capture"
"Change Shipping Address","お届け先変更"
"Received IPN verification","受信済みIPN認証"
"Order","受注"
"Subtotal","小計"
"Invalid transaction id","不正なトランザクションIDです。"
"Unknown PayPal API error: %s","不明なPayPal APIエラー: %s"
"Sort order","並べ替え順"
"Payment from applicable countries","当てはまる国からの支払い"
"Price","価格"
"MasterCard","マスターカード"
"Transaction Type","トランザクションタイプ"
"Proxy Port","プロキシポート"
"Proxy Host","プロキシホスト"
"Use Proxy","プロキシを使用する"
"Business Name","ビジネス名"
"Business Account","ビジネスアカウント"
"Debug Flag","デバッグフラグ"
"Amex","アメリカンエキスプレス"
"Website Payments Pro (Express, Direct)","ウェブサイト支払いプロ(エクスプレス、ダイレクト)"
"Website Payments Standard","ウェブサイト支払いスタンダード"
"Error in refunding the payment","エラーが発生しました。"
"Items in Your Shopping Cart","カートの中身"
"Name on the Card: %s","カードの名義: %s"
"Name on Card","カード名義"
"Card Verification Number","カード確認番号"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Card Types","クレジットカードタイプ"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Edit Shopping Cart","ショッピングカート変更"
"Sale","セール"
"Title","タイトル"
"Type","タイプ"
"Sandbox Flag","サンドボックスのフラグ"
"Issue Number","問題番号"
"Product Name","商品名"
"Qty","個数"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、在庫数が不足しております。"
"Payment from Specific countries","特定の国からの支払い"
"Selected currency code (","選択済み通貨コード ("
"Authorization","認証"
"Invoice ","請求書"
"Error in creating an invoice","請求書を作成中にエラーが発生しました"
"Billing Information","購入者情報"
"Start Date","開始日"
"Shipping Address","配送先"
"Shipping Information","配送情報"
"Shipping Method","配送方法"
"Please select a shipping method...","配送方法を選択してください"
"Update Shipping Method","配送方法を更新する"
"N/A","N/A"
"Paypal IPN Invalid.","PayPal IPN不正。"
"PayPal Uk Account","PayPal Ukアカウント"
"Paypal Checkout","Paypalチェックアウト"
"Paypal Logo Image URL(150x150)","PayPalロゴ画像URL(150x150)"
"PayPal Direct (Website Payments Pro)","PayPalダイレクト(ウェブサイト支払いプロ)"
"PayPal Accounts","PayPalアカウント"
"Paypal Express (Website Payments Pro)","PayPalエキスプレス(ウェブサイト支払いプロ)"
"PayPal Standard (Website Payments Standard)","PayPalスタンダード(ウェブサイト支払いスタンダード)"
"There was an error during communication with Paypal: %s - %s","Paypalサーバーとの通信中にエラーが発生しました: %s - %s"
"Problem during communication with PayPal","PayPalサーバーと通信中にトラブルが発生しました"
"There was an error connecting to the Paypal server: %s","Paypalサーバーへ接続中にエラーが発生しました: %s"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo Only","Switch/Solo Only"
"Visa","Visa"
"What is this?","暗証番号とは？"
"Discover","探索"
"Please select a valid shipping method","正しい配送方法を選択してください"
"Order total amount does not match paypal gross total amount","注文の合計額がpaypalの総額と一致しません"
"Review Order","注文の確認"
"Place an Order","注文する"
"Submitting order information...","注文情報を送信中です。。。"
"Enabled","有効"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"New order status","新規受注のステータス"
"You will be redirected to paypal in a few seconds.","支払いのためpaypalにリダイレクトします"
"Your billing address will be ignored and you will be redirected to PayPal UK website","支払い住所が無視されました。PalPalUKウェブサイトにリダイレクトされます"
"There has been an error processing your payment. Please try later or contact us for help.","支払い処理中にエラーが発生しました。しばらしくてから再度お試しするか、サポートまでご連絡ください。"
"Payment Action","支払アクション"
"Payment Method","支払方法"
"Change Payment Method","支払方法変更"
