"API User Name","APIユーザー名"
"API Password","APIパスワード"
"API Signature","APIシグネチャ"
"Change Shipping Address","お届け先変更"
"Subtotal","小計"
"Sort order","並べ替え順"
"Price","価格"
"Transaction Type","トランザクションタイプ"
"Proxy Port","プロキシポート"
"Proxy Host","プロキシホスト"
"Use Proxy","プロキシを使用する"
"Business Name","ビジネス名"
"Business Account","ビジネスアカウント"
"Debug Flag","デバッグフラグ"
"Website Payments Pro (Express, Direct)","ウェブサイト支払いプロ(エクスプレス、ダイレクト)"
"Website Payments Standard","ウェブサイト支払いスタンダード"
"Items in Your Shopping Cart","カートの中身"
"Credit Card Types","クレジットカードタイプ"
"Edit Shopping Cart","ショッピングカート変更"
"Title","タイトル"
"Type","タイプ"
"Sandbox Flag","サンドボックスのフラグ"
"Product Name","商品名"
"Qty","個数"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在品切れです。"
"Payment from Specific countries","特定の国からの支払い"
"Email","Eメール"
"Your billing address will be ignored and you will be redirected to PayPal website","請求先住所が拒否されました。Paypalのサイトに転送します。"
"Billing Information","購入者情報"
"Shipping Address","配送先"
"Shipping Information","配送情報"
"Shipping Method","配送方法"
"Please select a shipping method...","配送方法を選択してください"
"Update Shipping Method","配送方法を更新する"
"Paypal Logo Image URL(150x150)","PayPalロゴ画像URL(150x150)"
"PayPal Account","PayPalアカウント"
"Review Order","注文の確認"
"Place an Order","注文する"
"You will be redirected to PayPal website when you place an order.","注文を確定するとPalPalウェブサイトにリダイレクトされます"
"Submitting order information...","注文情報を送信中です。。。"
"Payment from applicable countries","指定した国からの支払い"
"Enabled","有効"
"New order status","新規受注のステータス"
"Payment Action","支払アクション"
"Payment Method","支払方法"
"Change Payment Method","支払方法変更"
"You will be redirected to paypal in a few seconds.","数秒でpalpalサイトにリダイレクトされます"
